dataset,run,entropy_score,value,condition
"(3,4)",0,NMI,0.9664274192650805,fine
"(3,8)",0,NMI,0.914627458227745,fine
"(3,16)",0,NMI,0.8423638955496107,fine
"(4,4)",0,NMI,0.9046621135735317,fine
"(4,8)",0,NMI,0.9052714159416204,fine
"(5,4)",0,NMI,0.958507840177515,fine
"(3,4)",1,NMI,0.9646541833330734,fine
"(3,8)",1,NMI,0.9242716267580521,fine
"(3,16)",1,NMI,0.8132305412730558,fine
"(4,4)",1,NMI,0.9405981016040941,fine
"(4,8)",1,NMI,0.8849680537440073,fine
"(5,4)",1,NMI,0.9765834271282843,fine
"(3,4)",2,NMI,0.9559261022283795,fine
"(3,8)",2,NMI,0.9008227946033127,fine
"(3,16)",2,NMI,0.8153526308266397,fine
"(4,4)",2,NMI,0.91456004435534,fine
"(4,8)",2,NMI,0.939318152610373,fine
"(5,4)",2,NMI,0.956863198986062,fine
"(3,4)",3,NMI,0.957538655390497,fine
"(3,8)",3,NMI,0.9095686443677611,fine
"(3,16)",3,NMI,0.8284094119874877,fine
"(4,4)",3,NMI,0.9469341061180055,fine
"(4,8)",3,NMI,0.8650553486672654,fine
"(5,4)",3,NMI,0.9094063686716631,fine
"(3,4)",4,NMI,0.9675875343934717,fine
"(3,8)",4,NMI,0.9261807249093302,fine
"(3,16)",4,NMI,0.8778028508008484,fine
"(4,4)",4,NMI,0.9417046136080761,fine
"(4,8)",4,NMI,0.8946640365768441,fine
"(5,4)",4,NMI,0.9402850631498787,fine
"(3,4)",0,NMI,,fine
"(3,8)",0,NMI,,fine
"(3,16)",0,NMI,,fine
"(4,4)",0,NMI,,fine
"(4,8)",0,NMI,,fine
"(5,4)",0,NMI,,fine
"(3,4)",1,NMI,,fine
"(3,8)",1,NMI,,fine
"(3,16)",1,NMI,,fine
"(4,4)",1,NMI,,fine
"(4,8)",1,NMI,,fine
"(5,4)",1,NMI,,fine
"(3,4)",2,NMI,,fine
"(3,8)",2,NMI,,fine
"(3,16)",2,NMI,,fine
"(4,4)",2,NMI,,fine
"(4,8)",2,NMI,,fine
"(5,4)",2,NMI,,fine
"(3,4)",3,NMI,,fine
"(3,8)",3,NMI,,fine
"(3,16)",3,NMI,,fine
"(4,4)",3,NMI,,fine
"(4,8)",3,NMI,,fine
"(5,4)",3,NMI,,fine
"(3,4)",4,NMI,,fine
"(3,8)",4,NMI,,fine
"(3,16)",4,NMI,,fine
"(4,4)",4,NMI,,fine
"(4,8)",4,NMI,,fine
"(5,4)",4,NMI,,fine
"(3,4)",0,NMI,,fine
"(3,8)",0,NMI,,fine
"(3,16)",0,NMI,,fine
"(4,4)",0,NMI,,fine
"(4,8)",0,NMI,,fine
"(5,4)",0,NMI,,fine
"(3,4)",1,NMI,,fine
"(3,8)",1,NMI,,fine
"(3,16)",1,NMI,,fine
"(4,4)",1,NMI,,fine
"(4,8)",1,NMI,,fine
"(5,4)",1,NMI,,fine
"(3,4)",2,NMI,,fine
"(3,8)",2,NMI,,fine
"(3,16)",2,NMI,,fine
"(4,4)",2,NMI,,fine
"(4,8)",2,NMI,,fine
"(5,4)",2,NMI,,fine
"(3,4)",3,NMI,,fine
"(3,8)",3,NMI,,fine
"(3,16)",3,NMI,,fine
"(4,4)",3,NMI,,fine
"(4,8)",3,NMI,,fine
"(5,4)",3,NMI,,fine
"(3,4)",4,NMI,,fine
"(3,8)",4,NMI,,fine
"(3,16)",4,NMI,,fine
"(4,4)",4,NMI,,fine
"(4,8)",4,NMI,,fine
"(5,4)",4,NMI,,fine
"(3,4)",0,effectiveness,,fine
"(3,8)",0,effectiveness,,fine
"(3,16)",0,effectiveness,,fine
"(4,4)",0,effectiveness,,fine
"(4,8)",0,effectiveness,,fine
"(5,4)",0,effectiveness,,fine
"(3,4)",1,effectiveness,,fine
"(3,8)",1,effectiveness,,fine
"(3,16)",1,effectiveness,,fine
"(4,4)",1,effectiveness,,fine
"(4,8)",1,effectiveness,,fine
"(5,4)",1,effectiveness,,fine
"(3,4)",2,effectiveness,,fine
"(3,8)",2,effectiveness,,fine
"(3,16)",2,effectiveness,,fine
"(4,4)",2,effectiveness,,fine
"(4,8)",2,effectiveness,,fine
"(5,4)",2,effectiveness,,fine
"(3,4)",3,effectiveness,,fine
"(3,8)",3,effectiveness,,fine
"(3,16)",3,effectiveness,,fine
"(4,4)",3,effectiveness,,fine
"(4,8)",3,effectiveness,,fine
"(5,4)",3,effectiveness,,fine
"(3,4)",4,effectiveness,,fine
"(3,8)",4,effectiveness,,fine
"(3,16)",4,effectiveness,,fine
"(4,4)",4,effectiveness,,fine
"(4,8)",4,effectiveness,,fine
"(5,4)",4,effectiveness,,fine
"(3,4)",0,effectiveness,0.9775766573652617,fine
"(3,8)",0,effectiveness,0.8703275576306907,fine
"(3,16)",0,effectiveness,0.7491017693014228,fine
"(4,4)",0,effectiveness,0.9328719966575293,fine
"(4,8)",0,effectiveness,0.8875155521203542,fine
"(5,4)",0,effectiveness,0.974433399055856,fine
"(3,4)",1,effectiveness,0.9628325572172134,fine
"(3,8)",1,effectiveness,0.9207879192364312,fine
"(3,16)",1,effectiveness,0.6978316323879582,fine
"(4,4)",1,effectiveness,0.9672081733252359,fine
"(4,8)",1,effectiveness,0.8639559589289727,fine
"(5,4)",1,effectiveness,0.9963091763925104,fine
"(3,4)",2,effectiveness,0.9814138467019365,fine
"(3,8)",2,effectiveness,0.8479097854014199,fine
"(3,16)",2,effectiveness,0.7074572635779433,fine
"(4,4)",2,effectiveness,0.9495824518650595,fine
"(4,8)",2,effectiveness,0.9153270099647834,fine
"(5,4)",2,effectiveness,0.9788435150553939,fine
"(3,4)",3,effectiveness,0.9711005357790449,fine
"(3,8)",3,effectiveness,0.8737908138911568,fine
"(3,16)",3,effectiveness,0.7344912223006403,fine
"(4,4)",3,effectiveness,0.9411971906861054,fine
"(4,8)",3,effectiveness,0.8170078083617925,fine
"(5,4)",3,effectiveness,0.9334131980275882,fine
"(3,4)",4,effectiveness,0.9907840547973096,fine
"(3,8)",4,effectiveness,0.9171722086567277,fine
"(3,16)",4,effectiveness,0.8110457868878337,fine
"(4,4)",4,effectiveness,0.9893002664988241,fine
"(4,8)",4,effectiveness,0.8298214511034675,fine
"(5,4)",4,effectiveness,0.9778236975524669,fine
"(3,4)",0,effectiveness,,fine
"(3,8)",0,effectiveness,,fine
"(3,16)",0,effectiveness,,fine
"(4,4)",0,effectiveness,,fine
"(4,8)",0,effectiveness,,fine
"(5,4)",0,effectiveness,,fine
"(3,4)",1,effectiveness,,fine
"(3,8)",1,effectiveness,,fine
"(3,16)",1,effectiveness,,fine
"(4,4)",1,effectiveness,,fine
"(4,8)",1,effectiveness,,fine
"(5,4)",1,effectiveness,,fine
"(3,4)",2,effectiveness,,fine
"(3,8)",2,effectiveness,,fine
"(3,16)",2,effectiveness,,fine
"(4,4)",2,effectiveness,,fine
"(4,8)",2,effectiveness,,fine
"(5,4)",2,effectiveness,,fine
"(3,4)",3,effectiveness,,fine
"(3,8)",3,effectiveness,,fine
"(3,16)",3,effectiveness,,fine
"(4,4)",3,effectiveness,,fine
"(4,8)",3,effectiveness,,fine
"(5,4)",3,effectiveness,,fine
"(3,4)",4,effectiveness,,fine
"(3,8)",4,effectiveness,,fine
"(3,16)",4,effectiveness,,fine
"(4,4)",4,effectiveness,,fine
"(4,8)",4,effectiveness,,fine
"(5,4)",4,effectiveness,,fine
"(3,4)",0,consistency,,fine
"(3,8)",0,consistency,,fine
"(3,16)",0,consistency,,fine
"(4,4)",0,consistency,,fine
"(4,8)",0,consistency,,fine
"(5,4)",0,consistency,,fine
"(3,4)",1,consistency,,fine
"(3,8)",1,consistency,,fine
"(3,16)",1,consistency,,fine
"(4,4)",1,consistency,,fine
"(4,8)",1,consistency,,fine
"(5,4)",1,consistency,,fine
"(3,4)",2,consistency,,fine
"(3,8)",2,consistency,,fine
"(3,16)",2,consistency,,fine
"(4,4)",2,consistency,,fine
"(4,8)",2,consistency,,fine
"(5,4)",2,consistency,,fine
