dataset,context_condition,vocab_size,symbols
"(3,4)",coarse,12,"Counter({0: 742, 14: 450, 9: 391, 4: 387, 6: 295, 3: 196, 15: 153, 1: 124, 2: 100, 7: 47, 8: 46, 12: 37})"
"(3,4)",mixed,15,"Counter({0: 1807, 6: 779, 2: 582, 8: 537, 11: 483, 15: 478, 4: 454, 3: 435, 7: 393, 5: 373, 13: 359, 10: 198, 14: 142, 1: 126, 9: 82})"
"(3,4)",fine,14,"Counter({0: 742, 14: 332, 5: 315, 4: 214, 12: 205, 1: 193, 15: 187, 8: 168, 10: 151, 13: 149, 3: 148, 2: 95, 11: 46, 7: 23})"
"(3,8)",coarse,17,"Counter({0: 4364, 16: 1585, 6: 1552, 17: 1485, 23: 1414, 13: 1405, 9: 1388, 26: 1383, 18: 1364, 24: 391, 12: 360, 21: 357, 5: 292, 7: 54, 15: 34, 8: 22, 19: 6})"
"(3,8)",mixed,28,"Counter({0: 11662, 25: 4555, 2: 2113, 12: 2050, 15: 1955, 14: 1894, 21: 1705, 4: 1553, 23: 1524, 24: 1500, 3: 1296, 20: 1272, 7: 1243, 5: 1162, 27: 1092, 10: 1042, 18: 988, 19: 969, 16: 940, 6: 927, 1: 906, 11: 898, 22: 831, 8: 754, 9: 589, 13: 494, 17: 425, 26: 309})"
"(3,8)",fine,27,"Counter({0: 4364, 23: 1292, 16: 947, 4: 872, 2: 829, 27: 787, 12: 778, 14: 678, 11: 648, 6: 633, 10: 605, 17: 583, 1: 565, 22: 554, 26: 439, 24: 395, 7: 384, 20: 371, 13: 324, 21: 320, 3: 286, 15: 252, 5: 222, 8: 159, 9: 122, 18: 32, 19: 15})"
"(3,16)",coarse,32,"Counter({0: 29467, 18: 15057, 47: 10339, 41: 6272, 3: 5486, 9: 5347, 38: 5261, 31: 5182, 5: 4991, 27: 3988, 35: 3752, 46: 3461, 1: 3319, 26: 3272, 45: 3078, 12: 1898, 23: 1875, 37: 1709, 51: 1165, 42: 495, 8: 354, 32: 309, 30: 309, 40: 300, 25: 256, 39: 243, 14: 152, 4: 151, 16: 106, 11: 100, 6: 96, 17: 78})"
"(3,16)",mixed,52,"Counter({0: 83302, 47: 18222, 12: 13188, 37: 10467, 29: 10386, 14: 9187, 10: 9041, 51: 9012, 20: 8702, 8: 7622, 39: 6992, 34: 6854, 5: 6842, 46: 6470, 33: 6397, 28: 6390, 4: 6173, 30: 5326, 49: 5178, 35: 4978, 41: 4963, 16: 4866, 43: 4844, 1: 4646, 26: 4539, 13: 4495, 23: 4401, 36: 4382, 19: 4335, 6: 4263, 21: 4091, 42: 3484, 40: 3473, 38: 3253, 45: 3153, 25: 3113, 17: 2860, 27: 2712, 3: 2650, 22: 2224, 2: 2011, 24: 1999, 48: 1670, 7: 1559, 9: 1507, 44: 1312, 50: 1102, 11: 1082, 31: 1065, 32: 1039, 18: 857, 15: 529})"
"(3,16)",fine,52,"Counter({0: 29467, 5: 8383, 22: 5202, 19: 4557, 23: 3812, 38: 3578, 36: 3471, 44: 3265, 45: 3008, 11: 2937, 17: 2784, 33: 2495, 28: 2367, 4: 2364, 37: 2199, 3: 2056, 15: 1937, 2: 1908, 40: 1807, 39: 1770, 10: 1576, 13: 1566, 6: 1466, 8: 1464, 41: 1441, 12: 1434, 21: 1434, 47: 1385, 50: 1293, 32: 1212, 27: 1175, 16: 1044, 25: 1023, 1: 960, 24: 897, 35: 779, 30: 768, 29: 764, 51: 745, 14: 723, 31: 684, 48: 648, 42: 635, 20: 629, 46: 581, 43: 435, 26: 362, 34: 316, 7: 288, 49: 285, 9: 259, 18: 230})"
"(4,4)",coarse,15,"Counter({0: 3743, 4: 2910, 14: 2438, 15: 1895, 8: 1763, 10: 1744, 9: 1683, 7: 1327, 6: 490, 3: 215, 2: 187, 12: 128, 11: 125, 13: 52, 5: 10})"
"(4,4)",mixed,16,"Counter({0: 12037, 5: 4438, 8: 4194, 12: 4184, 11: 4017, 14: 3857, 10: 3837, 6: 3361, 4: 3358, 13: 3027, 3: 2834, 2: 2700, 15: 2614, 7: 2178, 9: 1941, 1: 1608})"
"(4,4)",fine,16,"Counter({0: 3742, 2: 2321, 9: 2298, 8: 1743, 5: 1243, 3: 1146, 13: 969, 4: 870, 14: 752, 12: 722, 6: 640, 10: 616, 7: 563, 1: 428, 11: 376, 15: 281})"
"(4,8)",coarse,27,"Counter({0: 39359, 13: 16903, 20: 14734, 21: 14294, 26: 12234, 16: 11084, 10: 10551, 8: 10440, 5: 9113, 15: 8592, 23: 8195, 11: 7525, 24: 6982, 18: 6814, 14: 4064, 2: 3523, 6: 2630, 25: 2434, 3: 1956, 19: 1726, 7: 1561, 4: 1496, 22: 371, 17: 177, 9: 34, 1: 2, 12: 1})"
"(4,8)",mixed,28,"Counter({0: 140159, 1: 56714, 24: 56647, 18: 36620, 23: 36276, 16: 35858, 19: 33966, 27: 33253, 21: 31621, 22: 29983, 9: 24704, 8: 23048, 13: 18089, 14: 17272, 15: 16302, 5: 15213, 3: 13995, 17: 13853, 11: 13779, 25: 13055, 20: 8333, 2: 6884, 12: 6274, 26: 4856, 7: 4674, 10: 3869, 4: 3338, 6: 2160})"
"(4,8)",fine,28,"Counter({0: 39359, 5: 13260, 11: 12425, 4: 11621, 18: 10086, 13: 9852, 22: 9816, 16: 9658, 3: 8311, 2: 6729, 17: 6419, 14: 5659, 1: 5473, 19: 5457, 12: 5014, 6: 4956, 26: 4898, 15: 3825, 21: 3103, 27: 2843, 25: 2792, 8: 2695, 7: 2534, 23: 2498, 9: 2446, 10: 2380, 20: 1653, 24: 1033})"
"(5,4)",coarse,16,"Counter({0: 18742, 5: 14530, 1: 14096, 2: 10886, 4: 8841, 8: 7581, 10: 7376, 7: 7063, 15: 6073, 12: 4564, 3: 4425, 14: 3264, 9: 2816, 6: 1762, 11: 248, 13: 185})"
"(5,4)",mixed,16,"Counter({0: 74669, 14: 59508, 7: 48712, 5: 34800, 2: 29993, 3: 29526, 8: 27377, 12: 21593, 15: 20533, 10: 18835, 6: 15287, 13: 15194, 4: 15006, 11: 14556, 9: 12427, 1: 9998})"
"(5,4)",fine,16,"Counter({0: 18742, 12: 15979, 8: 10626, 4: 10282, 11: 7481, 5: 7119, 1: 6645, 14: 6387, 10: 4951, 2: 4719, 7: 3871, 6: 3829, 3: 3601, 9: 3394, 13: 3020, 15: 1806})"
"(3,4)",coarse,12,"Counter({0: 742, 14: 450, 9: 391, 4: 387, 6: 295, 3: 196, 15: 153, 1: 124, 2: 100, 7: 47, 8: 46, 12: 37})"
"(3,4)",mixed,15,"Counter({0: 1807, 6: 779, 2: 582, 8: 537, 11: 483, 15: 478, 4: 454, 3: 435, 7: 393, 5: 373, 13: 359, 10: 198, 14: 142, 1: 126, 9: 82})"
"(3,4)",fine,14,"Counter({0: 742, 14: 332, 5: 315, 4: 214, 12: 205, 1: 193, 15: 187, 8: 168, 10: 151, 13: 149, 3: 148, 2: 95, 11: 46, 7: 23})"
"(3,8)",coarse,17,"Counter({0: 4364, 16: 1585, 6: 1552, 17: 1485, 23: 1414, 13: 1405, 9: 1388, 26: 1383, 18: 1364, 24: 391, 12: 360, 21: 357, 5: 292, 7: 54, 15: 34, 8: 22, 19: 6})"
