fixed attribute values,message
"(0, 9, 6)","[(18, 17, 47, 0)]"
"(0, 11, 14)","[(32, 47, 47, 0)]"
"(1, 9, 13)","[(47, 47, 3, 0)]"
"(1, '_', '_')","[(47, 47, 47, 0)]"
"(2, 6, '_')","[(1, 1, 14, 0)]"
"(2, 7, 5)","[(51, 1, 8, 0)]"
"(2, 14, 6)","[(1, 1, 1, 0)]"
"(2, '_', '_')","[(1, 1, 8, 0), (1, 1, 18, 0)]"
"(3, '_', '_')","[(12, 12, 45, 0), (12, 45, 45, 0)]"
"(4, 8, 11)","[(31, 27, 27, 0)]"
"(5, 4, 13)","[(31, 37, 46, 0)]"
"(5, 8, 14)","[(31, 46, 3, 0)]"
"(5, '_', '_')","[(31, 46, 46, 0)]"
"(6, 7, 4)","[(51, 5, 5, 0)]"
"(6, 7, 10)","[(30, 5, 5, 0)]"
"(6, 8, 0)","[(42, 5, 5, 0)]"
"(6, 8, 9)","[(5, 42, 42, 0)]"
"(6, 8, 12)","[(5, 42, 5, 0), (42, 42, 5, 0)]"
"(6, '_', '_')","[(5, 5, 5, 0)]"
"(9, 6, 11)","[(31, 37, 38, 0)]"
"(9, 8, 13)","[(31, 38, 5, 0)]"
"(9, 8, 14)","[(31, 3, 38, 0)]"
"(9, '_', '_')","[(31, 38, 38, 0)]"
"(10, 0, 12)","[(18, 9, 9, 0)]"
"(10, 6, 14)","[(9, 9, 3, 0)]"
"(10, 9, 14)","[(9, 9, 32, 0), (9, 9, 42, 0), (9, 32, 3, 0)]"
"(10, 11, 14)","[(9, 9, 6, 0)]"
"(10, '_', '_')","[(9, 9, 9, 0)]"
"(11, 3, 14)","[(5, 23, 35, 0)]"
"(11, 5, 14)","[(38, 38, 35, 0)]"
"(11, 8, 4)","[(23, 42, 42, 0), (42, 42, 35, 0)]"
"(11, 8, 9)","[(42, 38, 35, 0)]"
"(11, 8, 15)","[(23, 35, 42, 0)]"
"(11, 10, 11)","[(35, 35, 35, 0)]"
"(11, '_', 0)","[(23, 23, 35, 0)]"
"(11, '_', '_')","[(23, 35, 35, 0)]"
"(12, 7, 12)","[(16, 27, 41, 0), (16, 41, 41, 0)]"
"(12, 7, 15)","[(5, 5, 41, 0)]"
"(12, 8, 0)","[(42, 9, 9, 0)]"
"(12, 8, 13)","[(42, 42, 47, 0), (42, 47, 41, 0)]"
"(12, 8, 14)","[(32, 47, 41, 0), (41, 47, 41, 0)]"
"(12, 14, 7)","[(27, 27, 14, 0)]"
"(12, '_', 9)","[(27, 18, 41, 0), (27, 41, 41, 0)]"
"(12, '_', '_')","[(32, 41, 41, 0), (41, 41, 41, 0)]"
"(13, '_', '_')","[(38, 18, 18, 0)]"
"(14, 2, 7)","[(47, 47, 18, 0)]"
"(14, 6, 7)","[(47, 11, 18, 0), (47, 14, 18, 0)]"
"(14, 9, 2)","[(1, 18, 18, 0)]"
