fixed attribute values,symbols
"(0, 0, 2)","[{9, 15}, {9, 15}]"
"(0, 0, '_')","[{9, 15}, {9, 15}]"
"(0, 1, 1)","[{9, 3}]"
"(0, 1, 3)","[{9, 3}]"
"(0, '_', '_')",[{9}]
"(1, '_', '_')",[{4}]
"(2, 0, 2)","[{6, 15}]"
"(2, 0, '_')","[{6, 15}, {6, 15}, {6, 15}]"
"(2, 1, '_')","[{3, 6}]"
"(2, '_', '_')",[{6}]
"(3, 3, 0)","[{1, 2}]"
"(3, 3, 1)","[{1, 12}, {1, 12}]"
"(3, 3, 2)","[{1, 7}, {1, 7}]"
"(3, '_', '_')",[{7}]
"('_', 0, '_')",[{15}]
"('_', 1, '_')",[{3}]
"('_', 2, '_')",[{14}]
"('_', 3, 0)","[{1, 2}]"
"('_', 3, 1)","[{1, 12}, {1, 12}]"
"('_', 3, 3)","[{8, 1}, {8, 1}, {8, 1}]"
"('_', 3, '_')",[{1}]
"('_', '_', 0)",[{2}]
"('_', '_', 1)",[{12}]
"('_', '_', 3)",[{8}]
