symbols,count,fixed attribute values
"(0, 10, 12)",1,"{('?', '?', 0, 1)}"
"(2,)",6,"{(None, '?', None, 0)}"
"(2, 6)",5,"{(0, '?', 0, 0), ('?', '?', 0, 0), (None, '?', 0, 0)}"
"(2, 7)",1,"{(3, '?', 3, 0)}"
"(2, 10, 12)",1,"{(0, '?', 0, 1)}"
"(2, 12)",2,"{(0, '?', None, None)}"
"(3,)",8,"{(None, '?', None, 2)}"
"(3, 6)",6,"{(1, '?', 0, 2), (3, '?', 0, 2), (None, '?', 0, 2)}"
"(3, 7)",1,"{(1, '?', 3, 2)}"
"(3, 12)",1,"{(1, '?', '?', '?')}"
"(3, 14)",8,"{(1, 3, 2, 2), (None, 3, None, 2)}"
"(4,)",98,"{(None, 1, None, None)}"
"(4, 7)",28,"{(None, 1, 3, 1), (None, 1, 3, None), ('?', 1, 3, 3)}"
"(5, 7)",3,"{('?', 0, 3, 2), (None, 0, 3, 2)}"
"(6,)",19,"{(None, None, 0, None)}"
"(6, 14)",2,"{(0, 3, 0, 1), (3, '?', 0, 3)}"
"(6, 15)",7,"{(0, 2, 0, 1), (None, 2, 0, None), (0, '?', 0, 3), ('?', 2, 0, '?'), ('?', 2, 0, 1)}"
"(7,)",49,"{(None, None, 3, None)}"
"(7, 15)",20,"{('?', 2, 3, 2), (None, 2, 3, None), (2, 2, 3, 2)}"
"(8,)",64,"{(None, 0, None, None)}"
"(8, 5)",1,"{(0, 0, 2, 1)}"
"(8, 5, 7)",5,"{(0, 0, 3, 1), (1, 0, 3, '?'), (0, 0, 3, 3), (None, 0, 3, None)}"
"(8, 6)",53,"{(2, 0, 0, None), (None, 0, 0, None), (0, 0, 0, 3)}"
"(8, 7)",55,"{(None, 0, None, None), (1, 0, 3, 0), (3, 0, 3, 0), (None, 0, 3, 3), (2, 0, 3, 0), (None, 0, 3, None)}"
"(8, 9)",3,"{('?', 0, 1, 3), (0, 0, 1, 3), (2, 0, 1, 0)}"
"(8, 10)",41,"{(1, 0, 2, '?'), (None, 0, 2, 1), (1, 0, 2, 0), (None, 0, 2, None), (None, 0, 2, 2)}"
"(8, 10, 13)",1,"{(3, 0, 2, 3)}"
"(9,)",60,"{(None, None, 1, None)}"
"(9, 2)",1,"{(0, 0, 1, 0)}"
"(9, 3, 12)",1,"{(1, 3, 1, 1)}"
"(9, 4)",18,"{(0, 1, 1, 0), (0, 1, 1, None), (3, 1, 1, '?'), (None, 1, 1, 0), (None, 1, 1, None)}"
"(9, 11)",2,"{('?', '?', 1, 3), (0, 0, 1, 3)}"
"(9, 12)",3,"{(None, None, 1, 1)}"
"(9, 14)",18,"{(None, 3, 1, 1), (0, 3, 1, '?'), (2, 3, 1, 1), (1, 3, 1, 3), (None, 3, 1, None), (0, 3, 1, 1), ('?', 3, 1, 1)}"
"(9, 15)",29,"{(0, 2, 1, 3), (None, 2, 1, None), (0, 2, 1, '?'), (None, 2, 1, 3)}"
"(10,)",54,"{(None, None, 2, None)}"
"(10, 3, 12)",3,"{(3, '?', 0, 1), (1, '?', '?', '?'), (1, '?', '?', 1)}"
"(10, 4)",7,"{(None, 1, 2, None), ('?', 1, 2, 0), (None, 1, 2, 0)}"
"(10, 5)",1,"{('?', 0, 2, 1)}"
"(10, 12)",16,"{(0, 2, 2, 1), (None, None, None, 1), (None, 2, 2, 1), (None, None, '?', 1)}"
"(10, 12, 6)",1,"{('?', '?', 0, 1)}"
"(10, 12, 14)",2,"{(1, 3, '?', 1)}"
"(10, 12, 15)",4,"{(1, 2, 2, 1), (None, 2, 2, 1)}"
"(10, 14)",24,"{(None, 3, 2, None), (1, 3, 2, '?'), (0, 3, 2, 3)}"
"(10, 15)",29,"{('?', 2, 2, 0), (2, 2, 2, None), (0, 2, 2, None), (1, 2, 2, '?'), (None, 2, 2, 0), (None, 2, 2, None), (0, 2, 2, 1), (None, 2, 2, '?')}"
"(11,)",4,"{(None, '?', '?', 3)}"
"(11, 6)",6,"{(1, '?', 0, 3), (None, '?', 0, None), (None, '?', 0, 3)}"
"(11, 6, 15)",1,"{(1, '?', 0, 3)}"
"(11, 7)",2,"{(1, '?', 3, 3)}"
"(11, 13)",2,"{(3, '?', '?', 3)}"
"(12, 4)",2,"{(None, 1, None, 1)}"
"(12, 6)",1,"{(1, '?', 0, 1)}"
"(12, 7)",4,"{(1, '?', 3, 1), (None, '?', 3, 1)}"
"(12, 13)",1,"{(2, '?', '?', '?')}"
"(12, 14)",3,"{(1, 3, None, 1)}"
"(12, 15)",5,"{(None, 2, None, 1), (0, 2, '?', 1)}"
"(13,)",1,"{(3, '?', '?', '?')}"
"(14,)",86,"{(None, 3, None, None)}"
"(14, 7)",12,"{(None, 3, 3, 1), (2, 3, 3, 1), (0, 3, 3, '?'), (1, 3, 3, '?'), (None, 3, 3, None), (1, 3, 3, 1)}"
"(15,)",65,"{(None, 2, None, None)}"
"(15, 7)",7,"{(None, 2, 3, None), (2, 2, 3, 2), (1, 2, 3, 2)}"
