symbols,count,fixed attribute values
"(2, 3)",8,"(None, None, None, None)"
"(2, 3, 4)",66,"(None, 1, None, None)"
"(2, 3, 4, 7)",10,"(None, 1, '?', None)"
"(2, 3, 4, 22)",2,"(None, 1, None, None)"
"(2, 3, 7)",53,"(None, 4, None, None)"
"(2, 3, 14)",2,"(None, 1, '?', 6)"
"(2, 3, 14, 7)",1,"(2, 4, 1, 5)"
"(2, 3, 21, 7)",1,"(3, 4, 0, 5)"
"(2, 4, 7)",1,"(6, 1, '?', 7)"
"(2, 4, 20)",1,"(3, 7, '?', 7)"
"(2, 4, 23)",1,"(0, 3, '?', 5)"
"(2, 5)",3,"(None, 4, None, 3)"
"(2, 5, 14)",1,"(3, 4, 3, 3)"
"(2, 6, 23)",1,"(5, 4, 2, 5)"
"(2, 7)",5,"(None, 4, None, 7)"
"(2, 7, 21, 23)",1,"(6, 3, '?', 7)"
"(2, 10)",83,"(None, None, 7, None)"
"(2, 10, 14)",1,"(2, 1, 3, 6)"
"(2, 11)",36,"(None, None, 6, None)"
"(2, 11, 4)",8,"(None, None, 6, None)"
"(2, 11, 4, 7)",1,"('?', 3, 6, 7)"
"(2, 11, 14)",10,"(None, None, 6, 6)"
"(2, 11, 15)",1,"(3, 3, 6, 1)"
"(2, 11, 20)",21,"(None, 7, 6, None)"
"(2, 11, 20, 22)",1,"(0, 7, 6, 1)"
"(2, 11, 21)",7,"(None, 3, 6, None)"
"(2, 11, 22)",1,"(7, 1, 6, 5)"
"(2, 13)",1,"('?', 3, 7, 7)"
"(2, 13, 7)",1,"(2, 4, 2, 5)"
"(2, 14)",30,"(None, None, None, 6)"
"(2, 14, 15)",5,"(None, None, None, 6)"
"(2, 18)",15,"(None, None, 5, None)"
"(2, 18, 4)",1,"('?', 1, 5, 5)"
"(2, 18, 21)",3,"(None, 3, 5, None)"
"(2, 19, 4)",1,"(0, 1, '?', 5)"
"(2, 19, 4, 7)",1,"(3, 1, '?', 5)"
"(2, 19, 7)",11,"(None, None, None, 5)"
"(2, 19, 20, 7)",1,"(2, 7, 0, 5)"
"(2, 19, 21)",11,"(None, 3, None, None)"
"(2, 20)",61,"(None, 7, None, None)"
"(2, 20, 7)",2,"(None, 7, 0, 5)"
"(2, 20, 15)",7,"(None, 7, 3, None)"
"(2, 20, 23)",1,"(4, 7, 2, 6)"
"(2, 21)",97,"(None, 3, None, None)"
"(2, 21, 14)",1,"(2, 3, 0, 5)"
"(2, 21, 15)",1,"(5, 3, 6, 1)"
"(2, 21, 22)",41,"(None, 3, None, None)"
"(2, 21, 23)",2,"(None, 3, '?', None)"
"(2, 22)",17,"(None, 3, 1, None)"
"(2, 23)",3,"(None, None, None, 6)"
"(2, 23, 7)",1,"(2, 4, 2, 5)"
"(2, 26)",11,"(None, None, 0, None)"
"(2, 26, 14)",4,"(None, None, 0, 6)"
"(2, 26, 15)",1,"(3, 3, 0, 5)"
"(2, 26, 20)",3,"(None, 7, 0, 6)"
"(2, 26, 21)",1,"(6, 3, 0, 5)"
"(3, 2, 11)",5,"(None, None, 6, None)"
"(3, 2, 11, 4)",3,"(None, 1, 6, 1)"
"(3, 2, 11, 22)",1,"(7, 1, 6, 5)"
"(3, 2, 19, 7)",1,"(4, 4, 1, 5)"
"(3, 4)",3,"(None, None, None, 1)"
"(3, 4, 7)",10,"(None, '?', None, None)"
"(3, 5, 7)",24,"(None, 5, None, None)"
"(3, 5, 23)",1,"(4, 6, 2, 3)"
"(3, 6, 7)",15,"(None, None, 2, 1)"
"(3, 6, 23)",4,"(None, None, 2, None)"
"(3, 7)",4,"(None, '?', '?', '?')"
"(3, 7, 6, 23)",1,"('?', 4, 2, 5)"
"(3, 11, 14)",1,"(4, 1, 6, 6)"
"(3, 13, 6, 7)",1,"(5, 4, 2, 1)"
"(3, 19)",3,"(None, 2, 5, 1)"
"(3, 23, 5, 7)",1,"(4, 5, 2, 5)"
"(3, 23, 6, 7)",3,"(None, None, 2, None)"
"(4, 5)",8,"(None, 0, None, 3)"
"(4, 6, 23)",5,"(None, 0, None, None)"
"(4, 7)",8,"(None, '?', '?', 7)"
"(4, 14, 15)",1,"(0, 0, 3, 1)"
"(4, 15)",10,"(None, None, 3, None)"
"(4, 20)",2,"(0, '?', '?', None)"
"(4, 20, 15)",1,"(0, '?', 3, 1)"
"(4, 21)",2,"(None, 0, None, 0)"
"(4, 23)",2,"(None, 0, 2, None)"
"(4, 23, 7)",1,"(3, 3, '?', 5)"
"(5,)",315,"(None, None, None, 3)"
"(5, 6)",11,"(None, None, 2, 3)"
"(5, 6, 23)",16,"(None, None, 2, 3)"
"(5, 7)",21,"(None, None, None, None)"
"(5, 14)",2,"(None, 6, None, 3)"
"(5, 15)",40,"(None, None, 3, None)"
"(5, 23)",21,"(None, None, None, 3)"
"(6, 23)",367,"(None, None, 2, None)"
"(7,)",5,"(None, None, '?', None)"
"(7, 6, 23)",2,"(None, 4, 2, None)"
"(8,)",318,"(None, None, 4, None)"
"(8, 2, 23)",1,"(4, 3, 2, 6)"
"(8, 4)",25,"(None, 0, 4, None)"
"(8, 4, 6, 23)",1,"('?', 0, 2, 5)"
"(8, 4, 23)",2,"(3, 0, 4, None)"
"(8, 5)",26,"(None, None, 4, 3)"
"(8, 5, 23)",8,"(None, None, 4, 3)"
"(8, 6, 23)",54,"(None, None, 2, None)"
"(8, 10)",169,"(None, None, 7, None)"
"(8, 16, 4)",33,"(None, 0, 4, None)"
"(8, 19)",2,"(None, 2, 4, None)"
"(8, 20)",6,"(None, None, 4, 4)"
"(8, 20, 4, 5)",1,"(5, 0, 4, 3)"
"(8, 20, 23)",5,"(None, None, 4, 4)"
"(8, 21)",50,"(None, None, 4, 0)"
"(8, 21, 23)",1,"(2, 5, 4, 0)"
"(8, 23)",14,"(None, None, 4, None)"
"(8, 24)",69,"(None, None, 4, None)"
"(8, 24, 23)",4,"(None, None, 4, 2)"
"(8, 25, 14)",2,"(None, 6, 4, 0)"
"(8, 25, 14, 17)",1,"(3, 6, 4, 0)"
"(8, 25, 14, 23)",3,"(None, 6, 4, None)"
"(8, 25, 23)",48,"(None, 6, 4, None)"
"(9, 2, 3, 4)",1,"(5, 1, 6, 1)"
"(9, 2, 11)",3,"(None, None, 6, None)"
"(9, 2, 11, 14)",1,"(2, 7, 6, 6)"
"(9, 2, 11, 20)",4,"(None, 7, 6, None)"
"(9, 11)",7,"(None, None, 6, None)"
"(9, 11, 20)",3,"(None, None, 6, None)"
"(9, 20)",2,"(None, 2, 6, 4)"
"(10,)",331,"(None, None, 7, None)"
"(10, 5)",6,"(None, 5, 7, 3)"
"(10, 13)",1,"(1, 7, 7, 1)"
"(10, 19)",15,"(None, 2, None, None)"
"(10, 20)",4,"(None, None, 7, 4)"
"(10, 21)",11,"(None, None, 7, None)"
"(11,)",263,"(None, None, 6, None)"
"(11, 4)",32,"(None, None, 6, None)"
"(11, 4, 13)",1,"(7, 0, 6, 1)"
"(11, 4, 21)",1,"(6, 3, 6, 7)"
"(11, 5)",84,"(None, None, 6, None)"
"(11, 13)",6,"(1, None, 6, None)"
"(11, 13, 22)",2,"(1, 6, 3, 1)"
