message,symbols,fixed attribute values
"(1, 1, 1, 1, 1, 0)",{1},"('_', 0, '_', '_', '_')"
"(1, 1, 1, 1, 4, 0)","{1, 4}","('_', 0, '_', 0, '_')"
"(1, 1, 1, 1, 5, 0)","{1, 5}","('_', 0, 2, 3, 3)"
"(1, 1, 1, 1, 6, 0)","{1, 6}","('_', 0, 3, 2, 0)"
"(1, 1, 1, 1, 7, 0)","{1, 7}","(3, 0, 2, 1, 0)"
"(1, 1, 1, 4, 1, 0)","{1, 4}","('_', 0, '_', 0, '_')"
"(1, 1, 1, 4, 4, 0)","{1, 4}","('_', 0, '_', 0, '_')"
"(1, 1, 1, 4, 8, 0)","{8, 1, 4}","(2, 0, 2, 0, 2)"
"(1, 1, 1, 5, 1, 0)","{1, 5}","(1, 0, 2, 3, 3)"
"(1, 1, 1, 5, 4, 0)","{1, 4, 5}","('_', 0, 2, 0, 3)"
"(1, 1, 1, 6, 1, 0)","{1, 6}","('_', 0, '_', '_', '_')"
"(1, 1, 1, 6, 6, 0)","{1, 6}","(1, 0, 3, 2, 1)"
"(1, 1, 1, 7, 1, 0)","{1, 7}","(0, 0, 2, 1, 2)"
"(1, 1, 1, 7, 7, 0)","{1, 7}","(3, 0, 2, 1, 0)"
"(1, 1, 1, 9, 1, 0)","{1, 9}","(2, 0, 1, 2, 1)"
"(1, 1, 1, 10, 1, 0)","{1, 10}","(3, 0, 3, 2, 2)"
"(1, 1, 4, 1, 1, 0)","{1, 4}","(2, 0, '_', 0, '_')"
"(1, 1, 4, 1, 4, 0)","{1, 4}","('_', 0, '_', 0, '_')"
"(1, 1, 4, 4, 1, 0)","{1, 4}","(1, 0, '_', 0, '_')"
"(1, 1, 4, 4, 4, 0)","{1, 4}","('_', 0, '_', 0, '_')"
"(1, 1, 4, 4, 8, 0)","{8, 1, 4}","(3, 0, 0, 0, 1)"
"(1, 1, 5, 1, 1, 0)","{1, 5}","('_', 0, '_', 3, '_')"
"(1, 1, 5, 1, 5, 0)","{1, 5}","(1, 0, 2, 3, 0)"
"(1, 1, 5, 5, 1, 0)","{1, 5}","('_', 0, 2, 3, 3)"
"(1, 1, 5, 5, 5, 0)","{1, 5}","('_', 0, 2, 3, '_')"
"(1, 1, 5, 5, 6, 0)","{1, 5, 6}","(0, 0, 2, 3, 3)"
"(1, 1, 5, 6, 1, 0)","{1, 5, 6}","(3, 0, 2, 3, '_')"
"(1, 1, 6, 1, 1, 0)","{1, 6}","('_', 0, '_', '_', '_')"
"(1, 1, 6, 1, 6, 0)","{1, 6}","('_', 0, '_', 2, 3)"
"(1, 1, 6, 6, 1, 0)","{1, 6}","('_', 0, 0, '_', '_')"
"(1, 1, 6, 6, 6, 0)","{1, 6}","(2, 0, '_', '_', '_')"
"(1, 1, 6, 12, 1, 0)","{1, 12, 6}","(0, 0, 1, '_', 3)"
"(1, 1, 7, 1, 1, 0)","{1, 7}","(0, 0, 2, '_', '_')"
"(1, 1, 7, 1, 7, 0)","{1, 7}","(0, 0, 2, '_', 2)"
"(1, 1, 7, 7, 1, 0)","{1, 7}","(0, 0, 2, 1, 2)"
"(1, 1, 9, 1, 1, 0)","{1, 9}","('_', 0, '_', 2, '_')"
"(1, 1, 9, 1, 6, 0)","{1, 9, 6}","(3, 0, '_', 2, 1)"
"(1, 1, 10, 1, 1, 0)","{1, 10}","('_', 0, 3, '_', '_')"
"(1, 1, 14, 1, 1, 0)","{1, 14}","(3, 0, 0, 1, '_')"
"(1, 1, 14, 14, 1, 0)","{1, 14}","(0, 0, 1, 1, 3)"
"(1, 3, 1, 1, 1, 0)","{1, 3}","(1, 0, 0, '_', '_')"
"(1, 3, 4, 4, 1, 0)","{1, 3, 4}","('_', 0, 0, 0, '_')"
"(1, 3, 6, 1, 1, 0)","{1, 3, 6}","(2, 0, 0, '_', '_')"
"(1, 3, 6, 6, 1, 0)","{1, 3, 6}","(2, 0, 0, '_', '_')"
"(1, 4, 4, 4, 4, 0)","{1, 4}","('_', 0, '_', 0, '_')"
"(1, 4, 8, 4, 4, 0)","{8, 1, 4}","(0, 0, '_', 0, '_')"
"(1, 5, 1, 1, 1, 0)","{1, 5}","('_', 0, '_', 3, '_')"
"(1, 5, 1, 1, 5, 0)","{1, 5}","(0, 0, 2, 3, '_')"
"(1, 5, 1, 5, 1, 0)","{1, 5}","(3, 0, '_', 3, '_')"
"(1, 5, 1, 5, 5, 0)","{1, 5}","('_', 0, 2, 3, 1)"
"(1, 5, 1, 6, 1, 0)","{1, 5, 6}","('_', 0, 0, 3, 0)"
"(1, 5, 5, 1, 1, 0)","{1, 5}","('_', 0, '_', 3, '_')"
"(1, 5, 5, 1, 5, 0)","{1, 5}","('_', 0, 2, 3, 2)"
"(1, 5, 5, 5, 1, 0)","{1, 5}","('_', 0, '_', 3, '_')"
"(1, 5, 5, 5, 5, 0)","{1, 5}","('_', 0, '_', 3, '_')"
"(1, 5, 5, 6, 1, 0)","{1, 5, 6}","(2, 0, 0, 3, 3)"
"(1, 5, 6, 1, 1, 0)","{1, 5, 6}","('_', 0, 0, 3, '_')"
"(1, 5, 6, 5, 1, 0)","{1, 5, 6}","(0, 0, 2, 3, 1)"
"(1, 5, 6, 6, 1, 0)","{1, 5, 6}","(2, 0, 0, 3, 2)"
"(1, 6, 1, 1, 1, 0)","{1, 6}","('_', 0, '_', '_', '_')"
"(1, 6, 1, 6, 1, 0)","{1, 6}","('_', 0, 0, '_', '_')"
"(1, 6, 5, 1, 1, 0)","{1, 5, 6}","(1, 0, 2, 3, 2)"
"(1, 6, 5, 5, 1, 0)","{1, 5, 6}","(3, 0, 0, 3, 1)"
"(1, 6, 6, 1, 1, 0)","{1, 6}","('_', 0, '_', '_', '_')"
"(1, 6, 6, 1, 6, 0)","{1, 6}","(0, 0, '_', 2, 2)"
"(1, 6, 6, 6, 1, 0)","{1, 6}","('_', 0, '_', '_', '_')"
"(1, 6, 6, 6, 6, 0)","{1, 6}","('_', 0, '_', '_', '_')"
"(1, 7, 1, 1, 1, 0)","{1, 7}","('_', 0, 2, '_', '_')"
"(1, 7, 1, 4, 1, 0)","{1, 4, 7}","(0, 0, 2, 0, 1)"
"(1, 7, 1, 4, 4, 0)","{1, 4, 7}","(0, 0, 2, 0, 2)"
"(1, 7, 1, 5, 1, 0)","{1, 5, 7}","(0, 0, 2, 3, 3)"
"(1, 7, 1, 5, 5, 0)","{1, 5, 7}","(0, 0, 2, 3, '_')"
