message,n_concepts
"(1, 1, 1, 11, 0)",1
"(1, 1, 1, 12, 0)",1
"(1, 1, 2, 12, 0)",1
"(1, 1, 9, 1, 0)",1
"(1, 1, 9, 7, 0)",1
"(1, 1, 9, 11, 0)",2
"(1, 1, 9, 12, 0)",1
"(1, 1, 11, 14, 0)",1
"(1, 1, 14, 1, 0)",1
"(1, 1, 14, 9, 0)",2
"(1, 1, 14, 14, 0)",1
"(1, 2, 1, 12, 0)",1
"(1, 2, 12, 1, 0)",1
"(1, 2, 13, 7, 0)",1
"(1, 6, 9, 4, 0)",1
"(1, 6, 13, 13, 0)",1
"(1, 6, 14, 9, 0)",1
"(1, 9, 1, 11, 0)",1
"(1, 9, 7, 1, 0)",1
"(1, 9, 10, 1, 0)",1
"(1, 9, 12, 7, 0)",1
"(1, 10, 9, 14, 0)",1
"(1, 10, 10, 9, 0)",1
"(1, 10, 10, 14, 0)",1
"(1, 10, 14, 9, 0)",1
"(1, 10, 14, 14, 0)",1
"(1, 12, 13, 7, 0)",1
"(1, 13, 1, 12, 0)",1
"(1, 13, 6, 7, 0)",1
"(1, 13, 7, 6, 0)",1
"(1, 13, 13, 6, 0)",1
"(1, 14, 4, 9, 0)",1
"(1, 14, 4, 12, 0)",1
"(1, 14, 4, 14, 0)",1
"(1, 14, 6, 9, 0)",1
"(1, 14, 7, 1, 0)",1
"(1, 14, 7, 6, 0)",1
"(1, 14, 9, 4, 0)",2
"(1, 14, 9, 6, 0)",2
"(1, 14, 9, 14, 0)",1
"(1, 14, 10, 14, 0)",1
"(1, 14, 11, 11, 0)",1
"(2, 1, 1, 2, 0)",1
"(2, 1, 1, 10, 0)",1
"(2, 1, 2, 7, 0)",1
"(2, 1, 2, 8, 0)",1
"(2, 1, 2, 12, 0)",2
"(2, 1, 9, 1, 0)",1
"(2, 1, 9, 2, 0)",1
"(2, 1, 9, 10, 0)",1
"(2, 1, 10, 1, 0)",1
"(2, 1, 10, 13, 0)",1
