message,n_concepts
"(2, 2, 2, 2, 0)",6
"(3, 3, 3, 3, 0)",8
"(3, 3, 6, 3, 0)",2
"(3, 3, 6, 6, 0)",1
"(3, 3, 7, 7, 0)",1
"(3, 3, 14, 14, 0)",1
"(3, 6, 3, 3, 0)",1
"(3, 14, 14, 14, 0)",7
"(4, 4, 4, 4, 0)",98
"(4, 4, 4, 7, 0)",6
"(4, 4, 4, 9, 0)",2
"(4, 4, 7, 4, 0)",3
"(4, 4, 9, 4, 0)",2
"(4, 4, 9, 9, 0)",1
"(4, 7, 4, 4, 0)",5
"(4, 7, 4, 7, 0)",1
"(4, 7, 7, 7, 0)",2
"(4, 9, 4, 4, 0)",5
"(4, 9, 9, 4, 0)",2
"(4, 10, 4, 4, 0)",1
"(5, 7, 7, 7, 0)",2
"(5, 7, 8, 8, 0)",1
"(5, 8, 8, 7, 0)",1
"(6, 2, 2, 2, 0)",1
"(6, 2, 6, 6, 0)",1
"(6, 3, 3, 6, 0)",1
"(6, 6, 2, 2, 0)",1
"(6, 6, 6, 2, 0)",2
"(6, 6, 6, 3, 0)",1
"(6, 6, 6, 6, 0)",19
"(6, 6, 6, 8, 0)",7
"(6, 6, 6, 11, 0)",2
"(6, 6, 6, 12, 0)",1
"(6, 6, 6, 14, 0)",1
"(6, 6, 6, 15, 0)",1
"(6, 6, 8, 6, 0)",3
"(6, 6, 8, 8, 0)",3
"(6, 6, 15, 15, 0)",1
"(6, 8, 6, 6, 0)",2
"(6, 8, 6, 8, 0)",2
"(6, 8, 8, 6, 0)",2
"(6, 8, 8, 8, 0)",9
"(6, 11, 6, 6, 0)",2
"(6, 14, 14, 14, 0)",1
"(6, 15, 6, 15, 0)",1
"(6, 15, 11, 11, 0)",1
"(6, 15, 15, 15, 0)",2
"(7, 2, 7, 7, 0)",1
"(7, 4, 4, 4, 0)",2
"(7, 4, 7, 7, 0)",2
"(7, 5, 7, 7, 0)",1
"(7, 7, 4, 4, 0)",2
"(7, 7, 4, 7, 0)",3
"(7, 7, 7, 4, 0)",2
"(7, 7, 7, 7, 0)",49
"(7, 7, 7, 8, 0)",3
"(7, 7, 7, 14, 0)",3
"(7, 7, 7, 15, 0)",1
"(7, 7, 8, 7, 0)",2
"(7, 7, 8, 8, 0)",1
"(7, 7, 11, 7, 0)",1
"(7, 7, 14, 7, 0)",1
"(7, 7, 14, 14, 0)",1
"(7, 7, 15, 7, 0)",1
"(7, 7, 15, 15, 0)",1
"(7, 8, 7, 7, 0)",3
"(7, 8, 7, 8, 0)",1
"(7, 8, 8, 7, 0)",1
"(7, 8, 8, 8, 0)",2
"(7, 12, 7, 7, 0)",1
"(7, 14, 14, 14, 0)",3
"(7, 15, 7, 7, 0)",4
"(8, 6, 6, 6, 0)",1
"(8, 6, 6, 8, 0)",3
"(8, 6, 8, 6, 0)",3
"(8, 6, 8, 8, 0)",4
"(8, 7, 5, 7, 0)",1
"(8, 7, 7, 5, 0)",2
"(8, 7, 7, 7, 0)",15
"(8, 7, 7, 8, 0)",2
"(8, 7, 8, 7, 0)",7
"(8, 7, 8, 8, 0)",3
"(8, 8, 6, 6, 0)",4
"(8, 8, 6, 8, 0)",6
"(8, 8, 7, 7, 0)",7
"(8, 8, 7, 8, 0)",6
"(8, 8, 8, 5, 0)",1
"(8, 8, 8, 6, 0)",4
"(8, 8, 8, 7, 0)",2
"(8, 8, 8, 8, 0)",64
"(8, 8, 8, 9, 0)",1
"(8, 8, 8, 10, 0)",7
"(8, 8, 9, 9, 0)",1
"(8, 8, 10, 8, 0)",4
"(8, 8, 10, 10, 0)",3
"(8, 8, 13, 10, 0)",1
"(8, 9, 9, 9, 0)",1
"(8, 10, 8, 8, 0)",2
"(8, 10, 8, 10, 0)",3
"(8, 10, 10, 8, 0)",4
"(8, 10, 10, 10, 0)",9
"(9, 2, 9, 9, 0)",1
"(9, 4, 4, 4, 0)",5
"(9, 4, 9, 9, 0)",1
"(9, 9, 9, 9, 0)",60
"(9, 9, 9, 14, 0)",2
"(9, 9, 9, 15, 0)",2
"(9, 9, 11, 9, 0)",1
"(9, 9, 14, 9, 0)",3
"(9, 9, 14, 14, 0)",2
"(9, 14, 9, 9, 0)",1
"(9, 14, 9, 14, 0)",1
"(9, 14, 14, 9, 0)",2
"(9, 14, 14, 14, 0)",4
"(9, 15, 9, 9, 0)",2
"(9, 15, 9, 15, 0)",2
"(9, 15, 15, 9, 0)",1
"(9, 15, 15, 15, 0)",2
"(10, 4, 4, 4, 0)",4
"(10, 8, 8, 8, 0)",2
"(10, 8, 8, 10, 0)",1
"(10, 8, 10, 8, 0)",1
"(10, 8, 10, 10, 0)",2
"(10, 10, 4, 4, 0)",2
"(10, 10, 8, 8, 0)",2
"(10, 10, 10, 5, 0)",1
"(10, 10, 10, 8, 0)",1
"(10, 10, 10, 10, 0)",54
"(10, 10, 10, 14, 0)",4
"(10, 10, 10, 15, 0)",2
"(10, 10, 12, 10, 0)",2
"(10, 10, 14, 14, 0)",7
"(10, 10, 15, 10, 0)",2
"(10, 10, 15, 15, 0)",1
"(10, 12, 10, 10, 0)",1
"(10, 14, 10, 14, 0)",1
"(10, 14, 14, 14, 0)",11
"(10, 15, 10, 10, 0)",4
"(10, 15, 10, 15, 0)",2
"(10, 15, 12, 10, 0)",1
"(10, 15, 15, 10, 0)",1
"(10, 15, 15, 15, 0)",2
"(11, 7, 7, 7, 0)",1
"(11, 9, 9, 9, 0)",1
"(11, 11, 6, 6, 0)",1
"(11, 11, 6, 11, 0)",1
"(11, 11, 11, 11, 0)",4
"(11, 11, 13, 11, 0)",1
"(11, 13, 13, 11, 0)",1
"(12, 2, 2, 2, 0)",2
"(12, 3, 3, 3, 0)",1
"(12, 3, 9, 9, 0)",1
"(12, 3, 10, 3, 0)",1
"(12, 3, 10, 10, 0)",1
"(12, 4, 4, 4, 0)",2
"(12, 6, 10, 10, 0)",1
"(12, 7, 7, 7, 0)",3
"(12, 9, 9, 9, 0)",3
"(12, 10, 3, 3, 0)",1
"(12, 10, 10, 0, 0)",1
"(12, 10, 10, 10, 0)",10
"(12, 10, 10, 12, 0)",1
"(12, 10, 10, 14, 0)",1
"(12, 10, 14, 14, 0)",1
"(12, 12, 2, 10, 0)",1
"(12, 12, 10, 10, 0)",2
"(12, 13, 13, 13, 0)",1
"(12, 14, 14, 14, 0)",3
"(13, 13, 13, 13, 0)",1
"(14, 7, 14, 14, 0)",1
"(14, 9, 14, 9, 0)",1
"(14, 10, 14, 14, 0)",1
"(14, 14, 7, 14, 0)",1
"(14, 14, 9, 14, 0)",1
"(14, 14, 14, 7, 0)",2
"(14, 14, 14, 9, 0)",1
"(14, 14, 14, 14, 0)",86
"(15, 7, 7, 7, 0)",8
"(15, 7, 7, 15, 0)",1
"(15, 7, 15, 7, 0)",2
"(15, 7, 15, 15, 0)",1
"(15, 9, 9, 9, 0)",6
"(15, 9, 9, 15, 0)",1
"(15, 9, 15, 9, 0)",3
"(15, 9, 15, 15, 0)",1
"(15, 10, 10, 10, 0)",6
"(15, 10, 10, 15, 0)",1
"(15, 10, 12, 10, 0)",1
"(15, 10, 15, 10, 0)",2
"(15, 10, 15, 15, 0)",1
"(15, 12, 10, 10, 0)",2
"(15, 12, 15, 15, 0)",1
"(15, 15, 6, 15, 0)",1
"(15, 15, 7, 7, 0)",4
"(15, 15, 7, 15, 0)",1
"(15, 15, 9, 9, 0)",2
"(15, 15, 9, 15, 0)",3
"(15, 15, 10, 10, 0)",2
"(15, 15, 12, 15, 0)",4
"(15, 15, 15, 6, 0)",1
"(15, 15, 15, 7, 0)",3
"(15, 15, 15, 9, 0)",4
"(15, 15, 15, 10, 0)",3
"(15, 15, 15, 15, 0)",65
