game_nr,object,fixed indices,context condition,message
17810,[10.  7.  6.],[1. 0. 0.],0,"[35, 4, 33, 0]"
17810,[10.  1. 12.],[1. 0. 0.],0,"[35, 4, 33, 0]"
17810,[10.  7.  0.],[1. 0. 0.],0,"[35, 4, 33, 0]"
17810,[10.  7. 12.],[1. 0. 0.],0,"[35, 4, 33, 0]"
17810,[10.  7.  2.],[1. 0. 0.],0,"[35, 4, 33, 0]"
17810,[10. 15.  5.],[1. 0. 0.],0,"[35, 4, 33, 0]"
17810,[10. 13.  8.],[1. 0. 0.],0,"[35, 4, 33, 0]"
17810,[10.  9.  2.],[1. 0. 0.],0,"[35, 4, 33, 0]"
17810,[10. 12. 10.],[1. 0. 0.],0,"[35, 4, 33, 0]"
17810,[10.  0.  9.],[1. 0. 0.],0,"[35, 4, 33, 0]"
24404,[10. 11.  0.],[1. 0. 0.],0,"[35, 7, 33, 0]"
24404,[10.  9. 12.],[1. 0. 0.],0,"[35, 7, 33, 0]"
24404,[10.  8. 10.],[1. 0. 0.],0,"[35, 7, 33, 0]"
24404,[10. 12.  0.],[1. 0. 0.],0,"[35, 7, 33, 0]"
24404,[10. 14.  8.],[1. 0. 0.],0,"[35, 7, 33, 0]"
24404,[10.  8.  0.],[1. 0. 0.],0,"[35, 7, 33, 0]"
24404,[10. 15. 12.],[1. 0. 0.],0,"[35, 7, 33, 0]"
24404,[10.  4. 12.],[1. 0. 0.],0,"[35, 7, 33, 0]"
24404,[10.  0.  7.],[1. 0. 0.],0,"[35, 7, 33, 0]"
24404,[10.  5.  2.],[1. 0. 0.],0,"[35, 7, 33, 0]"
27034,[10. 15. 10.],[1. 0. 0.],0,"[35, 7, 33, 0]"
27034,[10. 13.  8.],[1. 0. 0.],0,"[35, 7, 33, 0]"
27034,[10. 14.  4.],[1. 0. 0.],0,"[35, 7, 33, 0]"
27034,[10.  0. 14.],[1. 0. 0.],0,"[35, 7, 33, 0]"
27034,[10. 12.  9.],[1. 0. 0.],0,"[35, 7, 33, 0]"
27034,[10.  4.  1.],[1. 0. 0.],0,"[35, 7, 33, 0]"
27034,[10.  6.  5.],[1. 0. 0.],0,"[35, 7, 33, 0]"
27034,[10. 12.  5.],[1. 0. 0.],0,"[35, 7, 33, 0]"
27034,[10.  2.  2.],[1. 0. 0.],0,"[35, 7, 33, 0]"
27034,[10.  0. 13.],[1. 0. 0.],0,"[35, 7, 33, 0]"
32195,[10.  0. 15.],[1. 0. 0.],0,"[35, 7, 33, 0]"
32195,[10. 13. 13.],[1. 0. 0.],0,"[35, 7, 33, 0]"
32195,[10. 13.  4.],[1. 0. 0.],0,"[35, 7, 33, 0]"
32195,[10.  8.  3.],[1. 0. 0.],0,"[35, 7, 33, 0]"
32195,[10.  0.  7.],[1. 0. 0.],0,"[35, 7, 33, 0]"
32195,[10.  1.  6.],[1. 0. 0.],0,"[35, 7, 33, 0]"
32195,[10. 12.  4.],[1. 0. 0.],0,"[35, 7, 33, 0]"
32195,[10. 15.  5.],[1. 0. 0.],0,"[35, 7, 33, 0]"
32195,[10.  1.  7.],[1. 0. 0.],0,"[35, 7, 33, 0]"
32195,[10.  0.  2.],[1. 0. 0.],0,"[35, 7, 33, 0]"
42456,[10.  0. 13.],[1. 0. 0.],0,"[35, 7, 33, 0]"
42456,[10. 10.  5.],[1. 0. 0.],0,"[35, 7, 33, 0]"
42456,[10. 14.  2.],[1. 0. 0.],0,"[35, 7, 33, 0]"
42456,[10.  9. 15.],[1. 0. 0.],0,"[35, 7, 33, 0]"
42456,[10.  0. 10.],[1. 0. 0.],0,"[35, 7, 33, 0]"
42456,[10. 12.  3.],[1. 0. 0.],0,"[35, 7, 33, 0]"
42456,[10.  2. 11.],[1. 0. 0.],0,"[35, 7, 33, 0]"
42456,[10. 13.  7.],[1. 0. 0.],0,"[35, 7, 33, 0]"
42456,[10. 11.  4.],[1. 0. 0.],0,"[35, 7, 33, 0]"
42456,[10. 11.  2.],[1. 0. 0.],0,"[35, 7, 33, 0]"
44260,[10.  6.  5.],[1. 0. 0.],0,"[35, 7, 33, 0]"
44260,[10.  0.  2.],[1. 0. 0.],0,"[35, 7, 33, 0]"
44260,[10. 12.  6.],[1. 0. 0.],0,"[35, 7, 33, 0]"
44260,[10.  1.  6.],[1. 0. 0.],0,"[35, 7, 33, 0]"
44260,[10.  8.  9.],[1. 0. 0.],0,"[35, 7, 33, 0]"
44260,[10.  4. 14.],[1. 0. 0.],0,"[35, 7, 33, 0]"
44260,[10. 11.  5.],[1. 0. 0.],0,"[35, 7, 33, 0]"
44260,[10.  6. 14.],[1. 0. 0.],0,"[35, 7, 33, 0]"
44260,[10. 15.  0.],[1. 0. 0.],0,"[35, 7, 33, 0]"
44260,[10. 14. 11.],[1. 0. 0.],0,"[35, 7, 33, 0]"
51588,[10.  1.  6.],[1. 0. 0.],0,"[35, 7, 33, 0]"
51588,[10. 10. 15.],[1. 0. 0.],0,"[35, 7, 33, 0]"
51588,[10.  6. 13.],[1. 0. 0.],0,"[35, 7, 33, 0]"
51588,[10.  1. 15.],[1. 0. 0.],0,"[35, 7, 33, 0]"
51588,[10.  1.  1.],[1. 0. 0.],0,"[35, 7, 33, 0]"
51588,[10.  3. 10.],[1. 0. 0.],0,"[35, 7, 33, 0]"
51588,[10.  3.  1.],[1. 0. 0.],0,"[35, 7, 33, 0]"
51588,[10. 12. 13.],[1. 0. 0.],0,"[35, 7, 33, 0]"
51588,[10.  2. 15.],[1. 0. 0.],0,"[35, 7, 33, 0]"
51588,[10.  0.  4.],[1. 0. 0.],0,"[35, 7, 33, 0]"
52117,[10. 11.  7.],[1. 0. 0.],0,"[46, 7, 33, 0]"
52117,[10.  9.  3.],[1. 0. 0.],0,"[46, 7, 33, 0]"
52117,[10.  4.  9.],[1. 0. 0.],0,"[46, 7, 33, 0]"
52117,[10.  0. 14.],[1. 0. 0.],0,"[46, 7, 33, 0]"
52117,[10. 12.  3.],[1. 0. 0.],0,"[46, 7, 33, 0]"
52117,[10. 13. 12.],[1. 0. 0.],0,"[46, 7, 33, 0]"
