game_nr,object,fixed indices,context condition,message
3430,[ 8.  6. 11.],[0. 1. 1.],0,"[27, 27, 18, 0]"
3430,[10.  6. 11.],[0. 1. 1.],0,"[27, 27, 18, 0]"
3430,[11.  6. 11.],[0. 1. 1.],0,"[27, 27, 18, 0]"
3430,[ 1.  6. 11.],[0. 1. 1.],0,"[27, 27, 18, 0]"
3430,[ 2.  6. 11.],[0. 1. 1.],0,"[27, 27, 18, 0]"
3430,[ 0.  6. 11.],[0. 1. 1.],0,"[27, 27, 18, 0]"
3430,[13.  6. 11.],[0. 1. 1.],0,"[27, 27, 18, 0]"
3430,[ 9.  6. 11.],[0. 1. 1.],0,"[27, 27, 18, 0]"
3430,[ 7.  6. 11.],[0. 1. 1.],0,"[27, 27, 18, 0]"
3430,[15.  6. 11.],[0. 1. 1.],0,"[27, 27, 18, 0]"
12165,[ 3.  6. 11.],[0. 1. 1.],0,"[27, 27, 18, 0]"
12165,[ 0.  6. 11.],[0. 1. 1.],0,"[27, 27, 18, 0]"
12165,[ 4.  6. 11.],[0. 1. 1.],0,"[27, 27, 18, 0]"
12165,[10.  6. 11.],[0. 1. 1.],0,"[27, 27, 18, 0]"
12165,[ 1.  6. 11.],[0. 1. 1.],0,"[27, 27, 18, 0]"
12165,[13.  6. 11.],[0. 1. 1.],0,"[27, 27, 18, 0]"
12165,[ 9.  6. 11.],[0. 1. 1.],0,"[27, 27, 18, 0]"
12165,[15.  6. 11.],[0. 1. 1.],0,"[27, 27, 18, 0]"
12165,[11.  6. 11.],[0. 1. 1.],0,"[27, 27, 18, 0]"
12165,[14.  6. 11.],[0. 1. 1.],0,"[27, 27, 18, 0]"
15264,[13.  6. 11.],[0. 1. 1.],0,"[27, 27, 18, 0]"
15264,[ 5.  6. 11.],[0. 1. 1.],0,"[27, 27, 18, 0]"
15264,[12.  6. 11.],[0. 1. 1.],0,"[27, 27, 18, 0]"
15264,[15.  6. 11.],[0. 1. 1.],0,"[27, 27, 18, 0]"
15264,[ 4.  6. 11.],[0. 1. 1.],0,"[27, 27, 18, 0]"
15264,[ 8.  6. 11.],[0. 1. 1.],0,"[27, 27, 18, 0]"
15264,[ 9.  6. 11.],[0. 1. 1.],0,"[27, 27, 18, 0]"
15264,[ 7.  6. 11.],[0. 1. 1.],0,"[27, 27, 18, 0]"
15264,[ 3.  6. 11.],[0. 1. 1.],0,"[27, 27, 18, 0]"
15264,[11.  6. 11.],[0. 1. 1.],0,"[27, 27, 18, 0]"
17540,[ 5.  6. 11.],[0. 1. 1.],0,"[27, 27, 18, 0]"
17540,[ 7.  6. 11.],[0. 1. 1.],0,"[27, 27, 18, 0]"
17540,[15.  6. 11.],[0. 1. 1.],0,"[27, 27, 18, 0]"
17540,[ 0.  6. 11.],[0. 1. 1.],0,"[27, 27, 18, 0]"
17540,[10.  6. 11.],[0. 1. 1.],0,"[27, 27, 18, 0]"
17540,[ 3.  6. 11.],[0. 1. 1.],0,"[27, 27, 18, 0]"
17540,[ 4.  6. 11.],[0. 1. 1.],0,"[27, 27, 18, 0]"
17540,[14.  6. 11.],[0. 1. 1.],0,"[27, 27, 18, 0]"
17540,[ 1.  6. 11.],[0. 1. 1.],0,"[27, 27, 18, 0]"
17540,[ 2.  6. 11.],[0. 1. 1.],0,"[27, 27, 18, 0]"
24745,[15.  6. 11.],[0. 1. 1.],0,"[27, 27, 18, 0]"
24745,[13.  6. 11.],[0. 1. 1.],0,"[27, 27, 18, 0]"
24745,[ 7.  6. 11.],[0. 1. 1.],0,"[27, 27, 18, 0]"
24745,[ 3.  6. 11.],[0. 1. 1.],0,"[27, 27, 18, 0]"
24745,[11.  6. 11.],[0. 1. 1.],0,"[27, 27, 18, 0]"
24745,[ 0.  6. 11.],[0. 1. 1.],0,"[27, 27, 18, 0]"
24745,[ 6.  6. 11.],[0. 1. 1.],0,"[27, 27, 18, 0]"
24745,[ 8.  6. 11.],[0. 1. 1.],0,"[27, 27, 18, 0]"
24745,[ 2.  6. 11.],[0. 1. 1.],0,"[27, 27, 18, 0]"
24745,[ 5.  6. 11.],[0. 1. 1.],0,"[27, 27, 18, 0]"
