game_nr,object,fixed indices,context condition,message
2303,[11.  1.  5.],[0. 1. 1.],0,"[51, 51, 40, 0]"
2303,[5. 1. 5.],[0. 1. 1.],0,"[51, 51, 40, 0]"
2303,[13.  1.  5.],[0. 1. 1.],0,"[51, 51, 40, 0]"
2303,[0. 1. 5.],[0. 1. 1.],0,"[51, 51, 40, 0]"
2303,[2. 1. 5.],[0. 1. 1.],0,"[51, 51, 40, 0]"
2303,[7. 1. 5.],[0. 1. 1.],0,"[51, 51, 40, 0]"
2303,[4. 1. 5.],[0. 1. 1.],0,"[51, 51, 40, 0]"
2303,[9. 1. 5.],[0. 1. 1.],0,"[51, 51, 40, 0]"
2303,[1. 1. 5.],[0. 1. 1.],0,"[51, 51, 40, 0]"
2303,[15.  1.  5.],[0. 1. 1.],0,"[51, 51, 40, 0]"
3582,[0. 1. 5.],[0. 1. 1.],0,"[51, 51, 40, 0]"
3582,[14.  1.  5.],[0. 1. 1.],0,"[51, 51, 40, 0]"
3582,[8. 1. 5.],[0. 1. 1.],0,"[51, 51, 40, 0]"
3582,[9. 1. 5.],[0. 1. 1.],0,"[51, 51, 40, 0]"
3582,[12.  1.  5.],[0. 1. 1.],0,"[51, 51, 40, 0]"
3582,[7. 1. 5.],[0. 1. 1.],0,"[51, 51, 40, 0]"
3582,[2. 1. 5.],[0. 1. 1.],0,"[51, 51, 40, 0]"
3582,[5. 1. 5.],[0. 1. 1.],0,"[51, 51, 40, 0]"
3582,[13.  1.  5.],[0. 1. 1.],0,"[51, 51, 40, 0]"
3582,[4. 1. 5.],[0. 1. 1.],0,"[51, 51, 40, 0]"
14468,[3. 1. 5.],[0. 1. 1.],0,"[51, 51, 40, 0]"
14468,[0. 1. 5.],[0. 1. 1.],0,"[51, 51, 40, 0]"
14468,[1. 1. 5.],[0. 1. 1.],0,"[51, 51, 40, 0]"
14468,[5. 1. 5.],[0. 1. 1.],0,"[51, 51, 40, 0]"
14468,[15.  1.  5.],[0. 1. 1.],0,"[51, 51, 40, 0]"
14468,[4. 1. 5.],[0. 1. 1.],0,"[51, 51, 40, 0]"
14468,[13.  1.  5.],[0. 1. 1.],0,"[51, 51, 40, 0]"
14468,[2. 1. 5.],[0. 1. 1.],0,"[51, 51, 40, 0]"
14468,[7. 1. 5.],[0. 1. 1.],0,"[51, 51, 40, 0]"
14468,[10.  1.  5.],[0. 1. 1.],0,"[51, 51, 40, 0]"
15484,[6. 1. 5.],[0. 1. 1.],0,"[51, 51, 40, 0]"
15484,[3. 1. 5.],[0. 1. 1.],0,"[51, 51, 40, 0]"
15484,[7. 1. 5.],[0. 1. 1.],0,"[51, 51, 40, 0]"
15484,[9. 1. 5.],[0. 1. 1.],0,"[51, 51, 40, 0]"
15484,[4. 1. 5.],[0. 1. 1.],0,"[51, 51, 40, 0]"
15484,[2. 1. 5.],[0. 1. 1.],0,"[51, 51, 40, 0]"
15484,[10.  1.  5.],[0. 1. 1.],0,"[51, 51, 40, 0]"
15484,[13.  1.  5.],[0. 1. 1.],0,"[51, 51, 40, 0]"
15484,[11.  1.  5.],[0. 1. 1.],0,"[51, 51, 40, 0]"
15484,[12.  1.  5.],[0. 1. 1.],0,"[51, 51, 40, 0]"
22196,[8. 1. 5.],[0. 1. 1.],0,"[51, 51, 40, 0]"
22196,[15.  1.  5.],[0. 1. 1.],0,"[51, 51, 40, 0]"
22196,[14.  1.  5.],[0. 1. 1.],0,"[51, 51, 40, 0]"
22196,[9. 1. 5.],[0. 1. 1.],0,"[51, 51, 40, 0]"
22196,[13.  1.  5.],[0. 1. 1.],0,"[51, 51, 40, 0]"
22196,[3. 1. 5.],[0. 1. 1.],0,"[51, 51, 40, 0]"
22196,[2. 1. 5.],[0. 1. 1.],0,"[51, 51, 40, 0]"
22196,[5. 1. 5.],[0. 1. 1.],0,"[51, 51, 40, 0]"
22196,[0. 1. 5.],[0. 1. 1.],0,"[51, 51, 40, 0]"
22196,[7. 1. 5.],[0. 1. 1.],0,"[51, 51, 40, 0]"
24803,[8. 1. 5.],[0. 1. 1.],0,"[51, 51, 40, 0]"
24803,[5. 1. 5.],[0. 1. 1.],0,"[51, 51, 40, 0]"
24803,[2. 1. 5.],[0. 1. 1.],0,"[51, 51, 40, 0]"
24803,[7. 1. 5.],[0. 1. 1.],0,"[51, 51, 40, 0]"
24803,[12.  1.  5.],[0. 1. 1.],0,"[51, 51, 40, 0]"
24803,[6. 1. 5.],[0. 1. 1.],0,"[51, 51, 40, 0]"
24803,[9. 1. 5.],[0. 1. 1.],0,"[51, 51, 40, 0]"
24803,[3. 1. 5.],[0. 1. 1.],0,"[51, 51, 40, 0]"
24803,[15.  1.  5.],[0. 1. 1.],0,"[51, 51, 40, 0]"
24803,[4. 1. 5.],[0. 1. 1.],0,"[51, 51, 40, 0]"
25518,[0. 1. 5.],[0. 1. 1.],0,"[51, 51, 40, 0]"
25518,[1. 1. 5.],[0. 1. 1.],0,"[51, 51, 40, 0]"
25518,[13.  1.  5.],[0. 1. 1.],0,"[51, 51, 40, 0]"
25518,[2. 1. 5.],[0. 1. 1.],0,"[51, 51, 40, 0]"
25518,[3. 1. 5.],[0. 1. 1.],0,"[51, 51, 40, 0]"
25518,[8. 1. 5.],[0. 1. 1.],0,"[51, 51, 40, 0]"
25518,[10.  1.  5.],[0. 1. 1.],0,"[51, 51, 40, 0]"
25518,[6. 1. 5.],[0. 1. 1.],0,"[51, 51, 40, 0]"
25518,[9. 1. 5.],[0. 1. 1.],0,"[51, 51, 40, 0]"
25518,[5. 1. 5.],[0. 1. 1.],0,"[51, 51, 40, 0]"
