game_nr,object,fixed indices,context condition,message
3479,[13.  0. 11.],[1. 1. 1.],0,"[38, 18, 18, 0]"
3479,[13.  0. 11.],[1. 1. 1.],0,"[38, 18, 18, 0]"
3479,[13.  0. 11.],[1. 1. 1.],0,"[38, 18, 18, 0]"
3479,[13.  0. 11.],[1. 1. 1.],0,"[38, 18, 18, 0]"
3479,[13.  0. 11.],[1. 1. 1.],0,"[38, 18, 18, 0]"
3479,[13.  0. 11.],[1. 1. 1.],0,"[38, 18, 18, 0]"
3479,[13.  0. 11.],[1. 1. 1.],0,"[38, 18, 18, 0]"
3479,[13.  0. 11.],[1. 1. 1.],0,"[38, 18, 18, 0]"
3479,[13.  0. 11.],[1. 1. 1.],0,"[38, 18, 18, 0]"
3479,[13.  0. 11.],[1. 1. 1.],0,"[38, 18, 18, 0]"
7213,[13.  0. 11.],[1. 1. 1.],0,"[38, 18, 18, 0]"
7213,[13.  0. 11.],[1. 1. 1.],0,"[38, 18, 18, 0]"
7213,[13.  0. 11.],[1. 1. 1.],0,"[38, 18, 18, 0]"
7213,[13.  0. 11.],[1. 1. 1.],0,"[38, 18, 18, 0]"
7213,[13.  0. 11.],[1. 1. 1.],0,"[38, 18, 18, 0]"
7213,[13.  0. 11.],[1. 1. 1.],0,"[38, 18, 18, 0]"
7213,[13.  0. 11.],[1. 1. 1.],0,"[38, 18, 18, 0]"
7213,[13.  0. 11.],[1. 1. 1.],0,"[38, 18, 18, 0]"
7213,[13.  0. 11.],[1. 1. 1.],0,"[38, 18, 18, 0]"
7213,[13.  0. 11.],[1. 1. 1.],0,"[38, 18, 18, 0]"
8166,[13.  0. 11.],[1. 1. 1.],0,"[38, 18, 18, 0]"
8166,[13.  0. 11.],[1. 1. 1.],0,"[38, 18, 18, 0]"
8166,[13.  0. 11.],[1. 1. 1.],0,"[38, 18, 18, 0]"
8166,[13.  0. 11.],[1. 1. 1.],0,"[38, 18, 18, 0]"
8166,[13.  0. 11.],[1. 1. 1.],0,"[38, 18, 18, 0]"
8166,[13.  0. 11.],[1. 1. 1.],0,"[38, 18, 18, 0]"
8166,[13.  0. 11.],[1. 1. 1.],0,"[38, 18, 18, 0]"
8166,[13.  0. 11.],[1. 1. 1.],0,"[38, 18, 18, 0]"
8166,[13.  0. 11.],[1. 1. 1.],0,"[38, 18, 18, 0]"
8166,[13.  0. 11.],[1. 1. 1.],0,"[38, 18, 18, 0]"
10506,[13.  0. 11.],[1. 1. 1.],0,"[38, 18, 18, 0]"
10506,[13.  0. 11.],[1. 1. 1.],0,"[38, 18, 18, 0]"
10506,[13.  0. 11.],[1. 1. 1.],0,"[38, 18, 18, 0]"
10506,[13.  0. 11.],[1. 1. 1.],0,"[38, 18, 18, 0]"
10506,[13.  0. 11.],[1. 1. 1.],0,"[38, 18, 18, 0]"
10506,[13.  0. 11.],[1. 1. 1.],0,"[38, 18, 18, 0]"
10506,[13.  0. 11.],[1. 1. 1.],0,"[38, 18, 18, 0]"
10506,[13.  0. 11.],[1. 1. 1.],0,"[38, 18, 18, 0]"
10506,[13.  0. 11.],[1. 1. 1.],0,"[38, 18, 18, 0]"
10506,[13.  0. 11.],[1. 1. 1.],0,"[38, 18, 18, 0]"
19165,[13.  0. 11.],[1. 1. 1.],0,"[38, 18, 18, 0]"
19165,[13.  0. 11.],[1. 1. 1.],0,"[38, 18, 18, 0]"
19165,[13.  0. 11.],[1. 1. 1.],0,"[38, 18, 18, 0]"
19165,[13.  0. 11.],[1. 1. 1.],0,"[38, 18, 18, 0]"
19165,[13.  0. 11.],[1. 1. 1.],0,"[38, 18, 18, 0]"
19165,[13.  0. 11.],[1. 1. 1.],0,"[38, 18, 18, 0]"
19165,[13.  0. 11.],[1. 1. 1.],0,"[38, 18, 18, 0]"
19165,[13.  0. 11.],[1. 1. 1.],0,"[38, 18, 18, 0]"
19165,[13.  0. 11.],[1. 1. 1.],0,"[38, 18, 18, 0]"
19165,[13.  0. 11.],[1. 1. 1.],0,"[38, 18, 18, 0]"
20540,[13.  0. 11.],[1. 1. 1.],0,"[38, 18, 18, 0]"
20540,[13.  0. 11.],[1. 1. 1.],0,"[38, 18, 18, 0]"
20540,[13.  0. 11.],[1. 1. 1.],0,"[38, 18, 18, 0]"
20540,[13.  0. 11.],[1. 1. 1.],0,"[38, 18, 18, 0]"
20540,[13.  0. 11.],[1. 1. 1.],0,"[38, 18, 18, 0]"
20540,[13.  0. 11.],[1. 1. 1.],0,"[38, 18, 18, 0]"
20540,[13.  0. 11.],[1. 1. 1.],0,"[38, 18, 18, 0]"
20540,[13.  0. 11.],[1. 1. 1.],0,"[38, 18, 18, 0]"
20540,[13.  0. 11.],[1. 1. 1.],0,"[38, 18, 18, 0]"
20540,[13.  0. 11.],[1. 1. 1.],0,"[38, 18, 18, 0]"
28090,[13.  0. 11.],[1. 1. 1.],0,"[38, 18, 18, 0]"
28090,[13.  0. 11.],[1. 1. 1.],0,"[38, 18, 18, 0]"
28090,[13.  0. 11.],[1. 1. 1.],0,"[38, 18, 18, 0]"
28090,[13.  0. 11.],[1. 1. 1.],0,"[38, 18, 18, 0]"
28090,[13.  0. 11.],[1. 1. 1.],0,"[38, 18, 18, 0]"
28090,[13.  0. 11.],[1. 1. 1.],0,"[38, 18, 18, 0]"
28090,[13.  0. 11.],[1. 1. 1.],0,"[38, 18, 18, 0]"
28090,[13.  0. 11.],[1. 1. 1.],0,"[38, 18, 18, 0]"
28090,[13.  0. 11.],[1. 1. 1.],0,"[38, 18, 18, 0]"
28090,[13.  0. 11.],[1. 1. 1.],0,"[38, 18, 18, 0]"
