game_nr,object,fixed indices,context condition,message
1373,[14. 15.  6.],[0. 1. 0.],0,"[51, 27, 18, 0]"
1373,[13. 15. 11.],[0. 1. 0.],0,"[51, 27, 18, 0]"
1373,[ 8. 15. 13.],[0. 1. 0.],0,"[51, 27, 18, 0]"
1373,[ 8. 15. 11.],[0. 1. 0.],0,"[51, 27, 18, 0]"
1373,[ 4. 15.  2.],[0. 1. 0.],0,"[51, 27, 18, 0]"
1373,[ 3. 15.  4.],[0. 1. 0.],0,"[51, 27, 18, 0]"
1373,[ 8. 15. 10.],[0. 1. 0.],0,"[51, 27, 18, 0]"
1373,[ 2. 15. 12.],[0. 1. 0.],0,"[51, 27, 18, 0]"
1373,[12. 15.  5.],[0. 1. 0.],0,"[51, 27, 18, 0]"
1373,[ 9. 15.  3.],[0. 1. 0.],0,"[51, 27, 18, 0]"
1825,[ 0. 15. 14.],[0. 1. 0.],0,"[51, 27, 18, 0]"
1825,[ 4. 15.  1.],[0. 1. 0.],0,"[51, 27, 18, 0]"
1825,[11. 15. 13.],[0. 1. 0.],0,"[51, 27, 18, 0]"
1825,[12. 15.  3.],[0. 1. 0.],0,"[51, 27, 18, 0]"
1825,[ 7. 15. 10.],[0. 1. 0.],0,"[51, 27, 18, 0]"
1825,[ 4. 15. 11.],[0. 1. 0.],0,"[51, 27, 18, 0]"
1825,[ 4. 15.  0.],[0. 1. 0.],0,"[51, 27, 18, 0]"
1825,[10. 15.  5.],[0. 1. 0.],0,"[51, 27, 18, 0]"
1825,[ 6. 15. 13.],[0. 1. 0.],0,"[51, 27, 18, 0]"
1825,[ 4. 15.  3.],[0. 1. 0.],0,"[51, 27, 18, 0]"
9312,[ 6. 15.  5.],[0. 1. 0.],0,"[51, 27, 18, 0]"
9312,[ 5. 15.  7.],[0. 1. 0.],0,"[51, 27, 18, 0]"
9312,[ 5. 15.  1.],[0. 1. 0.],0,"[51, 27, 18, 0]"
9312,[15. 15.  8.],[0. 1. 0.],0,"[51, 27, 18, 0]"
9312,[14. 15.  3.],[0. 1. 0.],0,"[51, 27, 18, 0]"
9312,[ 3. 15. 11.],[0. 1. 0.],0,"[51, 27, 18, 0]"
9312,[ 3. 15.  8.],[0. 1. 0.],0,"[51, 27, 18, 0]"
9312,[ 1. 15. 12.],[0. 1. 0.],0,"[51, 27, 18, 0]"
9312,[ 1. 15. 14.],[0. 1. 0.],0,"[51, 27, 18, 0]"
9312,[11. 15. 14.],[0. 1. 0.],0,"[51, 27, 18, 0]"
9329,[12. 15.  2.],[0. 1. 0.],0,"[51, 27, 18, 0]"
9329,[10. 15.  8.],[0. 1. 0.],0,"[51, 27, 18, 0]"
9329,[ 4. 15. 14.],[0. 1. 0.],0,"[51, 27, 18, 0]"
9329,[ 1. 15.  8.],[0. 1. 0.],0,"[51, 27, 18, 0]"
9329,[ 9. 15. 10.],[0. 1. 0.],0,"[51, 27, 18, 0]"
9329,[15. 15. 12.],[0. 1. 0.],0,"[51, 27, 18, 0]"
