game_nr,object,fixed indices,context condition,message
3914,[ 5.  3. 15.],[0. 1. 0.],0,"[36, 16, 5, 0]"
3914,[5. 3. 6.],[0. 1. 0.],0,"[36, 16, 5, 0]"
3914,[12.  3. 13.],[0. 1. 0.],0,"[36, 16, 5, 0]"
3914,[14.  3.  8.],[0. 1. 0.],0,"[36, 16, 5, 0]"
3914,[6. 3. 3.],[0. 1. 0.],0,"[36, 16, 5, 0]"
3914,[ 3.  3. 12.],[0. 1. 0.],0,"[36, 16, 5, 0]"
3914,[15.  3. 10.],[0. 1. 0.],0,"[36, 16, 5, 0]"
3914,[14.  3.  7.],[0. 1. 0.],0,"[36, 16, 5, 0]"
3914,[1. 3. 1.],[0. 1. 0.],0,"[36, 16, 5, 0]"
3914,[14.  3.  3.],[0. 1. 0.],0,"[36, 16, 5, 0]"
6820,[4. 3. 6.],[0. 1. 0.],0,"[36, 16, 5, 0]"
6820,[12.  3. 13.],[0. 1. 0.],0,"[36, 16, 5, 0]"
6820,[ 1.  3. 13.],[0. 1. 0.],0,"[36, 16, 5, 0]"
6820,[ 8.  3. 12.],[0. 1. 0.],0,"[36, 16, 5, 0]"
6820,[15.  3. 12.],[0. 1. 0.],0,"[36, 16, 5, 0]"
6820,[8. 3. 2.],[0. 1. 0.],0,"[36, 16, 5, 0]"
6820,[15.  3.  7.],[0. 1. 0.],0,"[36, 16, 5, 0]"
6820,[15.  3.  5.],[0. 1. 0.],0,"[36, 16, 5, 0]"
6820,[10.  3.  9.],[0. 1. 0.],0,"[36, 16, 5, 0]"
6820,[6. 3. 3.],[0. 1. 0.],0,"[36, 16, 5, 0]"
7297,[14.  3.  9.],[0. 1. 0.],0,"[36, 16, 5, 0]"
7297,[11.  3.  1.],[0. 1. 0.],0,"[36, 16, 5, 0]"
7297,[7. 3. 7.],[0. 1. 0.],0,"[36, 16, 5, 0]"
7297,[ 7.  3. 13.],[0. 1. 0.],0,"[36, 16, 5, 0]"
7297,[8. 3. 4.],[0. 1. 0.],0,"[36, 16, 5, 0]"
7297,[10.  3.  5.],[0. 1. 0.],0,"[36, 16, 5, 0]"
7297,[ 9.  3. 11.],[0. 1. 0.],0,"[36, 16, 5, 0]"
7297,[6. 3. 4.],[0. 1. 0.],0,"[36, 16, 5, 0]"
7297,[4. 3. 5.],[0. 1. 0.],0,"[36, 16, 5, 0]"
7297,[ 6.  3. 10.],[0. 1. 0.],0,"[36, 16, 5, 0]"
13113,[9. 3. 0.],[0. 1. 0.],0,"[36, 16, 5, 0]"
13113,[4. 3. 9.],[0. 1. 0.],0,"[36, 16, 5, 0]"
13113,[11.  3.  5.],[0. 1. 0.],0,"[36, 16, 5, 0]"
13113,[ 8.  3. 11.],[0. 1. 0.],0,"[36, 16, 5, 0]"
13113,[12.  3. 15.],[0. 1. 0.],0,"[36, 16, 5, 0]"
13113,[14.  3.  8.],[0. 1. 0.],0,"[36, 16, 5, 0]"
13113,[5. 3. 2.],[0. 1. 0.],0,"[36, 16, 5, 0]"
13113,[12.  3. 11.],[0. 1. 0.],0,"[36, 16, 5, 0]"
13113,[2. 3. 5.],[0. 1. 0.],0,"[36, 16, 5, 0]"
13113,[3. 3. 5.],[0. 1. 0.],0,"[36, 16, 5, 0]"
14348,[12.  3.  1.],[0. 1. 0.],0,"[36, 16, 5, 0]"
14348,[2. 3. 7.],[0. 1. 0.],0,"[36, 16, 5, 0]"
14348,[7. 3. 6.],[0. 1. 0.],0,"[36, 16, 5, 0]"
14348,[10.  3. 12.],[0. 1. 0.],0,"[36, 16, 5, 0]"
14348,[ 7.  3. 12.],[0. 1. 0.],0,"[36, 16, 5, 0]"
14348,[ 9.  3. 13.],[0. 1. 0.],0,"[36, 16, 5, 0]"
