game_nr,object,fixed indices,context condition,message
6882,[ 8. 10. 10.],[0. 1. 0.],0,"[39, 16, 16, 0]"
6882,[ 1. 10.  5.],[0. 1. 0.],0,"[39, 16, 16, 0]"
6882,[ 1. 10.  7.],[0. 1. 0.],0,"[39, 16, 16, 0]"
6882,[ 9. 10.  4.],[0. 1. 0.],0,"[39, 16, 16, 0]"
6882,[10. 10. 15.],[0. 1. 0.],0,"[39, 16, 16, 0]"
6882,[ 4. 10.  6.],[0. 1. 0.],0,"[39, 16, 16, 0]"
6882,[15. 10. 15.],[0. 1. 0.],0,"[39, 16, 16, 0]"
6882,[ 4. 10.  9.],[0. 1. 0.],0,"[39, 16, 16, 0]"
6882,[ 6. 10.  0.],[0. 1. 0.],0,"[39, 16, 16, 0]"
6882,[12. 10. 10.],[0. 1. 0.],0,"[39, 16, 16, 0]"
7618,[ 7. 10. 14.],[0. 1. 0.],0,"[39, 16, 16, 0]"
7618,[ 2. 10. 15.],[0. 1. 0.],0,"[39, 16, 16, 0]"
7618,[ 3. 10.  1.],[0. 1. 0.],0,"[39, 16, 16, 0]"
7618,[ 0. 10.  0.],[0. 1. 0.],0,"[39, 16, 16, 0]"
7618,[ 1. 10.  5.],[0. 1. 0.],0,"[39, 16, 16, 0]"
7618,[15. 10.  4.],[0. 1. 0.],0,"[39, 16, 16, 0]"
7618,[10. 10.  9.],[0. 1. 0.],0,"[39, 16, 16, 0]"
7618,[10. 10.  3.],[0. 1. 0.],0,"[39, 16, 16, 0]"
7618,[14. 10.  1.],[0. 1. 0.],0,"[39, 16, 16, 0]"
7618,[14. 10.  2.],[0. 1. 0.],0,"[39, 16, 16, 0]"
27033,[ 1. 10. 10.],[0. 1. 0.],0,"[39, 16, 16, 0]"
27033,[ 0. 10.  4.],[0. 1. 0.],0,"[39, 16, 16, 0]"
27033,[ 7. 10.  2.],[0. 1. 0.],0,"[39, 16, 16, 0]"
27033,[ 1. 10. 11.],[0. 1. 0.],0,"[39, 16, 16, 0]"
27033,[ 4. 10. 15.],[0. 1. 0.],0,"[39, 16, 16, 0]"
27033,[ 3. 10. 10.],[0. 1. 0.],0,"[39, 16, 16, 0]"
27033,[11. 10.  3.],[0. 1. 0.],0,"[39, 16, 16, 0]"
27033,[ 1. 10. 15.],[0. 1. 0.],0,"[39, 16, 16, 0]"
27033,[14. 10.  7.],[0. 1. 0.],0,"[39, 16, 16, 0]"
27033,[ 2. 10. 15.],[0. 1. 0.],0,"[39, 16, 16, 0]"
27233,[ 3. 10. 13.],[0. 1. 0.],0,"[39, 16, 16, 0]"
27233,[ 6. 10.  0.],[0. 1. 0.],0,"[39, 16, 16, 0]"
27233,[10. 10.  3.],[0. 1. 0.],0,"[39, 16, 16, 0]"
27233,[13. 10.  7.],[0. 1. 0.],0,"[39, 16, 16, 0]"
27233,[15. 10. 14.],[0. 1. 0.],0,"[39, 16, 16, 0]"
27233,[12. 10.  4.],[0. 1. 0.],0,"[39, 16, 16, 0]"
27233,[15. 10.  7.],[0. 1. 0.],0,"[39, 16, 16, 0]"
27233,[ 3. 10.  8.],[0. 1. 0.],0,"[39, 16, 16, 0]"
27233,[ 9. 10.  2.],[0. 1. 0.],0,"[39, 16, 16, 0]"
27233,[ 2. 10. 10.],[0. 1. 0.],0,"[39, 16, 16, 0]"
28703,[ 3. 10. 14.],[0. 1. 0.],0,"[39, 16, 16, 0]"
28703,[ 3. 10.  8.],[0. 1. 0.],0,"[39, 16, 16, 0]"
28703,[ 2. 10. 15.],[0. 1. 0.],0,"[39, 16, 16, 0]"
28703,[ 1. 10. 13.],[0. 1. 0.],0,"[39, 16, 16, 0]"
28703,[ 9. 10.  6.],[0. 1. 0.],0,"[39, 16, 16, 0]"
28703,[14. 10.  1.],[0. 1. 0.],0,"[39, 16, 16, 0]"
28703,[ 7. 10. 13.],[0. 1. 0.],0,"[39, 16, 16, 0]"
28703,[ 6. 10.  0.],[0. 1. 0.],0,"[39, 16, 16, 0]"
28703,[12. 10.  2.],[0. 1. 0.],0,"[39, 16, 16, 0]"
28703,[ 9. 10.  1.],[0. 1. 0.],0,"[39, 16, 16, 0]"
28734,[10. 10. 13.],[0. 1. 0.],0,"[39, 16, 16, 0]"
28734,[ 0. 10.  6.],[0. 1. 0.],0,"[39, 16, 16, 0]"
28734,[14. 10. 15.],[0. 1. 0.],0,"[39, 16, 16, 0]"
28734,[10. 10.  4.],[0. 1. 0.],0,"[39, 16, 16, 0]"
28734,[13. 10. 10.],[0. 1. 0.],0,"[39, 16, 16, 0]"
28734,[13. 10.  4.],[0. 1. 0.],0,"[39, 16, 16, 0]"
28734,[ 8. 10.  0.],[0. 1. 0.],0,"[39, 16, 16, 0]"
28734,[ 0. 10. 12.],[0. 1. 0.],0,"[39, 16, 16, 0]"
28734,[ 0. 10.  1.],[0. 1. 0.],0,"[39, 16, 16, 0]"
28734,[15. 10. 15.],[0. 1. 0.],0,"[39, 16, 16, 0]"
