game_nr,object,fixed indices,context condition,message
5237,[ 8. 11.  8.],[1. 1. 1.],2,"[33, 24, 22, 0]"
5237,[ 8. 11.  8.],[1. 1. 1.],2,"[33, 24, 22, 0]"
5237,[ 8. 11.  8.],[1. 1. 1.],2,"[33, 24, 22, 0]"
5237,[ 8. 11.  8.],[1. 1. 1.],2,"[33, 24, 22, 0]"
5237,[ 8. 11.  8.],[1. 1. 1.],2,"[33, 24, 22, 0]"
5237,[ 8. 11.  8.],[1. 1. 1.],2,"[33, 24, 22, 0]"
5237,[ 8. 11.  8.],[1. 1. 1.],2,"[33, 24, 22, 0]"
5237,[ 8. 11.  8.],[1. 1. 1.],2,"[33, 24, 22, 0]"
5237,[ 8. 11.  8.],[1. 1. 1.],2,"[33, 24, 22, 0]"
5237,[ 8. 11.  8.],[1. 1. 1.],2,"[33, 24, 22, 0]"
7165,[ 8. 11.  8.],[1. 1. 1.],2,"[33, 24, 22, 0]"
7165,[ 8. 11.  8.],[1. 1. 1.],2,"[33, 24, 22, 0]"
7165,[ 8. 11.  8.],[1. 1. 1.],2,"[33, 24, 22, 0]"
7165,[ 8. 11.  8.],[1. 1. 1.],2,"[33, 24, 22, 0]"
7165,[ 8. 11.  8.],[1. 1. 1.],2,"[33, 24, 22, 0]"
7165,[ 8. 11.  8.],[1. 1. 1.],2,"[33, 24, 22, 0]"
7165,[ 8. 11.  8.],[1. 1. 1.],2,"[33, 24, 22, 0]"
7165,[ 8. 11.  8.],[1. 1. 1.],2,"[33, 24, 22, 0]"
7165,[ 8. 11.  8.],[1. 1. 1.],2,"[33, 24, 22, 0]"
7165,[ 8. 11.  8.],[1. 1. 1.],2,"[33, 24, 22, 0]"
15479,[ 8. 11.  8.],[1. 1. 1.],2,"[33, 24, 22, 0]"
15479,[ 8. 11.  8.],[1. 1. 1.],2,"[33, 24, 22, 0]"
15479,[ 8. 11.  8.],[1. 1. 1.],2,"[33, 24, 22, 0]"
15479,[ 8. 11.  8.],[1. 1. 1.],2,"[33, 24, 22, 0]"
15479,[ 8. 11.  8.],[1. 1. 1.],2,"[33, 24, 22, 0]"
15479,[ 8. 11.  8.],[1. 1. 1.],2,"[33, 24, 22, 0]"
15479,[ 8. 11.  8.],[1. 1. 1.],2,"[33, 24, 22, 0]"
15479,[ 8. 11.  8.],[1. 1. 1.],2,"[33, 24, 22, 0]"
15479,[ 8. 11.  8.],[1. 1. 1.],2,"[33, 24, 22, 0]"
15479,[ 8. 11.  8.],[1. 1. 1.],2,"[33, 24, 22, 0]"
23006,[ 8. 11.  8.],[1. 1. 1.],2,"[33, 24, 22, 0]"
23006,[ 8. 11.  8.],[1. 1. 1.],2,"[33, 24, 22, 0]"
23006,[ 8. 11.  8.],[1. 1. 1.],2,"[33, 24, 22, 0]"
23006,[ 8. 11.  8.],[1. 1. 1.],2,"[33, 24, 22, 0]"
23006,[ 8. 11.  8.],[1. 1. 1.],2,"[33, 24, 22, 0]"
23006,[ 8. 11.  8.],[1. 1. 1.],2,"[33, 24, 22, 0]"
23006,[ 8. 11.  8.],[1. 1. 1.],2,"[33, 24, 22, 0]"
23006,[ 8. 11.  8.],[1. 1. 1.],2,"[33, 24, 22, 0]"
23006,[ 8. 11.  8.],[1. 1. 1.],2,"[33, 24, 22, 0]"
23006,[ 8. 11.  8.],[1. 1. 1.],2,"[33, 24, 22, 0]"
25699,[ 8. 11.  8.],[1. 1. 1.],2,"[33, 24, 22, 0]"
25699,[ 8. 11.  8.],[1. 1. 1.],2,"[33, 24, 22, 0]"
25699,[ 8. 11.  8.],[1. 1. 1.],2,"[33, 24, 22, 0]"
25699,[ 8. 11.  8.],[1. 1. 1.],2,"[33, 24, 22, 0]"
25699,[ 8. 11.  8.],[1. 1. 1.],2,"[33, 24, 22, 0]"
25699,[ 8. 11.  8.],[1. 1. 1.],2,"[33, 24, 22, 0]"
25699,[ 8. 11.  8.],[1. 1. 1.],2,"[33, 24, 22, 0]"
25699,[ 8. 11.  8.],[1. 1. 1.],2,"[33, 24, 22, 0]"
25699,[ 8. 11.  8.],[1. 1. 1.],2,"[33, 24, 22, 0]"
25699,[ 8. 11.  8.],[1. 1. 1.],2,"[33, 24, 22, 0]"
27640,[ 8. 11.  8.],[1. 1. 1.],2,"[33, 24, 22, 0]"
27640,[ 8. 11.  8.],[1. 1. 1.],2,"[33, 24, 22, 0]"
27640,[ 8. 11.  8.],[1. 1. 1.],2,"[33, 24, 22, 0]"
27640,[ 8. 11.  8.],[1. 1. 1.],2,"[33, 24, 22, 0]"
27640,[ 8. 11.  8.],[1. 1. 1.],2,"[33, 24, 22, 0]"
27640,[ 8. 11.  8.],[1. 1. 1.],2,"[33, 24, 22, 0]"
27640,[ 8. 11.  8.],[1. 1. 1.],2,"[33, 24, 22, 0]"
27640,[ 8. 11.  8.],[1. 1. 1.],2,"[33, 24, 22, 0]"
27640,[ 8. 11.  8.],[1. 1. 1.],2,"[33, 24, 22, 0]"
27640,[ 8. 11.  8.],[1. 1. 1.],2,"[33, 24, 22, 0]"
