game_nr,object,fixed indices,context condition,message
2217,[11.  1.  6.],[0. 0. 1.],0,"[29, 5, 5, 0]"
2217,[ 0. 15.  6.],[0. 0. 1.],0,"[29, 5, 5, 0]"
2217,[11.  7.  6.],[0. 0. 1.],0,"[29, 5, 5, 0]"
2217,[14.  4.  6.],[0. 0. 1.],0,"[29, 5, 5, 0]"
2217,[13. 15.  6.],[0. 0. 1.],0,"[29, 5, 5, 0]"
2217,[10.  0.  6.],[0. 0. 1.],0,"[29, 5, 5, 0]"
2217,[5. 1. 6.],[0. 0. 1.],0,"[29, 5, 5, 0]"
2217,[13. 12.  6.],[0. 0. 1.],0,"[29, 5, 5, 0]"
2217,[3. 4. 6.],[0. 0. 1.],0,"[29, 5, 5, 0]"
2217,[3. 6. 6.],[0. 0. 1.],0,"[29, 5, 5, 0]"
3820,[ 6. 15.  6.],[0. 0. 1.],0,"[29, 5, 5, 0]"
3820,[8. 6. 6.],[0. 0. 1.],0,"[29, 5, 5, 0]"
3820,[6. 0. 6.],[0. 0. 1.],0,"[29, 5, 5, 0]"
3820,[15. 14.  6.],[0. 0. 1.],0,"[29, 5, 5, 0]"
3820,[10.  4.  6.],[0. 0. 1.],0,"[29, 5, 5, 0]"
3820,[11.  6.  6.],[0. 0. 1.],0,"[29, 5, 5, 0]"
3820,[12.  2.  6.],[0. 0. 1.],0,"[29, 5, 5, 0]"
3820,[14.  5.  6.],[0. 0. 1.],0,"[29, 5, 5, 0]"
3820,[5. 0. 6.],[0. 0. 1.],0,"[29, 5, 5, 0]"
3820,[ 6. 14.  6.],[0. 0. 1.],0,"[29, 5, 5, 0]"
5373,[6. 0. 6.],[0. 0. 1.],0,"[27, 43, 5, 0]"
5373,[7. 2. 6.],[0. 0. 1.],0,"[27, 43, 5, 0]"
5373,[13.  6.  6.],[0. 0. 1.],0,"[27, 43, 5, 0]"
5373,[ 8. 13.  6.],[0. 0. 1.],0,"[27, 43, 5, 0]"
5373,[14.  6.  6.],[0. 0. 1.],0,"[27, 43, 5, 0]"
5373,[0. 2. 6.],[0. 0. 1.],0,"[27, 43, 5, 0]"
5373,[ 5. 11.  6.],[0. 0. 1.],0,"[27, 43, 5, 0]"
5373,[9. 6. 6.],[0. 0. 1.],0,"[27, 43, 5, 0]"
5373,[1. 7. 6.],[0. 0. 1.],0,"[27, 43, 5, 0]"
5373,[ 9. 12.  6.],[0. 0. 1.],0,"[27, 43, 5, 0]"
10615,[4. 0. 6.],[0. 0. 1.],0,"[29, 5, 5, 0]"
10615,[11. 15.  6.],[0. 0. 1.],0,"[29, 5, 5, 0]"
10615,[12.  4.  6.],[0. 0. 1.],0,"[29, 5, 5, 0]"
10615,[15.  5.  6.],[0. 0. 1.],0,"[29, 5, 5, 0]"
10615,[1. 3. 6.],[0. 0. 1.],0,"[29, 5, 5, 0]"
10615,[5. 3. 6.],[0. 0. 1.],0,"[29, 5, 5, 0]"
10615,[14.  8.  6.],[0. 0. 1.],0,"[29, 5, 5, 0]"
10615,[4. 8. 6.],[0. 0. 1.],0,"[29, 5, 5, 0]"
10615,[10.  5.  6.],[0. 0. 1.],0,"[29, 5, 5, 0]"
10615,[10.  4.  6.],[0. 0. 1.],0,"[29, 5, 5, 0]"
11869,[1. 8. 6.],[0. 0. 1.],0,"[29, 5, 5, 0]"
11869,[9. 3. 6.],[0. 0. 1.],0,"[29, 5, 5, 0]"
11869,[ 0. 14.  6.],[0. 0. 1.],0,"[29, 5, 5, 0]"
11869,[ 6. 12.  6.],[0. 0. 1.],0,"[29, 5, 5, 0]"
11869,[ 9. 15.  6.],[0. 0. 1.],0,"[29, 5, 5, 0]"
11869,[2. 3. 6.],[0. 0. 1.],0,"[29, 5, 5, 0]"
11869,[10.  1.  6.],[0. 0. 1.],0,"[29, 5, 5, 0]"
11869,[2. 9. 6.],[0. 0. 1.],0,"[29, 5, 5, 0]"
11869,[12. 11.  6.],[0. 0. 1.],0,"[29, 5, 5, 0]"
11869,[10.  7.  6.],[0. 0. 1.],0,"[29, 5, 5, 0]"
19086,[5. 1. 6.],[0. 0. 1.],0,"[29, 5, 5, 0]"
19086,[13.  9.  6.],[0. 0. 1.],0,"[29, 5, 5, 0]"
19086,[3. 7. 6.],[0. 0. 1.],0,"[29, 5, 5, 0]"
19086,[0. 0. 6.],[0. 0. 1.],0,"[29, 5, 5, 0]"
19086,[3. 4. 6.],[0. 0. 1.],0,"[29, 5, 5, 0]"
19086,[5. 4. 6.],[0. 0. 1.],0,"[29, 5, 5, 0]"
19086,[11.  2.  6.],[0. 0. 1.],0,"[29, 5, 5, 0]"
19086,[11.  5.  6.],[0. 0. 1.],0,"[29, 5, 5, 0]"
19086,[ 3. 15.  6.],[0. 0. 1.],0,"[29, 5, 5, 0]"
19086,[3. 0. 6.],[0. 0. 1.],0,"[29, 5, 5, 0]"
28992,[0. 3. 6.],[0. 0. 1.],0,"[39, 5, 5, 0]"
28992,[9. 2. 6.],[0. 0. 1.],0,"[39, 5, 5, 0]"
28992,[8. 3. 6.],[0. 0. 1.],0,"[39, 5, 5, 0]"
28992,[5. 4. 6.],[0. 0. 1.],0,"[39, 5, 5, 0]"
28992,[14.  7.  6.],[0. 0. 1.],0,"[39, 5, 5, 0]"
28992,[ 4. 13.  6.],[0. 0. 1.],0,"[39, 5, 5, 0]"
28992,[ 1. 13.  6.],[0. 0. 1.],0,"[39, 5, 5, 0]"
28992,[15. 12.  6.],[0. 0. 1.],0,"[39, 5, 5, 0]"
28992,[11. 11.  6.],[0. 0. 1.],0,"[39, 5, 5, 0]"
28992,[14. 10.  6.],[0. 0. 1.],0,"[39, 5, 5, 0]"
