game_nr,object,fixed indices,context condition,message
766,[0. 2. 1.],[1. 1. 1.],0,"[2, 2, 2, 0]"
551,[0. 2. 1.],[1. 1. 1.],2,"[2, 2, 2, 0]"
1096,[0. 2. 1.],[1. 1. 1.],1,"[2, 2, 2, 0]"
1096,[0. 2. 1.],[1. 1. 1.],1,"[2, 2, 2, 0]"
827,[0. 2. 1.],[1. 1. 1.],2,"[2, 2, 2, 0]"
1171,[0. 2. 1.],[1. 1. 1.],0,"[2, 2, 2, 0]"
1171,[0. 2. 1.],[1. 1. 1.],0,"[2, 2, 2, 0]"
1348,[0. 2. 1.],[1. 1. 1.],2,"[2, 2, 2, 0]"
908,[0. 2. 1.],[1. 1. 1.],0,"[2, 2, 2, 0]"
1096,[0. 2. 1.],[1. 1. 1.],1,"[2, 2, 2, 0]"
104,[0. 2. 1.],[1. 1. 1.],0,"[2, 2, 2, 0]"
104,[0. 2. 1.],[1. 1. 1.],0,"[2, 2, 2, 0]"
551,[0. 2. 1.],[1. 1. 1.],2,"[2, 2, 2, 0]"
442,[0. 2. 1.],[1. 1. 1.],1,"[2, 2, 2, 0]"
1096,[0. 2. 1.],[1. 1. 1.],1,"[2, 2, 2, 0]"
149,[0. 2. 1.],[1. 1. 1.],1,"[2, 2, 2, 0]"
87,[0. 2. 1.],[1. 1. 1.],0,"[2, 2, 2, 0]"
87,[0. 2. 1.],[1. 1. 1.],0,"[2, 2, 2, 0]"
816,[0. 2. 1.],[1. 1. 1.],0,"[2, 2, 2, 0]"
87,[0. 2. 1.],[1. 1. 1.],0,"[2, 2, 2, 0]"
