game_nr,object,fixed indices,context condition,message
1477,[2. 0. 3.],[0. 1. 0.],0,"[7, 7, 0, 0]"
1208,[3. 0. 3.],[0. 1. 0.],0,"[7, 7, 0, 0]"
1021,[1. 0. 2.],[0. 1. 0.],0,"[7, 7, 0, 0]"
750,[2. 0. 3.],[0. 1. 0.],0,"[7, 7, 7, 0]"
980,[1. 0. 2.],[0. 1. 0.],0,"[7, 7, 0, 0]"
1477,[3. 0. 2.],[0. 1. 0.],0,"[7, 7, 0, 0]"
750,[0. 0. 0.],[0. 1. 0.],0,"[7, 7, 7, 0]"
980,[2. 0. 0.],[0. 1. 0.],0,"[7, 7, 0, 0]"
980,[3. 0. 0.],[0. 1. 0.],0,"[7, 7, 0, 0]"
1477,[1. 0. 3.],[0. 1. 0.],0,"[7, 7, 0, 0]"
723,[3. 0. 2.],[0. 1. 0.],0,"[7, 7, 0, 0]"
1477,[1. 0. 2.],[0. 1. 0.],0,"[7, 7, 0, 0]"
750,[3. 0. 1.],[0. 1. 0.],0,"[7, 7, 7, 0]"
1021,[3. 0. 0.],[0. 1. 0.],0,"[7, 7, 0, 0]"
1477,[3. 0. 0.],[0. 1. 0.],0,"[7, 7, 0, 0]"
723,[0. 0. 0.],[0. 1. 0.],0,"[7, 7, 0, 0]"
723,[2. 0. 0.],[0. 1. 0.],0,"[7, 7, 0, 0]"
1021,[1. 0. 0.],[0. 1. 0.],0,"[7, 7, 0, 0]"
750,[2. 0. 1.],[0. 1. 0.],0,"[7, 7, 7, 0]"
1477,[3. 0. 1.],[0. 1. 0.],0,"[7, 7, 0, 0]"
