game_nr,object,fixed indices,context condition,message
13,[0. 0. 0.],[1. 1. 1.],2,"[2, 13, 0, 0]"
13,[0. 0. 0.],[1. 1. 1.],2,"[2, 13, 0, 0]"
13,[0. 0. 0.],[1. 1. 1.],2,"[2, 13, 0, 0]"
13,[0. 0. 0.],[1. 1. 1.],2,"[2, 13, 0, 0]"
13,[0. 0. 0.],[1. 1. 1.],2,"[2, 13, 0, 0]"
13,[0. 0. 0.],[1. 1. 1.],2,"[2, 13, 0, 0]"
13,[0. 0. 0.],[1. 1. 1.],2,"[2, 13, 0, 0]"
13,[0. 0. 0.],[1. 1. 1.],2,"[2, 13, 0, 0]"
13,[0. 0. 0.],[1. 1. 1.],2,"[2, 13, 0, 0]"
13,[0. 0. 0.],[1. 1. 1.],2,"[2, 13, 0, 0]"
44,[0. 0. 0.],[1. 1. 1.],1,"[2, 0, 0, 0]"
44,[0. 0. 0.],[1. 1. 1.],1,"[2, 0, 0, 0]"
44,[0. 0. 0.],[1. 1. 1.],1,"[2, 0, 0, 0]"
44,[0. 0. 0.],[1. 1. 1.],1,"[2, 0, 0, 0]"
44,[0. 0. 0.],[1. 1. 1.],1,"[2, 0, 0, 0]"
44,[0. 0. 0.],[1. 1. 1.],1,"[2, 0, 0, 0]"
44,[0. 0. 0.],[1. 1. 1.],1,"[2, 0, 0, 0]"
44,[0. 0. 0.],[1. 1. 1.],1,"[2, 0, 0, 0]"
44,[0. 0. 0.],[1. 1. 1.],1,"[2, 0, 0, 0]"
44,[0. 0. 0.],[1. 1. 1.],1,"[2, 0, 0, 0]"
224,[0. 0. 0.],[1. 1. 1.],2,"[2, 13, 0, 0]"
224,[0. 0. 0.],[1. 1. 1.],2,"[2, 13, 0, 0]"
224,[0. 0. 0.],[1. 1. 1.],2,"[2, 13, 0, 0]"
224,[0. 0. 0.],[1. 1. 1.],2,"[2, 13, 0, 0]"
224,[0. 0. 0.],[1. 1. 1.],2,"[2, 13, 0, 0]"
224,[0. 0. 0.],[1. 1. 1.],2,"[2, 13, 0, 0]"
224,[0. 0. 0.],[1. 1. 1.],2,"[2, 13, 0, 0]"
224,[0. 0. 0.],[1. 1. 1.],2,"[2, 13, 0, 0]"
224,[0. 0. 0.],[1. 1. 1.],2,"[2, 13, 0, 0]"
224,[0. 0. 0.],[1. 1. 1.],2,"[2, 13, 0, 0]"
281,[0. 0. 0.],[1. 1. 1.],1,"[2, 0, 13, 0]"
281,[0. 0. 0.],[1. 1. 1.],1,"[2, 0, 13, 0]"
281,[0. 0. 0.],[1. 1. 1.],1,"[2, 0, 13, 0]"
281,[0. 0. 0.],[1. 1. 1.],1,"[2, 0, 13, 0]"
281,[0. 0. 0.],[1. 1. 1.],1,"[2, 0, 13, 0]"
281,[0. 0. 0.],[1. 1. 1.],1,"[2, 0, 13, 0]"
281,[0. 0. 0.],[1. 1. 1.],1,"[2, 0, 13, 0]"
281,[0. 0. 0.],[1. 1. 1.],1,"[2, 0, 13, 0]"
281,[0. 0. 0.],[1. 1. 1.],1,"[2, 0, 13, 0]"
281,[0. 0. 0.],[1. 1. 1.],1,"[2, 0, 13, 0]"
350,[0. 0. 0.],[1. 1. 1.],2,"[2, 13, 0, 0]"
350,[0. 0. 0.],[1. 1. 1.],2,"[2, 13, 0, 0]"
350,[0. 0. 0.],[1. 1. 1.],2,"[2, 13, 0, 0]"
350,[0. 0. 0.],[1. 1. 1.],2,"[2, 13, 0, 0]"
350,[0. 0. 0.],[1. 1. 1.],2,"[2, 13, 0, 0]"
350,[0. 0. 0.],[1. 1. 1.],2,"[2, 13, 0, 0]"
350,[0. 0. 0.],[1. 1. 1.],2,"[2, 13, 0, 0]"
350,[0. 0. 0.],[1. 1. 1.],2,"[2, 13, 0, 0]"
350,[0. 0. 0.],[1. 1. 1.],2,"[2, 13, 0, 0]"
350,[0. 0. 0.],[1. 1. 1.],2,"[2, 13, 0, 0]"
360,[0. 0. 0.],[1. 1. 1.],1,"[2, 0, 13, 0]"
360,[0. 0. 0.],[1. 1. 1.],1,"[2, 0, 13, 0]"
360,[0. 0. 0.],[1. 1. 1.],1,"[2, 0, 13, 0]"
360,[0. 0. 0.],[1. 1. 1.],1,"[2, 0, 13, 0]"
360,[0. 0. 0.],[1. 1. 1.],1,"[2, 0, 13, 0]"
360,[0. 0. 0.],[1. 1. 1.],1,"[2, 0, 13, 0]"
360,[0. 0. 0.],[1. 1. 1.],1,"[2, 0, 13, 0]"
360,[0. 0. 0.],[1. 1. 1.],1,"[2, 0, 13, 0]"
360,[0. 0. 0.],[1. 1. 1.],1,"[2, 0, 13, 0]"
360,[0. 0. 0.],[1. 1. 1.],1,"[2, 0, 13, 0]"
386,[0. 0. 0.],[1. 1. 1.],0,"[2, 0, 13, 0]"
386,[0. 0. 0.],[1. 1. 1.],0,"[2, 0, 13, 0]"
386,[0. 0. 0.],[1. 1. 1.],0,"[2, 0, 13, 0]"
386,[0. 0. 0.],[1. 1. 1.],0,"[2, 0, 13, 0]"
386,[0. 0. 0.],[1. 1. 1.],0,"[2, 0, 13, 0]"
386,[0. 0. 0.],[1. 1. 1.],0,"[2, 0, 13, 0]"
386,[0. 0. 0.],[1. 1. 1.],0,"[2, 0, 13, 0]"
386,[0. 0. 0.],[1. 1. 1.],0,"[2, 0, 13, 0]"
386,[0. 0. 0.],[1. 1. 1.],0,"[2, 0, 13, 0]"
386,[0. 0. 0.],[1. 1. 1.],0,"[2, 0, 13, 0]"
398,[0. 0. 0.],[1. 1. 1.],1,"[2, 0, 0, 0]"
398,[0. 0. 0.],[1. 1. 1.],1,"[2, 0, 0, 0]"
398,[0. 0. 0.],[1. 1. 1.],1,"[2, 0, 0, 0]"
398,[0. 0. 0.],[1. 1. 1.],1,"[2, 0, 0, 0]"
398,[0. 0. 0.],[1. 1. 1.],1,"[2, 0, 0, 0]"
398,[0. 0. 0.],[1. 1. 1.],1,"[2, 0, 0, 0]"
398,[0. 0. 0.],[1. 1. 1.],1,"[2, 0, 0, 0]"
398,[0. 0. 0.],[1. 1. 1.],1,"[2, 0, 0, 0]"
398,[0. 0. 0.],[1. 1. 1.],1,"[2, 0, 0, 0]"
398,[0. 0. 0.],[1. 1. 1.],1,"[2, 0, 0, 0]"
482,[0. 0. 0.],[1. 1. 1.],1,"[2, 0, 13, 0]"
482,[0. 0. 0.],[1. 1. 1.],1,"[2, 0, 13, 0]"
482,[0. 0. 0.],[1. 1. 1.],1,"[2, 0, 13, 0]"
482,[0. 0. 0.],[1. 1. 1.],1,"[2, 0, 13, 0]"
482,[0. 0. 0.],[1. 1. 1.],1,"[2, 0, 13, 0]"
482,[0. 0. 0.],[1. 1. 1.],1,"[2, 0, 13, 0]"
482,[0. 0. 0.],[1. 1. 1.],1,"[2, 0, 13, 0]"
482,[0. 0. 0.],[1. 1. 1.],1,"[2, 0, 13, 0]"
482,[0. 0. 0.],[1. 1. 1.],1,"[2, 0, 13, 0]"
482,[0. 0. 0.],[1. 1. 1.],1,"[2, 0, 13, 0]"
483,[0. 0. 0.],[1. 1. 1.],0,"[2, 0, 13, 0]"
483,[0. 0. 0.],[1. 1. 1.],0,"[2, 0, 13, 0]"
483,[0. 0. 0.],[1. 1. 1.],0,"[2, 0, 13, 0]"
483,[0. 0. 0.],[1. 1. 1.],0,"[2, 0, 13, 0]"
483,[0. 0. 0.],[1. 1. 1.],0,"[2, 0, 13, 0]"
483,[0. 0. 0.],[1. 1. 1.],0,"[2, 0, 13, 0]"
483,[0. 0. 0.],[1. 1. 1.],0,"[2, 0, 13, 0]"
483,[0. 0. 0.],[1. 1. 1.],0,"[2, 0, 13, 0]"
483,[0. 0. 0.],[1. 1. 1.],0,"[2, 0, 13, 0]"
483,[0. 0. 0.],[1. 1. 1.],0,"[2, 0, 13, 0]"
485,[0. 0. 0.],[1. 1. 1.],0,"[2, 0, 13, 0]"
485,[0. 0. 0.],[1. 1. 1.],0,"[2, 0, 13, 0]"
485,[0. 0. 0.],[1. 1. 1.],0,"[2, 0, 13, 0]"
485,[0. 0. 0.],[1. 1. 1.],0,"[2, 0, 13, 0]"
485,[0. 0. 0.],[1. 1. 1.],0,"[2, 0, 13, 0]"
485,[0. 0. 0.],[1. 1. 1.],0,"[2, 0, 13, 0]"
485,[0. 0. 0.],[1. 1. 1.],0,"[2, 0, 13, 0]"
485,[0. 0. 0.],[1. 1. 1.],0,"[2, 0, 13, 0]"
485,[0. 0. 0.],[1. 1. 1.],0,"[2, 0, 13, 0]"
485,[0. 0. 0.],[1. 1. 1.],0,"[2, 0, 13, 0]"
501,[0. 0. 0.],[1. 1. 1.],0,"[2, 0, 0, 0]"
501,[0. 0. 0.],[1. 1. 1.],0,"[2, 0, 0, 0]"
501,[0. 0. 0.],[1. 1. 1.],0,"[2, 0, 0, 0]"
501,[0. 0. 0.],[1. 1. 1.],0,"[2, 0, 0, 0]"
501,[0. 0. 0.],[1. 1. 1.],0,"[2, 0, 0, 0]"
501,[0. 0. 0.],[1. 1. 1.],0,"[2, 0, 0, 0]"
501,[0. 0. 0.],[1. 1. 1.],0,"[2, 0, 0, 0]"
501,[0. 0. 0.],[1. 1. 1.],0,"[2, 0, 0, 0]"
501,[0. 0. 0.],[1. 1. 1.],0,"[2, 0, 0, 0]"
501,[0. 0. 0.],[1. 1. 1.],0,"[2, 0, 0, 0]"
522,[0. 0. 0.],[1. 1. 1.],0,"[2, 0, 13, 0]"
522,[0. 0. 0.],[1. 1. 1.],0,"[2, 0, 13, 0]"
522,[0. 0. 0.],[1. 1. 1.],0,"[2, 0, 13, 0]"
522,[0. 0. 0.],[1. 1. 1.],0,"[2, 0, 13, 0]"
522,[0. 0. 0.],[1. 1. 1.],0,"[2, 0, 13, 0]"
522,[0. 0. 0.],[1. 1. 1.],0,"[2, 0, 13, 0]"
522,[0. 0. 0.],[1. 1. 1.],0,"[2, 0, 13, 0]"
522,[0. 0. 0.],[1. 1. 1.],0,"[2, 0, 13, 0]"
522,[0. 0. 0.],[1. 1. 1.],0,"[2, 0, 13, 0]"
522,[0. 0. 0.],[1. 1. 1.],0,"[2, 0, 13, 0]"
658,[0. 0. 0.],[1. 1. 1.],2,"[2, 13, 0, 0]"
658,[0. 0. 0.],[1. 1. 1.],2,"[2, 13, 0, 0]"
658,[0. 0. 0.],[1. 1. 1.],2,"[2, 13, 0, 0]"
658,[0. 0. 0.],[1. 1. 1.],2,"[2, 13, 0, 0]"
658,[0. 0. 0.],[1. 1. 1.],2,"[2, 13, 0, 0]"
658,[0. 0. 0.],[1. 1. 1.],2,"[2, 13, 0, 0]"
658,[0. 0. 0.],[1. 1. 1.],2,"[2, 13, 0, 0]"
658,[0. 0. 0.],[1. 1. 1.],2,"[2, 13, 0, 0]"
658,[0. 0. 0.],[1. 1. 1.],2,"[2, 13, 0, 0]"
658,[0. 0. 0.],[1. 1. 1.],2,"[2, 13, 0, 0]"
771,[0. 0. 0.],[1. 1. 1.],1,"[2, 0, 13, 0]"
771,[0. 0. 0.],[1. 1. 1.],1,"[2, 0, 13, 0]"
771,[0. 0. 0.],[1. 1. 1.],1,"[2, 0, 13, 0]"
771,[0. 0. 0.],[1. 1. 1.],1,"[2, 0, 13, 0]"
771,[0. 0. 0.],[1. 1. 1.],1,"[2, 0, 13, 0]"
771,[0. 0. 0.],[1. 1. 1.],1,"[2, 0, 13, 0]"
771,[0. 0. 0.],[1. 1. 1.],1,"[2, 0, 13, 0]"
771,[0. 0. 0.],[1. 1. 1.],1,"[2, 0, 13, 0]"
771,[0. 0. 0.],[1. 1. 1.],1,"[2, 0, 13, 0]"
771,[0. 0. 0.],[1. 1. 1.],1,"[2, 0, 13, 0]"
789,[0. 0. 0.],[1. 1. 1.],0,"[2, 0, 0, 0]"
789,[0. 0. 0.],[1. 1. 1.],0,"[2, 0, 0, 0]"
789,[0. 0. 0.],[1. 1. 1.],0,"[2, 0, 0, 0]"
789,[0. 0. 0.],[1. 1. 1.],0,"[2, 0, 0, 0]"
789,[0. 0. 0.],[1. 1. 1.],0,"[2, 0, 0, 0]"
789,[0. 0. 0.],[1. 1. 1.],0,"[2, 0, 0, 0]"
789,[0. 0. 0.],[1. 1. 1.],0,"[2, 0, 0, 0]"
789,[0. 0. 0.],[1. 1. 1.],0,"[2, 0, 0, 0]"
789,[0. 0. 0.],[1. 1. 1.],0,"[2, 0, 0, 0]"
789,[0. 0. 0.],[1. 1. 1.],0,"[2, 0, 0, 0]"
815,[0. 0. 0.],[1. 1. 1.],2,"[2, 13, 0, 0]"
815,[0. 0. 0.],[1. 1. 1.],2,"[2, 13, 0, 0]"
815,[0. 0. 0.],[1. 1. 1.],2,"[2, 13, 0, 0]"
815,[0. 0. 0.],[1. 1. 1.],2,"[2, 13, 0, 0]"
815,[0. 0. 0.],[1. 1. 1.],2,"[2, 13, 0, 0]"
815,[0. 0. 0.],[1. 1. 1.],2,"[2, 13, 0, 0]"
815,[0. 0. 0.],[1. 1. 1.],2,"[2, 13, 0, 0]"
815,[0. 0. 0.],[1. 1. 1.],2,"[2, 13, 0, 0]"
815,[0. 0. 0.],[1. 1. 1.],2,"[2, 13, 0, 0]"
815,[0. 0. 0.],[1. 1. 1.],2,"[2, 13, 0, 0]"
983,[0. 0. 0.],[1. 1. 1.],2,"[2, 13, 0, 0]"
983,[0. 0. 0.],[1. 1. 1.],2,"[2, 13, 0, 0]"
983,[0. 0. 0.],[1. 1. 1.],2,"[2, 13, 0, 0]"
983,[0. 0. 0.],[1. 1. 1.],2,"[2, 13, 0, 0]"
983,[0. 0. 0.],[1. 1. 1.],2,"[2, 13, 0, 0]"
983,[0. 0. 0.],[1. 1. 1.],2,"[2, 13, 0, 0]"
983,[0. 0. 0.],[1. 1. 1.],2,"[2, 13, 0, 0]"
983,[0. 0. 0.],[1. 1. 1.],2,"[2, 13, 0, 0]"
983,[0. 0. 0.],[1. 1. 1.],2,"[2, 13, 0, 0]"
983,[0. 0. 0.],[1. 1. 1.],2,"[2, 13, 0, 0]"
1029,[0. 0. 0.],[1. 1. 1.],0,"[2, 0, 13, 0]"
1029,[0. 0. 0.],[1. 1. 1.],0,"[2, 0, 13, 0]"
1029,[0. 0. 0.],[1. 1. 1.],0,"[2, 0, 13, 0]"
1029,[0. 0. 0.],[1. 1. 1.],0,"[2, 0, 13, 0]"
1029,[0. 0. 0.],[1. 1. 1.],0,"[2, 0, 13, 0]"
1029,[0. 0. 0.],[1. 1. 1.],0,"[2, 0, 13, 0]"
1029,[0. 0. 0.],[1. 1. 1.],0,"[2, 0, 13, 0]"
1029,[0. 0. 0.],[1. 1. 1.],0,"[2, 0, 13, 0]"
1029,[0. 0. 0.],[1. 1. 1.],0,"[2, 0, 13, 0]"
1029,[0. 0. 0.],[1. 1. 1.],0,"[2, 0, 13, 0]"
1034,[0. 0. 0.],[1. 1. 1.],2,"[2, 13, 0, 0]"
1034,[0. 0. 0.],[1. 1. 1.],2,"[2, 13, 0, 0]"
1034,[0. 0. 0.],[1. 1. 1.],2,"[2, 13, 0, 0]"
1034,[0. 0. 0.],[1. 1. 1.],2,"[2, 13, 0, 0]"
1034,[0. 0. 0.],[1. 1. 1.],2,"[2, 13, 0, 0]"
1034,[0. 0. 0.],[1. 1. 1.],2,"[2, 13, 0, 0]"
1034,[0. 0. 0.],[1. 1. 1.],2,"[2, 13, 0, 0]"
1034,[0. 0. 0.],[1. 1. 1.],2,"[2, 13, 0, 0]"
1034,[0. 0. 0.],[1. 1. 1.],2,"[2, 13, 0, 0]"
1034,[0. 0. 0.],[1. 1. 1.],2,"[2, 13, 0, 0]"
