game_nr,object,fixed indices,context condition,message
1794,[1. 0. 2.],[0. 1. 0.],0,"[14, 14, 0, 0]"
1514,[2. 0. 0.],[0. 1. 0.],0,"[14, 14, 0, 0]"
1276,[2. 0. 2.],[0. 1. 0.],0,"[14, 14, 0, 0]"
1514,[0. 0. 2.],[0. 1. 0.],0,"[14, 14, 0, 0]"
212,[2. 0. 2.],[0. 1. 0.],0,"[14, 14, 0, 0]"
212,[1. 0. 2.],[0. 1. 0.],0,"[14, 14, 0, 0]"
1276,[3. 0. 1.],[0. 1. 0.],0,"[14, 14, 0, 0]"
1021,[1. 0. 1.],[0. 1. 0.],0,"[14, 14, 0, 0]"
1794,[2. 0. 2.],[0. 1. 0.],0,"[14, 14, 0, 0]"
1276,[0. 0. 1.],[0. 1. 0.],0,"[14, 14, 0, 0]"
1514,[0. 0. 3.],[0. 1. 0.],0,"[14, 14, 0, 0]"
1514,[2. 0. 3.],[0. 1. 0.],0,"[14, 14, 0, 0]"
1794,[1. 0. 3.],[0. 1. 0.],0,"[14, 14, 0, 0]"
212,[3. 0. 3.],[0. 1. 0.],0,"[14, 14, 0, 0]"
1255,[0. 0. 0.],[0. 1. 0.],0,"[14, 14, 0, 0]"
1021,[0. 0. 2.],[0. 1. 0.],0,"[14, 14, 0, 0]"
1255,[3. 0. 3.],[0. 1. 0.],0,"[14, 14, 0, 0]"
1514,[3. 0. 1.],[0. 1. 0.],0,"[14, 14, 0, 0]"
1021,[1. 0. 2.],[0. 1. 0.],0,"[14, 14, 0, 0]"
1021,[0. 0. 3.],[0. 1. 0.],0,"[14, 14, 0, 0]"
