game_nr,object,fixed indices,context condition,message
4,[0. 2. 1.],[1. 0. 1.],0,"[9, 9, 9, 0]"
4,[0. 2. 1.],[1. 0. 1.],0,"[9, 9, 9, 0]"
4,[0. 0. 1.],[1. 0. 1.],0,"[9, 9, 9, 0]"
4,[0. 1. 1.],[1. 0. 1.],0,"[9, 9, 9, 0]"
4,[0. 3. 1.],[1. 0. 1.],0,"[9, 9, 9, 0]"
4,[0. 3. 1.],[1. 0. 1.],0,"[9, 9, 9, 0]"
4,[0. 2. 1.],[1. 0. 1.],0,"[9, 9, 9, 0]"
4,[0. 0. 1.],[1. 0. 1.],0,"[9, 9, 9, 0]"
4,[0. 1. 1.],[1. 0. 1.],0,"[9, 9, 9, 0]"
4,[0. 2. 1.],[1. 0. 1.],0,"[9, 9, 9, 0]"
13,[1. 0. 1.],[1. 0. 1.],0,"[4, 4, 4, 0]"
13,[1. 1. 1.],[1. 0. 1.],0,"[4, 4, 4, 0]"
13,[1. 1. 1.],[1. 0. 1.],0,"[4, 4, 4, 0]"
13,[1. 2. 1.],[1. 0. 1.],0,"[4, 4, 4, 0]"
13,[1. 1. 1.],[1. 0. 1.],0,"[4, 4, 4, 0]"
13,[1. 3. 1.],[1. 0. 1.],0,"[4, 4, 4, 0]"
13,[1. 1. 1.],[1. 0. 1.],0,"[4, 4, 4, 0]"
13,[1. 3. 1.],[1. 0. 1.],0,"[4, 4, 4, 0]"
13,[1. 3. 1.],[1. 0. 1.],0,"[4, 4, 4, 0]"
13,[1. 1. 1.],[1. 0. 1.],0,"[4, 4, 4, 0]"
30,[0. 0. 1.],[1. 0. 1.],0,"[9, 9, 9, 0]"
30,[0. 1. 1.],[1. 0. 1.],0,"[9, 9, 9, 0]"
30,[0. 1. 1.],[1. 0. 1.],0,"[9, 9, 9, 0]"
30,[0. 3. 1.],[1. 0. 1.],0,"[9, 9, 9, 0]"
30,[0. 3. 1.],[1. 0. 1.],0,"[9, 9, 9, 0]"
30,[0. 1. 1.],[1. 0. 1.],0,"[9, 9, 9, 0]"
30,[0. 1. 1.],[1. 0. 1.],0,"[9, 9, 9, 0]"
30,[0. 0. 1.],[1. 0. 1.],0,"[9, 9, 9, 0]"
30,[0. 1. 1.],[1. 0. 1.],0,"[9, 9, 9, 0]"
30,[0. 2. 1.],[1. 0. 1.],0,"[9, 9, 9, 0]"
48,[0. 2. 1.],[1. 0. 1.],0,"[9, 9, 9, 0]"
48,[0. 1. 1.],[1. 0. 1.],0,"[9, 9, 9, 0]"
48,[0. 1. 1.],[1. 0. 1.],0,"[9, 9, 9, 0]"
48,[0. 3. 1.],[1. 0. 1.],0,"[9, 9, 9, 0]"
48,[0. 0. 1.],[1. 0. 1.],0,"[9, 9, 9, 0]"
48,[0. 3. 1.],[1. 0. 1.],0,"[9, 9, 9, 0]"
48,[0. 0. 1.],[1. 0. 1.],0,"[9, 9, 9, 0]"
48,[0. 1. 1.],[1. 0. 1.],0,"[9, 9, 9, 0]"
48,[0. 3. 1.],[1. 0. 1.],0,"[9, 9, 9, 0]"
48,[0. 2. 1.],[1. 0. 1.],0,"[9, 9, 9, 0]"
55,[1. 3. 1.],[0. 1. 1.],0,"[1, 1, 1, 0]"
55,[1. 3. 1.],[0. 1. 1.],0,"[1, 1, 1, 0]"
55,[0. 3. 1.],[0. 1. 1.],0,"[1, 1, 1, 0]"
55,[1. 3. 1.],[0. 1. 1.],0,"[1, 1, 1, 0]"
55,[3. 3. 1.],[0. 1. 1.],0,"[1, 1, 1, 0]"
55,[2. 3. 1.],[0. 1. 1.],0,"[1, 1, 1, 0]"
55,[2. 3. 1.],[0. 1. 1.],0,"[1, 1, 1, 0]"
55,[3. 3. 1.],[0. 1. 1.],0,"[1, 1, 1, 0]"
55,[2. 3. 1.],[0. 1. 1.],0,"[1, 1, 1, 0]"
55,[2. 3. 1.],[0. 1. 1.],0,"[1, 1, 1, 0]"
115,[2. 1. 1.],[0. 1. 1.],0,"[3, 3, 3, 0]"
115,[0. 1. 1.],[0. 1. 1.],0,"[3, 3, 3, 0]"
115,[2. 1. 1.],[0. 1. 1.],0,"[3, 3, 3, 0]"
115,[2. 1. 1.],[0. 1. 1.],0,"[3, 3, 3, 0]"
115,[1. 1. 1.],[0. 1. 1.],0,"[3, 3, 3, 0]"
115,[0. 1. 1.],[0. 1. 1.],0,"[3, 3, 3, 0]"
115,[0. 1. 1.],[0. 1. 1.],0,"[3, 3, 3, 0]"
115,[0. 1. 1.],[0. 1. 1.],0,"[3, 3, 3, 0]"
115,[2. 1. 1.],[0. 1. 1.],0,"[3, 3, 3, 0]"
115,[3. 1. 1.],[0. 1. 1.],0,"[3, 3, 3, 0]"
137,[1. 2. 1.],[0. 1. 1.],0,"[14, 14, 14, 0]"
137,[0. 2. 1.],[0. 1. 1.],0,"[14, 14, 14, 0]"
137,[3. 2. 1.],[0. 1. 1.],0,"[14, 14, 14, 0]"
137,[1. 2. 1.],[0. 1. 1.],0,"[14, 14, 14, 0]"
137,[2. 2. 1.],[0. 1. 1.],0,"[14, 14, 14, 0]"
137,[3. 2. 1.],[0. 1. 1.],0,"[14, 14, 14, 0]"
137,[3. 2. 1.],[0. 1. 1.],0,"[14, 14, 14, 0]"
137,[1. 2. 1.],[0. 1. 1.],0,"[14, 14, 14, 0]"
137,[3. 2. 1.],[0. 1. 1.],0,"[14, 14, 14, 0]"
137,[3. 2. 1.],[0. 1. 1.],0,"[14, 14, 14, 0]"
164,[2. 1. 1.],[0. 1. 1.],0,"[3, 3, 3, 0]"
164,[3. 1. 1.],[0. 1. 1.],0,"[3, 3, 3, 0]"
164,[0. 1. 1.],[0. 1. 1.],0,"[3, 3, 3, 0]"
164,[1. 1. 1.],[0. 1. 1.],0,"[3, 3, 3, 0]"
164,[1. 1. 1.],[0. 1. 1.],0,"[3, 3, 3, 0]"
164,[3. 1. 1.],[0. 1. 1.],0,"[3, 3, 3, 0]"
164,[0. 1. 1.],[0. 1. 1.],0,"[3, 3, 3, 0]"
164,[2. 1. 1.],[0. 1. 1.],0,"[3, 3, 3, 0]"
164,[3. 1. 1.],[0. 1. 1.],0,"[3, 3, 3, 0]"
164,[2. 1. 1.],[0. 1. 1.],0,"[3, 3, 3, 0]"
177,[3. 3. 1.],[0. 1. 1.],0,"[12, 12, 12, 0]"
177,[1. 3. 1.],[0. 1. 1.],0,"[12, 12, 12, 0]"
177,[1. 3. 1.],[0. 1. 1.],0,"[12, 12, 12, 0]"
177,[1. 3. 1.],[0. 1. 1.],0,"[12, 12, 12, 0]"
177,[0. 3. 1.],[0. 1. 1.],0,"[12, 12, 12, 0]"
177,[2. 3. 1.],[0. 1. 1.],0,"[12, 12, 12, 0]"
177,[2. 3. 1.],[0. 1. 1.],0,"[12, 12, 12, 0]"
177,[0. 3. 1.],[0. 1. 1.],0,"[12, 12, 12, 0]"
177,[2. 3. 1.],[0. 1. 1.],0,"[12, 12, 12, 0]"
177,[2. 3. 1.],[0. 1. 1.],0,"[12, 12, 12, 0]"
179,[1. 2. 1.],[1. 0. 1.],0,"[4, 4, 4, 0]"
179,[1. 3. 1.],[1. 0. 1.],0,"[4, 4, 4, 0]"
179,[1. 3. 1.],[1. 0. 1.],0,"[4, 4, 4, 0]"
179,[1. 2. 1.],[1. 0. 1.],0,"[4, 4, 4, 0]"
179,[1. 0. 1.],[1. 0. 1.],0,"[4, 4, 4, 0]"
