game_nr,object,fixed indices,context condition,message
219,[0. 3. 1.],[0. 0. 1.],0,"[5, 14, 15, 0]"
219,[2. 1. 1.],[0. 0. 1.],0,"[5, 14, 15, 0]"
219,[1. 3. 1.],[0. 0. 1.],0,"[5, 14, 15, 0]"
219,[0. 1. 1.],[0. 0. 1.],0,"[5, 14, 15, 0]"
219,[1. 1. 1.],[0. 0. 1.],0,"[5, 14, 15, 0]"
219,[2. 2. 1.],[0. 0. 1.],0,"[5, 14, 15, 0]"
219,[0. 2. 1.],[0. 0. 1.],0,"[5, 14, 15, 0]"
219,[3. 2. 1.],[0. 0. 1.],0,"[5, 14, 15, 0]"
219,[3. 0. 1.],[0. 0. 1.],0,"[5, 14, 15, 0]"
219,[0. 0. 1.],[0. 0. 1.],0,"[5, 14, 15, 0]"
415,[3. 0. 1.],[0. 0. 1.],0,"[5, 14, 15, 0]"
415,[2. 1. 1.],[0. 0. 1.],0,"[5, 14, 15, 0]"
415,[0. 1. 1.],[0. 0. 1.],0,"[5, 14, 15, 0]"
415,[0. 3. 1.],[0. 0. 1.],0,"[5, 14, 15, 0]"
415,[2. 0. 1.],[0. 0. 1.],0,"[5, 14, 15, 0]"
415,[3. 1. 1.],[0. 0. 1.],0,"[5, 14, 15, 0]"
415,[1. 0. 1.],[0. 0. 1.],0,"[5, 14, 15, 0]"
415,[2. 3. 1.],[0. 0. 1.],0,"[5, 14, 15, 0]"
415,[3. 3. 1.],[0. 0. 1.],0,"[5, 14, 15, 0]"
415,[1. 3. 1.],[0. 0. 1.],0,"[5, 14, 15, 0]"
438,[3. 3. 1.],[0. 0. 1.],0,"[5, 14, 15, 0]"
438,[2. 1. 1.],[0. 0. 1.],0,"[5, 14, 15, 0]"
438,[0. 0. 1.],[0. 0. 1.],0,"[5, 14, 15, 0]"
438,[2. 2. 1.],[0. 0. 1.],0,"[5, 14, 15, 0]"
438,[1. 1. 1.],[0. 0. 1.],0,"[5, 14, 15, 0]"
438,[1. 0. 1.],[0. 0. 1.],0,"[5, 14, 15, 0]"
438,[3. 2. 1.],[0. 0. 1.],0,"[5, 14, 15, 0]"
438,[0. 1. 1.],[0. 0. 1.],0,"[5, 14, 15, 0]"
438,[0. 3. 1.],[0. 0. 1.],0,"[5, 14, 15, 0]"
438,[0. 2. 1.],[0. 0. 1.],0,"[5, 14, 15, 0]"
477,[1. 3. 1.],[0. 0. 1.],0,"[5, 14, 15, 0]"
477,[1. 1. 1.],[0. 0. 1.],0,"[5, 14, 15, 0]"
477,[1. 2. 1.],[0. 0. 1.],0,"[5, 14, 15, 0]"
477,[3. 2. 1.],[0. 0. 1.],0,"[5, 14, 15, 0]"
477,[3. 3. 1.],[0. 0. 1.],0,"[5, 14, 15, 0]"
477,[0. 3. 1.],[0. 0. 1.],0,"[5, 14, 15, 0]"
477,[0. 1. 1.],[0. 0. 1.],0,"[5, 14, 15, 0]"
477,[1. 0. 1.],[0. 0. 1.],0,"[5, 14, 15, 0]"
477,[3. 1. 1.],[0. 0. 1.],0,"[5, 14, 15, 0]"
477,[2. 2. 1.],[0. 0. 1.],0,"[5, 14, 15, 0]"
709,[3. 0. 1.],[0. 0. 1.],0,"[5, 14, 15, 0]"
709,[1. 0. 1.],[0. 0. 1.],0,"[5, 14, 15, 0]"
709,[0. 0. 1.],[0. 0. 1.],0,"[5, 14, 15, 0]"
709,[1. 1. 1.],[0. 0. 1.],0,"[5, 14, 15, 0]"
709,[1. 2. 1.],[0. 0. 1.],0,"[5, 14, 15, 0]"
709,[3. 2. 1.],[0. 0. 1.],0,"[5, 14, 15, 0]"
709,[3. 3. 1.],[0. 0. 1.],0,"[5, 14, 15, 0]"
709,[2. 2. 1.],[0. 0. 1.],0,"[5, 14, 15, 0]"
709,[2. 3. 1.],[0. 0. 1.],0,"[5, 14, 15, 0]"
709,[1. 3. 1.],[0. 0. 1.],0,"[5, 14, 15, 0]"
