game_nr,object,fixed indices,context condition,message
5809,[4. 2. 3.],[1. 0. 0.],0,"[17, 24, 0, 0]"
5809,[4. 4. 3.],[1. 0. 0.],0,"[17, 24, 0, 0]"
5809,[4. 6. 3.],[1. 0. 0.],0,"[17, 24, 0, 0]"
5809,[4. 0. 3.],[1. 0. 0.],0,"[17, 24, 0, 0]"
5809,[4. 4. 6.],[1. 0. 0.],0,"[17, 24, 0, 0]"
5809,[4. 3. 4.],[1. 0. 0.],0,"[17, 24, 0, 0]"
5809,[4. 1. 3.],[1. 0. 0.],0,"[17, 24, 0, 0]"
5809,[4. 4. 7.],[1. 0. 0.],0,"[17, 24, 0, 0]"
5809,[4. 4. 5.],[1. 0. 0.],0,"[17, 24, 0, 0]"
5809,[4. 0. 5.],[1. 0. 0.],0,"[17, 24, 0, 0]"
7188,[4. 3. 0.],[1. 0. 0.],0,"[17, 24, 0, 0]"
7188,[4. 5. 6.],[1. 0. 0.],0,"[17, 24, 0, 0]"
7188,[4. 5. 2.],[1. 0. 0.],0,"[17, 24, 0, 0]"
7188,[4. 0. 3.],[1. 0. 0.],0,"[17, 24, 0, 0]"
7188,[4. 1. 7.],[1. 0. 0.],0,"[17, 24, 0, 0]"
7188,[4. 5. 5.],[1. 0. 0.],0,"[17, 24, 0, 0]"
7188,[4. 1. 6.],[1. 0. 0.],0,"[17, 24, 0, 0]"
7188,[4. 0. 0.],[1. 0. 0.],0,"[17, 24, 0, 0]"
7188,[4. 4. 2.],[1. 0. 0.],0,"[17, 24, 0, 0]"
7188,[4. 0. 1.],[1. 0. 0.],0,"[17, 24, 0, 0]"
8592,[4. 4. 6.],[1. 0. 0.],0,"[17, 24, 0, 0]"
8592,[4. 2. 0.],[1. 0. 0.],0,"[17, 24, 0, 0]"
8592,[4. 2. 6.],[1. 0. 0.],0,"[17, 24, 0, 0]"
8592,[4. 4. 4.],[1. 0. 0.],0,"[17, 24, 0, 0]"
8592,[4. 2. 2.],[1. 0. 0.],0,"[17, 24, 0, 0]"
8592,[4. 2. 7.],[1. 0. 0.],0,"[17, 24, 0, 0]"
8592,[4. 4. 7.],[1. 0. 0.],0,"[17, 24, 0, 0]"
8592,[4. 7. 5.],[1. 0. 0.],0,"[17, 24, 0, 0]"
8592,[4. 0. 7.],[1. 0. 0.],0,"[17, 24, 0, 0]"
8592,[4. 3. 6.],[1. 0. 0.],0,"[17, 24, 0, 0]"
8673,[4. 2. 0.],[1. 0. 0.],0,"[17, 24, 0, 0]"
8673,[4. 0. 4.],[1. 0. 0.],0,"[17, 24, 0, 0]"
8673,[4. 3. 2.],[1. 0. 0.],0,"[17, 24, 0, 0]"
8673,[4. 6. 1.],[1. 0. 0.],0,"[17, 24, 0, 0]"
8673,[4. 3. 0.],[1. 0. 0.],0,"[17, 24, 0, 0]"
8673,[4. 1. 6.],[1. 0. 0.],0,"[17, 24, 0, 0]"
8673,[4. 2. 2.],[1. 0. 0.],0,"[17, 24, 0, 0]"
8673,[4. 3. 5.],[1. 0. 0.],0,"[17, 24, 0, 0]"
8673,[4. 5. 4.],[1. 0. 0.],0,"[17, 24, 0, 0]"
8673,[4. 7. 4.],[1. 0. 0.],0,"[17, 24, 0, 0]"
8783,[4. 5. 7.],[1. 0. 0.],0,"[17, 24, 0, 0]"
8783,[4. 2. 2.],[1. 0. 0.],0,"[17, 24, 0, 0]"
8783,[4. 6. 3.],[1. 0. 0.],0,"[17, 24, 0, 0]"
8783,[4. 7. 7.],[1. 0. 0.],0,"[17, 24, 0, 0]"
8783,[4. 0. 7.],[1. 0. 0.],0,"[17, 24, 0, 0]"
8783,[4. 7. 5.],[1. 0. 0.],0,"[17, 24, 0, 0]"
8783,[4. 2. 1.],[1. 0. 0.],0,"[17, 24, 0, 0]"
8783,[4. 6. 7.],[1. 0. 0.],0,"[17, 24, 0, 0]"
8783,[4. 0. 5.],[1. 0. 0.],0,"[17, 24, 0, 0]"
8783,[4. 4. 3.],[1. 0. 0.],0,"[17, 24, 0, 0]"
9973,[4. 0. 1.],[1. 0. 0.],0,"[17, 24, 0, 0]"
9973,[4. 5. 3.],[1. 0. 0.],0,"[17, 24, 0, 0]"
9973,[4. 4. 5.],[1. 0. 0.],0,"[17, 24, 0, 0]"
9973,[4. 5. 7.],[1. 0. 0.],0,"[17, 24, 0, 0]"
9973,[4. 6. 6.],[1. 0. 0.],0,"[17, 24, 0, 0]"
9973,[4. 0. 7.],[1. 0. 0.],0,"[17, 24, 0, 0]"
9973,[4. 6. 0.],[1. 0. 0.],0,"[17, 24, 0, 0]"
9973,[4. 3. 6.],[1. 0. 0.],0,"[17, 24, 0, 0]"
9973,[4. 7. 3.],[1. 0. 0.],0,"[17, 24, 0, 0]"
9973,[4. 4. 4.],[1. 0. 0.],0,"[17, 24, 0, 0]"
10332,[4. 3. 7.],[1. 0. 0.],0,"[17, 24, 0, 0]"
10332,[4. 3. 3.],[1. 0. 0.],0,"[17, 24, 0, 0]"
10332,[4. 6. 0.],[1. 0. 0.],0,"[17, 24, 0, 0]"
10332,[4. 1. 2.],[1. 0. 0.],0,"[17, 24, 0, 0]"
10332,[4. 0. 7.],[1. 0. 0.],0,"[17, 24, 0, 0]"
