game_nr,object,fixed indices,context condition,message
12,[1. 1. 0. 2.],[1. 1. 1. 1.],3,"[9, 15, 0, 0, 0]"
12,[1. 1. 0. 2.],[1. 1. 1. 1.],3,"[9, 15, 0, 0, 0]"
12,[1. 1. 0. 2.],[1. 1. 1. 1.],3,"[9, 15, 0, 0, 0]"
12,[1. 1. 0. 2.],[1. 1. 1. 1.],3,"[9, 15, 0, 0, 0]"
12,[1. 1. 0. 2.],[1. 1. 1. 1.],3,"[9, 15, 0, 0, 0]"
12,[1. 1. 0. 2.],[1. 1. 1. 1.],3,"[9, 15, 0, 0, 0]"
12,[1. 1. 0. 2.],[1. 1. 1. 1.],3,"[9, 15, 0, 0, 0]"
12,[1. 1. 0. 2.],[1. 1. 1. 1.],3,"[9, 15, 0, 0, 0]"
12,[1. 1. 0. 2.],[1. 1. 1. 1.],3,"[9, 15, 0, 0, 0]"
12,[1. 1. 0. 2.],[1. 1. 1. 1.],3,"[9, 15, 0, 0, 0]"
1229,[1. 1. 0. 2.],[1. 1. 1. 1.],3,"[13, 9, 0, 0, 0]"
1229,[1. 1. 0. 2.],[1. 1. 1. 1.],3,"[13, 9, 0, 0, 0]"
1229,[1. 1. 0. 2.],[1. 1. 1. 1.],3,"[13, 9, 0, 0, 0]"
1229,[1. 1. 0. 2.],[1. 1. 1. 1.],3,"[13, 9, 0, 0, 0]"
1229,[1. 1. 0. 2.],[1. 1. 1. 1.],3,"[13, 9, 0, 0, 0]"
1229,[1. 1. 0. 2.],[1. 1. 1. 1.],3,"[13, 9, 0, 0, 0]"
1229,[1. 1. 0. 2.],[1. 1. 1. 1.],3,"[13, 9, 0, 0, 0]"
1229,[1. 1. 0. 2.],[1. 1. 1. 1.],3,"[13, 9, 0, 0, 0]"
1229,[1. 1. 0. 2.],[1. 1. 1. 1.],3,"[13, 9, 0, 0, 0]"
1229,[1. 1. 0. 2.],[1. 1. 1. 1.],3,"[13, 9, 0, 0, 0]"
1763,[1. 1. 0. 2.],[1. 1. 1. 1.],1,"[3, 0, 0, 0, 0]"
1763,[1. 1. 0. 2.],[1. 1. 1. 1.],1,"[3, 0, 0, 0, 0]"
