game_nr,object,fixed indices,context condition,message
815,[2. 2. 3. 2.],[0. 1. 0. 1.],0,"[15, 15, 15, 15, 0]"
815,[3. 2. 3. 2.],[0. 1. 0. 1.],0,"[15, 15, 15, 15, 0]"
815,[3. 2. 1. 2.],[0. 1. 0. 1.],0,"[15, 15, 15, 15, 0]"
815,[1. 2. 0. 2.],[0. 1. 0. 1.],0,"[15, 15, 15, 15, 0]"
815,[2. 2. 1. 2.],[0. 1. 0. 1.],0,"[15, 15, 15, 15, 0]"
815,[1. 2. 3. 2.],[0. 1. 0. 1.],0,"[15, 15, 15, 15, 0]"
815,[1. 2. 1. 2.],[0. 1. 0. 1.],0,"[15, 15, 15, 15, 0]"
815,[2. 2. 2. 2.],[0. 1. 0. 1.],0,"[15, 15, 15, 15, 0]"
815,[2. 2. 0. 2.],[0. 1. 0. 1.],0,"[15, 15, 15, 15, 0]"
815,[0. 2. 3. 2.],[0. 1. 0. 1.],0,"[15, 15, 15, 15, 0]"
924,[2. 2. 2. 2.],[0. 1. 0. 1.],0,"[15, 15, 15, 15, 0]"
924,[3. 2. 3. 2.],[0. 1. 0. 1.],0,"[15, 15, 15, 15, 0]"
924,[1. 2. 0. 2.],[0. 1. 0. 1.],0,"[15, 15, 15, 15, 0]"
924,[3. 2. 2. 2.],[0. 1. 0. 1.],0,"[15, 15, 15, 15, 0]"
924,[1. 2. 1. 2.],[0. 1. 0. 1.],0,"[15, 15, 15, 15, 0]"
924,[0. 2. 2. 2.],[0. 1. 0. 1.],0,"[15, 15, 15, 15, 0]"
924,[0. 2. 3. 2.],[0. 1. 0. 1.],0,"[15, 15, 15, 15, 0]"
924,[3. 2. 0. 2.],[0. 1. 0. 1.],0,"[15, 15, 15, 15, 0]"
924,[1. 2. 2. 2.],[0. 1. 0. 1.],0,"[15, 15, 15, 15, 0]"
924,[0. 2. 0. 2.],[0. 1. 0. 1.],0,"[15, 15, 15, 15, 0]"
2475,[0. 2. 3. 2.],[0. 1. 0. 1.],0,"[15, 15, 15, 15, 0]"
2475,[3. 2. 0. 2.],[0. 1. 0. 1.],0,"[15, 15, 15, 15, 0]"
2475,[1. 2. 0. 2.],[0. 1. 0. 1.],0,"[15, 15, 15, 15, 0]"
2475,[2. 2. 1. 2.],[0. 1. 0. 1.],0,"[15, 15, 15, 15, 0]"
2475,[2. 2. 0. 2.],[0. 1. 0. 1.],0,"[15, 15, 15, 15, 0]"
2475,[3. 2. 3. 2.],[0. 1. 0. 1.],0,"[15, 15, 15, 15, 0]"
2475,[1. 2. 2. 2.],[0. 1. 0. 1.],0,"[15, 15, 15, 15, 0]"
2475,[3. 2. 1. 2.],[0. 1. 0. 1.],0,"[15, 15, 15, 15, 0]"
2475,[3. 2. 2. 2.],[0. 1. 0. 1.],0,"[15, 15, 15, 15, 0]"
2475,[2. 2. 2. 2.],[0. 1. 0. 1.],0,"[15, 15, 15, 15, 0]"
3021,[0. 2. 1. 2.],[0. 1. 0. 1.],0,"[15, 15, 15, 15, 0]"
3021,[2. 2. 3. 2.],[0. 1. 0. 1.],0,"[15, 15, 15, 15, 0]"
3021,[1. 2. 3. 2.],[0. 1. 0. 1.],0,"[15, 15, 15, 15, 0]"
3021,[1. 2. 0. 2.],[0. 1. 0. 1.],0,"[15, 15, 15, 15, 0]"
3021,[3. 2. 3. 2.],[0. 1. 0. 1.],0,"[15, 15, 15, 15, 0]"
3021,[0. 2. 3. 2.],[0. 1. 0. 1.],0,"[15, 15, 15, 15, 0]"
3021,[2. 2. 0. 2.],[0. 1. 0. 1.],0,"[15, 15, 15, 15, 0]"
3021,[3. 2. 2. 2.],[0. 1. 0. 1.],0,"[15, 15, 15, 15, 0]"
3021,[3. 2. 0. 2.],[0. 1. 0. 1.],0,"[15, 15, 15, 15, 0]"
3021,[0. 2. 2. 2.],[0. 1. 0. 1.],0,"[15, 15, 15, 15, 0]"
3076,[0. 2. 1. 2.],[0. 1. 0. 1.],0,"[15, 15, 15, 15, 0]"
3076,[0. 2. 0. 2.],[0. 1. 0. 1.],0,"[15, 15, 15, 15, 0]"
3076,[3. 2. 1. 2.],[0. 1. 0. 1.],0,"[15, 15, 15, 15, 0]"
3076,[2. 2. 2. 2.],[0. 1. 0. 1.],0,"[15, 15, 15, 15, 0]"
3076,[3. 2. 2. 2.],[0. 1. 0. 1.],0,"[15, 15, 15, 15, 0]"
3076,[2. 2. 1. 2.],[0. 1. 0. 1.],0,"[15, 15, 15, 15, 0]"
3076,[1. 2. 3. 2.],[0. 1. 0. 1.],0,"[15, 15, 15, 15, 0]"
3076,[1. 2. 1. 2.],[0. 1. 0. 1.],0,"[15, 15, 15, 15, 0]"
3076,[3. 2. 3. 2.],[0. 1. 0. 1.],0,"[15, 15, 15, 15, 0]"
3076,[0. 2. 3. 2.],[0. 1. 0. 1.],0,"[15, 15, 15, 15, 0]"
3691,[2. 2. 3. 2.],[0. 1. 0. 1.],0,"[15, 15, 15, 15, 0]"
3691,[0. 2. 1. 2.],[0. 1. 0. 1.],0,"[15, 15, 15, 15, 0]"
3691,[1. 2. 3. 2.],[0. 1. 0. 1.],0,"[15, 15, 15, 15, 0]"
3691,[2. 2. 2. 2.],[0. 1. 0. 1.],0,"[15, 15, 15, 15, 0]"
3691,[0. 2. 2. 2.],[0. 1. 0. 1.],0,"[15, 15, 15, 15, 0]"
3691,[0. 2. 0. 2.],[0. 1. 0. 1.],0,"[15, 15, 15, 15, 0]"
3691,[1. 2. 2. 2.],[0. 1. 0. 1.],0,"[15, 15, 15, 15, 0]"
3691,[3. 2. 2. 2.],[0. 1. 0. 1.],0,"[15, 15, 15, 15, 0]"
3691,[3. 2. 0. 2.],[0. 1. 0. 1.],0,"[15, 15, 15, 15, 0]"
3691,[3. 2. 3. 2.],[0. 1. 0. 1.],0,"[15, 15, 15, 15, 0]"
