game_nr,object,fixed indices,context condition,message
496,[0. 3. 3. 2.],[0. 0. 1. 1.],1,"[4, 4, 13, 4, 0]"
496,[3. 3. 3. 2.],[0. 0. 1. 1.],1,"[4, 4, 13, 4, 0]"
496,[2. 1. 3. 2.],[0. 0. 1. 1.],1,"[4, 4, 13, 4, 0]"
496,[0. 0. 3. 2.],[0. 0. 1. 1.],1,"[4, 4, 13, 4, 0]"
496,[3. 0. 3. 2.],[0. 0. 1. 1.],1,"[4, 4, 13, 4, 0]"
496,[0. 1. 3. 2.],[0. 0. 1. 1.],1,"[4, 4, 13, 4, 0]"
496,[1. 1. 3. 2.],[0. 0. 1. 1.],1,"[4, 4, 13, 4, 0]"
496,[1. 3. 3. 2.],[0. 0. 1. 1.],1,"[4, 4, 13, 4, 0]"
496,[2. 3. 3. 2.],[0. 0. 1. 1.],1,"[4, 4, 13, 4, 0]"
496,[3. 1. 3. 2.],[0. 0. 1. 1.],1,"[4, 4, 13, 4, 0]"
1741,[1. 3. 3. 2.],[0. 0. 1. 1.],1,"[4, 4, 13, 13, 0]"
1741,[3. 3. 3. 2.],[0. 0. 1. 1.],1,"[4, 4, 13, 13, 0]"
1741,[0. 0. 3. 2.],[0. 0. 1. 1.],1,"[4, 4, 13, 13, 0]"
1741,[3. 0. 3. 2.],[0. 0. 1. 1.],1,"[4, 4, 13, 13, 0]"
1741,[0. 3. 3. 2.],[0. 0. 1. 1.],1,"[4, 4, 13, 13, 0]"
1741,[2. 2. 3. 2.],[0. 0. 1. 1.],1,"[4, 4, 13, 13, 0]"
1741,[2. 0. 3. 2.],[0. 0. 1. 1.],1,"[4, 4, 13, 13, 0]"
1741,[2. 1. 3. 2.],[0. 0. 1. 1.],1,"[4, 4, 13, 13, 0]"
1741,[3. 1. 3. 2.],[0. 0. 1. 1.],1,"[4, 4, 13, 13, 0]"
1741,[1. 0. 3. 2.],[0. 0. 1. 1.],1,"[4, 4, 13, 13, 0]"
1835,[1. 2. 3. 2.],[0. 0. 1. 1.],1,"[4, 4, 13, 4, 0]"
1835,[3. 0. 3. 2.],[0. 0. 1. 1.],1,"[4, 4, 13, 4, 0]"
1835,[0. 3. 3. 2.],[0. 0. 1. 1.],1,"[4, 4, 13, 4, 0]"
1835,[2. 1. 3. 2.],[0. 0. 1. 1.],1,"[4, 4, 13, 4, 0]"
1835,[1. 1. 3. 2.],[0. 0. 1. 1.],1,"[4, 4, 13, 4, 0]"
1835,[3. 1. 3. 2.],[0. 0. 1. 1.],1,"[4, 4, 13, 4, 0]"
1835,[3. 3. 3. 2.],[0. 0. 1. 1.],1,"[4, 4, 13, 4, 0]"
