game_nr,object,fixed indices,context condition,message
6534,[7. 0. 0. 7.],[1. 0. 0. 0.],0,"[24, 24, 24, 22, 0]"
6534,[7. 0. 6. 2.],[1. 0. 0. 0.],0,"[24, 24, 24, 22, 0]"
6534,[7. 4. 2. 5.],[1. 0. 0. 0.],0,"[24, 24, 24, 22, 0]"
6534,[7. 4. 2. 6.],[1. 0. 0. 0.],0,"[24, 24, 24, 22, 0]"
6534,[7. 0. 1. 3.],[1. 0. 0. 0.],0,"[24, 24, 24, 22, 0]"
6534,[7. 1. 7. 6.],[1. 0. 0. 0.],0,"[24, 24, 24, 22, 0]"
6534,[7. 2. 6. 2.],[1. 0. 0. 0.],0,"[24, 24, 24, 22, 0]"
6534,[7. 3. 5. 2.],[1. 0. 0. 0.],0,"[24, 24, 24, 22, 0]"
6534,[7. 0. 1. 6.],[1. 0. 0. 0.],0,"[24, 24, 24, 22, 0]"
6534,[7. 4. 2. 0.],[1. 0. 0. 0.],0,"[24, 24, 24, 22, 0]"
24207,[7. 0. 6. 2.],[1. 0. 0. 0.],0,"[24, 24, 24, 22, 0]"
24207,[7. 3. 5. 7.],[1. 0. 0. 0.],0,"[24, 24, 24, 22, 0]"
24207,[7. 5. 6. 5.],[1. 0. 0. 0.],0,"[24, 24, 24, 22, 0]"
24207,[7. 1. 0. 3.],[1. 0. 0. 0.],0,"[24, 24, 24, 22, 0]"
24207,[7. 3. 4. 0.],[1. 0. 0. 0.],0,"[24, 24, 24, 22, 0]"
24207,[7. 5. 6. 4.],[1. 0. 0. 0.],0,"[24, 24, 24, 22, 0]"
24207,[7. 6. 6. 4.],[1. 0. 0. 0.],0,"[24, 24, 24, 22, 0]"
24207,[7. 6. 5. 3.],[1. 0. 0. 0.],0,"[24, 24, 24, 22, 0]"
24207,[7. 2. 6. 2.],[1. 0. 0. 0.],0,"[24, 24, 24, 22, 0]"
24207,[7. 2. 7. 1.],[1. 0. 0. 0.],0,"[24, 24, 24, 22, 0]"
31627,[7. 4. 6. 4.],[1. 0. 0. 0.],0,"[24, 24, 24, 22, 0]"
31627,[7. 1. 1. 1.],[1. 0. 0. 0.],0,"[24, 24, 24, 22, 0]"
31627,[7. 2. 4. 3.],[1. 0. 0. 0.],0,"[24, 24, 24, 22, 0]"
31627,[7. 1. 6. 5.],[1. 0. 0. 0.],0,"[24, 24, 24, 22, 0]"
31627,[7. 4. 0. 2.],[1. 0. 0. 0.],0,"[24, 24, 24, 22, 0]"
31627,[7. 4. 2. 7.],[1. 0. 0. 0.],0,"[24, 24, 24, 22, 0]"
31627,[7. 4. 5. 3.],[1. 0. 0. 0.],0,"[24, 24, 24, 22, 0]"
31627,[7. 7. 0. 2.],[1. 0. 0. 0.],0,"[24, 24, 24, 22, 0]"
31627,[7. 1. 3. 4.],[1. 0. 0. 0.],0,"[24, 24, 24, 22, 0]"
31627,[7. 4. 1. 4.],[1. 0. 0. 0.],0,"[24, 24, 24, 22, 0]"
50676,[7. 1. 7. 4.],[1. 0. 0. 0.],0,"[24, 24, 24, 22, 0]"
50676,[7. 0. 0. 3.],[1. 0. 0. 0.],0,"[24, 24, 24, 22, 0]"
50676,[7. 2. 7. 4.],[1. 0. 0. 0.],0,"[24, 24, 24, 22, 0]"
50676,[7. 5. 1. 7.],[1. 0. 0. 0.],0,"[24, 24, 24, 22, 0]"
50676,[7. 7. 7. 2.],[1. 0. 0. 0.],0,"[24, 24, 24, 22, 0]"
50676,[7. 2. 5. 6.],[1. 0. 0. 0.],0,"[24, 24, 24, 22, 0]"
50676,[7. 0. 5. 7.],[1. 0. 0. 0.],0,"[24, 24, 24, 22, 0]"
50676,[7. 1. 2. 0.],[1. 0. 0. 0.],0,"[24, 24, 24, 22, 0]"
50676,[7. 0. 4. 2.],[1. 0. 0. 0.],0,"[24, 24, 24, 22, 0]"
50676,[7. 6. 5. 6.],[1. 0. 0. 0.],0,"[24, 24, 24, 22, 0]"
72359,[7. 5. 6. 3.],[1. 0. 0. 0.],0,"[24, 24, 24, 22, 0]"
72359,[7. 2. 2. 2.],[1. 0. 0. 0.],0,"[24, 24, 24, 22, 0]"
72359,[7. 7. 1. 3.],[1. 0. 0. 0.],0,"[24, 24, 24, 22, 0]"
72359,[7. 7. 5. 1.],[1. 0. 0. 0.],0,"[24, 24, 24, 22, 0]"
72359,[7. 5. 5. 7.],[1. 0. 0. 0.],0,"[24, 24, 24, 22, 0]"
72359,[7. 4. 2. 0.],[1. 0. 0. 0.],0,"[24, 24, 24, 22, 0]"
72359,[7. 3. 0. 1.],[1. 0. 0. 0.],0,"[24, 24, 24, 22, 0]"
72359,[7. 4. 1. 7.],[1. 0. 0. 0.],0,"[24, 24, 24, 22, 0]"
72359,[7. 3. 5. 6.],[1. 0. 0. 0.],0,"[24, 24, 24, 22, 0]"
72359,[7. 1. 2. 5.],[1. 0. 0. 0.],0,"[24, 24, 24, 22, 0]"
90044,[7. 4. 4. 4.],[1. 0. 0. 0.],0,"[24, 24, 24, 22, 0]"
90044,[7. 2. 5. 7.],[1. 0. 0. 0.],0,"[24, 24, 24, 22, 0]"
90044,[7. 7. 5. 5.],[1. 0. 0. 0.],0,"[24, 24, 24, 22, 0]"
90044,[7. 6. 5. 7.],[1. 0. 0. 0.],0,"[24, 24, 24, 22, 0]"
90044,[7. 1. 2. 6.],[1. 0. 0. 0.],0,"[24, 24, 24, 22, 0]"
90044,[7. 3. 0. 3.],[1. 0. 0. 0.],0,"[24, 24, 24, 22, 0]"
90044,[7. 4. 6. 7.],[1. 0. 0. 0.],0,"[24, 24, 24, 22, 0]"
90044,[7. 7. 2. 7.],[1. 0. 0. 0.],0,"[24, 24, 24, 22, 0]"
90044,[7. 1. 4. 5.],[1. 0. 0. 0.],0,"[24, 24, 24, 22, 0]"
90044,[7. 7. 4. 2.],[1. 0. 0. 0.],0,"[24, 24, 24, 22, 0]"
96729,[7. 1. 6. 4.],[1. 0. 0. 0.],0,"[24, 24, 24, 22, 0]"
96729,[7. 0. 0. 7.],[1. 0. 0. 0.],0,"[24, 24, 24, 22, 0]"
96729,[7. 1. 1. 2.],[1. 0. 0. 0.],0,"[24, 24, 24, 22, 0]"
