game_nr,object,fixed indices,context condition,message
247,[2. 1. 1. 1. 2.],[1. 0. 1. 1. 0.],0,"[12, 14, 14, 14, 14, 0]"
247,[2. 3. 1. 1. 0.],[1. 0. 1. 1. 0.],0,"[12, 14, 14, 14, 14, 0]"
247,[2. 0. 1. 1. 1.],[1. 0. 1. 1. 0.],0,"[12, 14, 14, 14, 14, 0]"
247,[2. 3. 1. 1. 2.],[1. 0. 1. 1. 0.],0,"[12, 14, 14, 14, 14, 0]"
247,[2. 2. 1. 1. 3.],[1. 0. 1. 1. 0.],0,"[12, 14, 14, 14, 14, 0]"
247,[2. 0. 1. 1. 0.],[1. 0. 1. 1. 0.],0,"[12, 14, 14, 14, 14, 0]"
247,[2. 2. 1. 1. 2.],[1. 0. 1. 1. 0.],0,"[12, 14, 14, 14, 14, 0]"
247,[2. 0. 1. 1. 3.],[1. 0. 1. 1. 0.],0,"[12, 14, 14, 14, 14, 0]"
247,[2. 0. 1. 1. 2.],[1. 0. 1. 1. 0.],0,"[12, 14, 14, 14, 14, 0]"
247,[2. 2. 1. 1. 0.],[1. 0. 1. 1. 0.],0,"[12, 14, 14, 14, 14, 0]"
365,[2. 0. 1. 1. 0.],[1. 0. 1. 1. 0.],0,"[12, 14, 14, 14, 14, 0]"
365,[2. 2. 1. 1. 2.],[1. 0. 1. 1. 0.],0,"[12, 14, 14, 14, 14, 0]"
365,[2. 3. 1. 1. 3.],[1. 0. 1. 1. 0.],0,"[12, 14, 14, 14, 14, 0]"
365,[2. 2. 1. 1. 1.],[1. 0. 1. 1. 0.],0,"[12, 14, 14, 14, 14, 0]"
365,[2. 0. 1. 1. 2.],[1. 0. 1. 1. 0.],0,"[12, 14, 14, 14, 14, 0]"
365,[2. 2. 1. 1. 0.],[1. 0. 1. 1. 0.],0,"[12, 14, 14, 14, 14, 0]"
365,[2. 1. 1. 1. 3.],[1. 0. 1. 1. 0.],0,"[12, 14, 14, 14, 14, 0]"
365,[2. 1. 1. 1. 2.],[1. 0. 1. 1. 0.],0,"[12, 14, 14, 14, 14, 0]"
365,[2. 1. 1. 1. 0.],[1. 0. 1. 1. 0.],0,"[12, 14, 14, 14, 14, 0]"
365,[2. 3. 1. 1. 0.],[1. 0. 1. 1. 0.],0,"[12, 14, 14, 14, 14, 0]"
4455,[2. 0. 1. 1. 2.],[1. 0. 1. 1. 0.],0,"[14, 14, 14, 14, 14, 0]"
4455,[2. 0. 1. 1. 1.],[1. 0. 1. 1. 0.],0,"[14, 14, 14, 14, 14, 0]"
4455,[2. 3. 1. 1. 2.],[1. 0. 1. 1. 0.],0,"[14, 14, 14, 14, 14, 0]"
4455,[2. 1. 1. 1. 2.],[1. 0. 1. 1. 0.],0,"[14, 14, 14, 14, 14, 0]"
4455,[2. 3. 1. 1. 0.],[1. 0. 1. 1. 0.],0,"[14, 14, 14, 14, 14, 0]"
4455,[2. 1. 1. 1. 1.],[1. 0. 1. 1. 0.],0,"[14, 14, 14, 14, 14, 0]"
4455,[2. 2. 1. 1. 2.],[1. 0. 1. 1. 0.],0,"[14, 14, 14, 14, 14, 0]"
4455,[2. 2. 1. 1. 3.],[1. 0. 1. 1. 0.],0,"[14, 14, 14, 14, 14, 0]"
4455,[2. 3. 1. 1. 3.],[1. 0. 1. 1. 0.],0,"[14, 14, 14, 14, 14, 0]"
4455,[2. 2. 1. 1. 1.],[1. 0. 1. 1. 0.],0,"[14, 14, 14, 14, 14, 0]"
10557,[2. 2. 1. 1. 3.],[1. 0. 1. 1. 0.],0,"[12, 14, 14, 14, 14, 0]"
10557,[2. 0. 1. 1. 3.],[1. 0. 1. 1. 0.],0,"[12, 14, 14, 14, 14, 0]"
10557,[2. 3. 1. 1. 3.],[1. 0. 1. 1. 0.],0,"[12, 14, 14, 14, 14, 0]"
10557,[2. 0. 1. 1. 1.],[1. 0. 1. 1. 0.],0,"[12, 14, 14, 14, 14, 0]"
10557,[2. 1. 1. 1. 0.],[1. 0. 1. 1. 0.],0,"[12, 14, 14, 14, 14, 0]"
10557,[2. 2. 1. 1. 1.],[1. 0. 1. 1. 0.],0,"[12, 14, 14, 14, 14, 0]"
10557,[2. 2. 1. 1. 2.],[1. 0. 1. 1. 0.],0,"[12, 14, 14, 14, 14, 0]"
10557,[2. 1. 1. 1. 2.],[1. 0. 1. 1. 0.],0,"[12, 14, 14, 14, 14, 0]"
10557,[2. 3. 1. 1. 2.],[1. 0. 1. 1. 0.],0,"[12, 14, 14, 14, 14, 0]"
10557,[2. 1. 1. 1. 1.],[1. 0. 1. 1. 0.],0,"[12, 14, 14, 14, 14, 0]"
12246,[2. 2. 1. 1. 3.],[1. 0. 1. 1. 0.],0,"[12, 14, 14, 14, 14, 0]"
12246,[2. 3. 1. 1. 3.],[1. 0. 1. 1. 0.],0,"[12, 14, 14, 14, 14, 0]"
12246,[2. 1. 1. 1. 1.],[1. 0. 1. 1. 0.],0,"[12, 14, 14, 14, 14, 0]"
12246,[2. 1. 1. 1. 3.],[1. 0. 1. 1. 0.],0,"[12, 14, 14, 14, 14, 0]"
12246,[2. 0. 1. 1. 3.],[1. 0. 1. 1. 0.],0,"[12, 14, 14, 14, 14, 0]"
12246,[2. 0. 1. 1. 0.],[1. 0. 1. 1. 0.],0,"[12, 14, 14, 14, 14, 0]"
12246,[2. 3. 1. 1. 0.],[1. 0. 1. 1. 0.],0,"[12, 14, 14, 14, 14, 0]"
12246,[2. 0. 1. 1. 2.],[1. 0. 1. 1. 0.],0,"[12, 14, 14, 14, 14, 0]"
12246,[2. 2. 1. 1. 2.],[1. 0. 1. 1. 0.],0,"[12, 14, 14, 14, 14, 0]"
12246,[2. 2. 1. 1. 1.],[1. 0. 1. 1. 0.],0,"[12, 14, 14, 14, 14, 0]"
14852,[2. 2. 1. 1. 1.],[1. 0. 1. 1. 0.],0,"[12, 14, 14, 14, 14, 0]"
14852,[2. 0. 1. 1. 2.],[1. 0. 1. 1. 0.],0,"[12, 14, 14, 14, 14, 0]"
14852,[2. 3. 1. 1. 3.],[1. 0. 1. 1. 0.],0,"[12, 14, 14, 14, 14, 0]"
14852,[2. 1. 1. 1. 0.],[1. 0. 1. 1. 0.],0,"[12, 14, 14, 14, 14, 0]"
14852,[2. 2. 1. 1. 3.],[1. 0. 1. 1. 0.],0,"[12, 14, 14, 14, 14, 0]"
14852,[2. 1. 1. 1. 2.],[1. 0. 1. 1. 0.],0,"[12, 14, 14, 14, 14, 0]"
14852,[2. 3. 1. 1. 1.],[1. 0. 1. 1. 0.],0,"[12, 14, 14, 14, 14, 0]"
14852,[2. 2. 1. 1. 0.],[1. 0. 1. 1. 0.],0,"[12, 14, 14, 14, 14, 0]"
14852,[2. 1. 1. 1. 1.],[1. 0. 1. 1. 0.],0,"[12, 14, 14, 14, 14, 0]"
14852,[2. 3. 1. 1. 2.],[1. 0. 1. 1. 0.],0,"[12, 14, 14, 14, 14, 0]"
