game_nr,object,fixed indices,context condition,message
671,[0. 1. 0. 3. 0.],[0. 1. 0. 0. 0.],0,"[12, 8, 4, 4, 4, 0]"
671,[3. 1. 2. 1. 0.],[0. 1. 0. 0. 0.],0,"[12, 8, 4, 4, 4, 0]"
671,[3. 1. 3. 3. 2.],[0. 1. 0. 0. 0.],0,"[12, 8, 4, 4, 4, 0]"
671,[0. 1. 1. 2. 0.],[0. 1. 0. 0. 0.],0,"[12, 8, 4, 4, 4, 0]"
671,[0. 1. 1. 3. 3.],[0. 1. 0. 0. 0.],0,"[12, 8, 4, 4, 4, 0]"
671,[2. 1. 0. 2. 2.],[0. 1. 0. 0. 0.],0,"[12, 8, 4, 4, 4, 0]"
671,[2. 1. 3. 0. 2.],[0. 1. 0. 0. 0.],0,"[12, 8, 4, 4, 4, 0]"
671,[1. 1. 1. 0. 3.],[0. 1. 0. 0. 0.],0,"[12, 8, 4, 4, 4, 0]"
671,[2. 1. 2. 1. 1.],[0. 1. 0. 0. 0.],0,"[12, 8, 4, 4, 4, 0]"
671,[1. 1. 0. 2. 2.],[0. 1. 0. 0. 0.],0,"[12, 8, 4, 4, 4, 0]"
2030,[2. 1. 3. 0. 3.],[0. 1. 0. 0. 0.],0,"[12, 8, 4, 4, 4, 0]"
2030,[1. 1. 0. 0. 1.],[0. 1. 0. 0. 0.],0,"[12, 8, 4, 4, 4, 0]"
2030,[0. 1. 1. 0. 2.],[0. 1. 0. 0. 0.],0,"[12, 8, 4, 4, 4, 0]"
2030,[3. 1. 3. 1. 1.],[0. 1. 0. 0. 0.],0,"[12, 8, 4, 4, 4, 0]"
2030,[2. 1. 3. 1. 0.],[0. 1. 0. 0. 0.],0,"[12, 8, 4, 4, 4, 0]"
2030,[2. 1. 2. 2. 2.],[0. 1. 0. 0. 0.],0,"[12, 8, 4, 4, 4, 0]"
2030,[1. 1. 0. 2. 3.],[0. 1. 0. 0. 0.],0,"[12, 8, 4, 4, 4, 0]"
2030,[0. 1. 0. 0. 1.],[0. 1. 0. 0. 0.],0,"[12, 8, 4, 4, 4, 0]"
2030,[3. 1. 2. 0. 0.],[0. 1. 0. 0. 0.],0,"[12, 8, 4, 4, 4, 0]"
2030,[1. 1. 3. 2. 1.],[0. 1. 0. 0. 0.],0,"[12, 8, 4, 4, 4, 0]"
2988,[2. 1. 1. 2. 1.],[0. 1. 0. 0. 0.],0,"[12, 8, 4, 4, 12, 0]"
2988,[1. 1. 0. 3. 2.],[0. 1. 0. 0. 0.],0,"[12, 8, 4, 4, 12, 0]"
2988,[1. 1. 3. 1. 1.],[0. 1. 0. 0. 0.],0,"[12, 8, 4, 4, 12, 0]"
2988,[2. 1. 3. 3. 1.],[0. 1. 0. 0. 0.],0,"[12, 8, 4, 4, 12, 0]"
