game_nr,object,fixed indices,context condition,message
1856,[10.  8. 11.],[1. 0. 0.],0,"[15, 23, 18, 0]"
1856,[10.  1. 15.],[1. 0. 0.],0,"[15, 23, 18, 0]"
1856,[10. 10.  1.],[1. 0. 0.],0,"[15, 23, 18, 0]"
1856,[10.  3.  6.],[1. 0. 0.],0,"[15, 23, 18, 0]"
1856,[10.  2.  5.],[1. 0. 0.],0,"[15, 23, 18, 0]"
1856,[10.  7. 12.],[1. 0. 0.],0,"[15, 23, 18, 0]"
1856,[10. 12.  8.],[1. 0. 0.],0,"[15, 23, 18, 0]"
1856,[10.  1.  1.],[1. 0. 0.],0,"[15, 23, 18, 0]"
1856,[10.  3.  3.],[1. 0. 0.],0,"[15, 23, 18, 0]"
1856,[10.  4. 11.],[1. 0. 0.],0,"[15, 23, 18, 0]"
25058,[10.  6.  1.],[1. 0. 0.],0,"[15, 23, 50, 0]"
25058,[10.  3.  0.],[1. 0. 0.],0,"[15, 23, 50, 0]"
25058,[10. 15. 10.],[1. 0. 0.],0,"[15, 23, 50, 0]"
25058,[10.  9. 12.],[1. 0. 0.],0,"[15, 23, 50, 0]"
25058,[10. 12. 15.],[1. 0. 0.],0,"[15, 23, 50, 0]"
25058,[10.  5.  2.],[1. 0. 0.],0,"[15, 23, 50, 0]"
25058,[10.  2.  7.],[1. 0. 0.],0,"[15, 23, 50, 0]"
25058,[10. 10.  4.],[1. 0. 0.],0,"[15, 23, 50, 0]"
25058,[10.  5.  9.],[1. 0. 0.],0,"[15, 23, 50, 0]"
25058,[10.  2.  2.],[1. 0. 0.],0,"[15, 23, 50, 0]"
27018,[10.  3.  1.],[1. 0. 0.],0,"[15, 38, 50, 0]"
27018,[10.  7.  3.],[1. 0. 0.],0,"[15, 38, 50, 0]"
27018,[10.  7. 11.],[1. 0. 0.],0,"[15, 38, 50, 0]"
27018,[10.  8.  3.],[1. 0. 0.],0,"[15, 38, 50, 0]"
27018,[10.  0.  6.],[1. 0. 0.],0,"[15, 38, 50, 0]"
27018,[10.  7. 13.],[1. 0. 0.],0,"[15, 38, 50, 0]"
27018,[10.  1.  6.],[1. 0. 0.],0,"[15, 38, 50, 0]"
27018,[10. 11.  7.],[1. 0. 0.],0,"[15, 38, 50, 0]"
27018,[10.  1.  1.],[1. 0. 0.],0,"[15, 38, 50, 0]"
27018,[10.  6.  5.],[1. 0. 0.],0,"[15, 38, 50, 0]"
29357,[10. 11.  6.],[1. 0. 0.],0,"[15, 23, 50, 0]"
29357,[10. 13.  3.],[1. 0. 0.],0,"[15, 23, 50, 0]"
29357,[10.  5.  9.],[1. 0. 0.],0,"[15, 23, 50, 0]"
29357,[10.  3.  0.],[1. 0. 0.],0,"[15, 23, 50, 0]"
29357,[10.  4. 11.],[1. 0. 0.],0,"[15, 23, 50, 0]"
29357,[10.  1. 11.],[1. 0. 0.],0,"[15, 23, 50, 0]"
29357,[10. 15. 11.],[1. 0. 0.],0,"[15, 23, 50, 0]"
29357,[10. 14. 15.],[1. 0. 0.],0,"[15, 23, 50, 0]"
29357,[10.  4.  0.],[1. 0. 0.],0,"[15, 23, 50, 0]"
29357,[10. 15.  7.],[1. 0. 0.],0,"[15, 23, 50, 0]"
37051,[10.  4.  0.],[1. 0. 0.],0,"[15, 23, 50, 0]"
37051,[10. 10.  3.],[1. 0. 0.],0,"[15, 23, 50, 0]"
37051,[10. 13.  5.],[1. 0. 0.],0,"[15, 23, 50, 0]"
37051,[10.  6.  5.],[1. 0. 0.],0,"[15, 23, 50, 0]"
37051,[10.  1.  2.],[1. 0. 0.],0,"[15, 23, 50, 0]"
37051,[10.  7.  1.],[1. 0. 0.],0,"[15, 23, 50, 0]"
37051,[10. 11.  8.],[1. 0. 0.],0,"[15, 23, 50, 0]"
37051,[10.  1. 11.],[1. 0. 0.],0,"[15, 23, 50, 0]"
37051,[10. 14.  7.],[1. 0. 0.],0,"[15, 23, 50, 0]"
37051,[10.  1.  7.],[1. 0. 0.],0,"[15, 23, 50, 0]"
63683,[10.  6.  4.],[1. 0. 0.],0,"[15, 23, 18, 0]"
63683,[10.  0.  5.],[1. 0. 0.],0,"[15, 23, 18, 0]"
63683,[10. 12. 11.],[1. 0. 0.],0,"[15, 23, 18, 0]"
63683,[10. 15.  4.],[1. 0. 0.],0,"[15, 23, 18, 0]"
63683,[10.  8. 13.],[1. 0. 0.],0,"[15, 23, 18, 0]"
63683,[10.  3.  9.],[1. 0. 0.],0,"[15, 23, 18, 0]"
63683,[10.  6.  5.],[1. 0. 0.],0,"[15, 23, 18, 0]"
63683,[10.  2.  6.],[1. 0. 0.],0,"[15, 23, 18, 0]"
63683,[10. 10.  9.],[1. 0. 0.],0,"[15, 23, 18, 0]"
63683,[10.  1.  7.],[1. 0. 0.],0,"[15, 23, 18, 0]"
64505,[10.  6.  5.],[1. 0. 0.],0,"[15, 23, 50, 0]"
64505,[10. 15.  3.],[1. 0. 0.],0,"[15, 23, 50, 0]"
64505,[10.  5.  4.],[1. 0. 0.],0,"[15, 23, 50, 0]"
64505,[10.  5.  0.],[1. 0. 0.],0,"[15, 23, 50, 0]"
64505,[10.  0.  1.],[1. 0. 0.],0,"[15, 23, 50, 0]"
64505,[10.  8. 10.],[1. 0. 0.],0,"[15, 23, 50, 0]"
64505,[10.  6.  3.],[1. 0. 0.],0,"[15, 23, 50, 0]"
64505,[10. 14.  1.],[1. 0. 0.],0,"[15, 23, 50, 0]"
64505,[10. 13. 12.],[1. 0. 0.],0,"[15, 23, 50, 0]"
