game_nr,object,fixed indices,context condition,message
152,[3. 2. 0.],[1. 1. 1.],0,"[5, 18, 18, 0]"
152,[3. 2. 0.],[1. 1. 1.],0,"[5, 18, 18, 0]"
152,[3. 2. 0.],[1. 1. 1.],0,"[5, 18, 18, 0]"
152,[3. 2. 0.],[1. 1. 1.],0,"[5, 18, 18, 0]"
152,[3. 2. 0.],[1. 1. 1.],0,"[5, 18, 18, 0]"
152,[3. 2. 0.],[1. 1. 1.],0,"[5, 18, 18, 0]"
152,[3. 2. 0.],[1. 1. 1.],0,"[5, 18, 18, 0]"
152,[3. 2. 0.],[1. 1. 1.],0,"[5, 18, 18, 0]"
152,[3. 2. 0.],[1. 1. 1.],0,"[5, 18, 18, 0]"
152,[3. 2. 0.],[1. 1. 1.],0,"[5, 18, 18, 0]"
163,[3. 2. 0.],[1. 1. 1.],2,"[5, 18, 18, 0]"
163,[3. 2. 0.],[1. 1. 1.],2,"[5, 18, 18, 0]"
163,[3. 2. 0.],[1. 1. 1.],2,"[5, 18, 18, 0]"
163,[3. 2. 0.],[1. 1. 1.],2,"[5, 18, 18, 0]"
163,[3. 2. 0.],[1. 1. 1.],2,"[5, 18, 18, 0]"
163,[3. 2. 0.],[1. 1. 1.],2,"[5, 18, 18, 0]"
163,[3. 2. 0.],[1. 1. 1.],2,"[5, 18, 18, 0]"
163,[3. 2. 0.],[1. 1. 1.],2,"[5, 18, 18, 0]"
163,[3. 2. 0.],[1. 1. 1.],2,"[5, 18, 18, 0]"
163,[3. 2. 0.],[1. 1. 1.],2,"[5, 18, 18, 0]"
991,[3. 2. 0.],[1. 1. 1.],2,"[5, 18, 18, 0]"
991,[3. 2. 0.],[1. 1. 1.],2,"[5, 18, 18, 0]"
991,[3. 2. 0.],[1. 1. 1.],2,"[5, 18, 18, 0]"
991,[3. 2. 0.],[1. 1. 1.],2,"[5, 18, 18, 0]"
991,[3. 2. 0.],[1. 1. 1.],2,"[5, 18, 18, 0]"
991,[3. 2. 0.],[1. 1. 1.],2,"[5, 18, 18, 0]"
991,[3. 2. 0.],[1. 1. 1.],2,"[5, 18, 18, 0]"
991,[3. 2. 0.],[1. 1. 1.],2,"[5, 18, 18, 0]"
991,[3. 2. 0.],[1. 1. 1.],2,"[5, 18, 18, 0]"
991,[3. 2. 0.],[1. 1. 1.],2,"[5, 18, 18, 0]"
1156,[3. 2. 0.],[1. 1. 1.],1,"[5, 18, 18, 0]"
1156,[3. 2. 0.],[1. 1. 1.],1,"[5, 18, 18, 0]"
1156,[3. 2. 0.],[1. 1. 1.],1,"[5, 18, 18, 0]"
1156,[3. 2. 0.],[1. 1. 1.],1,"[5, 18, 18, 0]"
1156,[3. 2. 0.],[1. 1. 1.],1,"[5, 18, 18, 0]"
1156,[3. 2. 0.],[1. 1. 1.],1,"[5, 18, 18, 0]"
1156,[3. 2. 0.],[1. 1. 1.],1,"[5, 18, 18, 0]"
1156,[3. 2. 0.],[1. 1. 1.],1,"[5, 18, 18, 0]"
1156,[3. 2. 0.],[1. 1. 1.],1,"[5, 18, 18, 0]"
1156,[3. 2. 0.],[1. 1. 1.],1,"[5, 18, 18, 0]"
1890,[3. 2. 0.],[1. 1. 1.],0,"[5, 15, 18, 0]"
1890,[3. 2. 0.],[1. 1. 1.],0,"[5, 15, 18, 0]"
1890,[3. 2. 0.],[1. 1. 1.],0,"[5, 15, 18, 0]"
1890,[3. 2. 0.],[1. 1. 1.],0,"[5, 15, 18, 0]"
1890,[3. 2. 0.],[1. 1. 1.],0,"[5, 15, 18, 0]"
1890,[3. 2. 0.],[1. 1. 1.],0,"[5, 15, 18, 0]"
1890,[3. 2. 0.],[1. 1. 1.],0,"[5, 15, 18, 0]"
1890,[3. 2. 0.],[1. 1. 1.],0,"[5, 15, 18, 0]"
1890,[3. 2. 0.],[1. 1. 1.],0,"[5, 15, 18, 0]"
1890,[3. 2. 0.],[1. 1. 1.],0,"[5, 15, 18, 0]"
2980,[3. 2. 0.],[1. 1. 1.],2,"[5, 18, 18, 0]"
2980,[3. 2. 0.],[1. 1. 1.],2,"[5, 18, 18, 0]"
2980,[3. 2. 0.],[1. 1. 1.],2,"[5, 18, 18, 0]"
2980,[3. 2. 0.],[1. 1. 1.],2,"[5, 18, 18, 0]"
2980,[3. 2. 0.],[1. 1. 1.],2,"[5, 18, 18, 0]"
2980,[3. 2. 0.],[1. 1. 1.],2,"[5, 18, 18, 0]"
2980,[3. 2. 0.],[1. 1. 1.],2,"[5, 18, 18, 0]"
2980,[3. 2. 0.],[1. 1. 1.],2,"[5, 18, 18, 0]"
2980,[3. 2. 0.],[1. 1. 1.],2,"[5, 18, 18, 0]"
2980,[3. 2. 0.],[1. 1. 1.],2,"[5, 18, 18, 0]"
3177,[3. 2. 0.],[1. 1. 1.],2,"[5, 18, 18, 0]"
3177,[3. 2. 0.],[1. 1. 1.],2,"[5, 18, 18, 0]"
3177,[3. 2. 0.],[1. 1. 1.],2,"[5, 18, 18, 0]"
3177,[3. 2. 0.],[1. 1. 1.],2,"[5, 18, 18, 0]"
3177,[3. 2. 0.],[1. 1. 1.],2,"[5, 18, 18, 0]"
3177,[3. 2. 0.],[1. 1. 1.],2,"[5, 18, 18, 0]"
3177,[3. 2. 0.],[1. 1. 1.],2,"[5, 18, 18, 0]"
