game_nr,object,fixed indices,context condition,message
1186,[0. 1. 2. 1.],[1. 1. 1. 1.],1,"[11, 11, 13, 11, 0]"
8501,[0. 1. 2. 1.],[1. 1. 1. 1.],1,"[11, 11, 13, 13, 0]"
11927,[0. 1. 2. 1.],[1. 1. 1. 1.],1,"[11, 11, 13, 13, 0]"
11995,[0. 1. 2. 1.],[1. 1. 1. 1.],3,"[2, 11, 13, 13, 0]"
1616,[0. 1. 2. 1.],[1. 1. 1. 1.],2,"[2, 11, 13, 13, 0]"
1048,[0. 1. 2. 1.],[1. 1. 1. 1.],2,"[11, 11, 13, 13, 0]"
610,[0. 1. 2. 1.],[1. 1. 1. 1.],0,"[1, 13, 11, 13, 0]"
8637,[0. 1. 2. 1.],[1. 1. 1. 1.],0,"[1, 13, 11, 13, 0]"
9845,[0. 1. 2. 1.],[1. 1. 1. 1.],3,"[2, 11, 13, 13, 0]"
1421,[0. 1. 2. 1.],[1. 1. 1. 1.],1,"[11, 11, 13, 13, 0]"
8688,[0. 1. 2. 1.],[1. 1. 1. 1.],2,"[2, 11, 13, 13, 0]"
1016,[0. 1. 2. 1.],[1. 1. 1. 1.],0,"[1, 13, 11, 13, 0]"
9566,[0. 1. 2. 1.],[1. 1. 1. 1.],0,"[11, 11, 13, 13, 0]"
6023,[0. 1. 2. 1.],[1. 1. 1. 1.],1,"[11, 11, 13, 13, 0]"
8637,[0. 1. 2. 1.],[1. 1. 1. 1.],0,"[1, 13, 11, 13, 0]"
11253,[0. 1. 2. 1.],[1. 1. 1. 1.],0,"[11, 11, 13, 11, 0]"
1616,[0. 1. 2. 1.],[1. 1. 1. 1.],2,"[2, 11, 13, 13, 0]"
2273,[0. 1. 2. 1.],[1. 1. 1. 1.],3,"[2, 11, 13, 13, 0]"
1616,[0. 1. 2. 1.],[1. 1. 1. 1.],2,"[2, 11, 13, 13, 0]"
803,[0. 1. 2. 1.],[1. 1. 1. 1.],0,"[1, 13, 11, 13, 0]"
