game_nr,object,fixed indices,context condition,message
1584,[7. 3. 1. 0.],[1. 1. 1. 1.],3,"[14, 3, 22, 14, 0]"
1584,[7. 3. 1. 0.],[1. 1. 1. 1.],3,"[14, 3, 22, 14, 0]"
1584,[7. 3. 1. 0.],[1. 1. 1. 1.],3,"[14, 3, 22, 14, 0]"
1584,[7. 3. 1. 0.],[1. 1. 1. 1.],3,"[14, 3, 22, 14, 0]"
1584,[7. 3. 1. 0.],[1. 1. 1. 1.],3,"[14, 3, 22, 14, 0]"
1584,[7. 3. 1. 0.],[1. 1. 1. 1.],3,"[14, 3, 22, 14, 0]"
1584,[7. 3. 1. 0.],[1. 1. 1. 1.],3,"[14, 3, 22, 14, 0]"
1584,[7. 3. 1. 0.],[1. 1. 1. 1.],3,"[14, 3, 22, 14, 0]"
1584,[7. 3. 1. 0.],[1. 1. 1. 1.],3,"[14, 3, 22, 14, 0]"
1584,[7. 3. 1. 0.],[1. 1. 1. 1.],3,"[14, 3, 22, 14, 0]"
9297,[7. 3. 1. 0.],[1. 1. 1. 1.],3,"[14, 3, 22, 14, 0]"
9297,[7. 3. 1. 0.],[1. 1. 1. 1.],3,"[14, 3, 22, 14, 0]"
9297,[7. 3. 1. 0.],[1. 1. 1. 1.],3,"[14, 3, 22, 14, 0]"
9297,[7. 3. 1. 0.],[1. 1. 1. 1.],3,"[14, 3, 22, 14, 0]"
9297,[7. 3. 1. 0.],[1. 1. 1. 1.],3,"[14, 3, 22, 14, 0]"
9297,[7. 3. 1. 0.],[1. 1. 1. 1.],3,"[14, 3, 22, 14, 0]"
9297,[7. 3. 1. 0.],[1. 1. 1. 1.],3,"[14, 3, 22, 14, 0]"
9297,[7. 3. 1. 0.],[1. 1. 1. 1.],3,"[14, 3, 22, 14, 0]"
9297,[7. 3. 1. 0.],[1. 1. 1. 1.],3,"[14, 3, 22, 14, 0]"
9297,[7. 3. 1. 0.],[1. 1. 1. 1.],3,"[14, 3, 22, 14, 0]"
11087,[7. 3. 1. 0.],[1. 1. 1. 1.],1,"[14, 22, 22, 4, 0]"
11087,[7. 3. 1. 0.],[1. 1. 1. 1.],1,"[14, 22, 22, 4, 0]"
11087,[7. 3. 1. 0.],[1. 1. 1. 1.],1,"[14, 22, 22, 4, 0]"
11087,[7. 3. 1. 0.],[1. 1. 1. 1.],1,"[14, 22, 22, 4, 0]"
11087,[7. 3. 1. 0.],[1. 1. 1. 1.],1,"[14, 22, 22, 4, 0]"
11087,[7. 3. 1. 0.],[1. 1. 1. 1.],1,"[14, 22, 22, 4, 0]"
11087,[7. 3. 1. 0.],[1. 1. 1. 1.],1,"[14, 22, 22, 4, 0]"
11087,[7. 3. 1. 0.],[1. 1. 1. 1.],1,"[14, 22, 22, 4, 0]"
11087,[7. 3. 1. 0.],[1. 1. 1. 1.],1,"[14, 22, 22, 4, 0]"
11087,[7. 3. 1. 0.],[1. 1. 1. 1.],1,"[14, 22, 22, 4, 0]"
18634,[7. 3. 1. 0.],[1. 1. 1. 1.],2,"[14, 22, 1, 22, 0]"
18634,[7. 3. 1. 0.],[1. 1. 1. 1.],2,"[14, 22, 1, 22, 0]"
18634,[7. 3. 1. 0.],[1. 1. 1. 1.],2,"[14, 22, 1, 22, 0]"
18634,[7. 3. 1. 0.],[1. 1. 1. 1.],2,"[14, 22, 1, 22, 0]"
