game_nr,object,fixed indices,context condition,message
1802,[3. 2. 2. 0. 2.],[1. 1. 1. 1. 1.],1,"[7, 7, 12, 11, 7, 0]"
1802,[3. 2. 2. 0. 2.],[1. 1. 1. 1. 1.],1,"[7, 7, 12, 11, 7, 0]"
1802,[3. 2. 2. 0. 2.],[1. 1. 1. 1. 1.],1,"[7, 7, 12, 11, 7, 0]"
1802,[3. 2. 2. 0. 2.],[1. 1. 1. 1. 1.],1,"[7, 7, 12, 11, 7, 0]"
1802,[3. 2. 2. 0. 2.],[1. 1. 1. 1. 1.],1,"[7, 7, 12, 11, 7, 0]"
1802,[3. 2. 2. 0. 2.],[1. 1. 1. 1. 1.],1,"[7, 7, 12, 11, 7, 0]"
1802,[3. 2. 2. 0. 2.],[1. 1. 1. 1. 1.],1,"[7, 7, 12, 11, 7, 0]"
1802,[3. 2. 2. 0. 2.],[1. 1. 1. 1. 1.],1,"[7, 7, 12, 11, 7, 0]"
1802,[3. 2. 2. 0. 2.],[1. 1. 1. 1. 1.],1,"[7, 7, 12, 11, 7, 0]"
1802,[3. 2. 2. 0. 2.],[1. 1. 1. 1. 1.],1,"[7, 7, 12, 11, 7, 0]"
2903,[3. 2. 2. 0. 2.],[1. 1. 1. 1. 1.],3,"[7, 7, 2, 7, 10, 0]"
2903,[3. 2. 2. 0. 2.],[1. 1. 1. 1. 1.],3,"[7, 7, 2, 7, 10, 0]"
2903,[3. 2. 2. 0. 2.],[1. 1. 1. 1. 1.],3,"[7, 7, 2, 7, 10, 0]"
2903,[3. 2. 2. 0. 2.],[1. 1. 1. 1. 1.],3,"[7, 7, 2, 7, 10, 0]"
2903,[3. 2. 2. 0. 2.],[1. 1. 1. 1. 1.],3,"[7, 7, 2, 7, 10, 0]"
2903,[3. 2. 2. 0. 2.],[1. 1. 1. 1. 1.],3,"[7, 7, 2, 7, 10, 0]"
2903,[3. 2. 2. 0. 2.],[1. 1. 1. 1. 1.],3,"[7, 7, 2, 7, 10, 0]"
2903,[3. 2. 2. 0. 2.],[1. 1. 1. 1. 1.],3,"[7, 7, 2, 7, 10, 0]"
2903,[3. 2. 2. 0. 2.],[1. 1. 1. 1. 1.],3,"[7, 7, 2, 7, 10, 0]"
2903,[3. 2. 2. 0. 2.],[1. 1. 1. 1. 1.],3,"[7, 7, 2, 7, 10, 0]"
6896,[3. 2. 2. 0. 2.],[1. 1. 1. 1. 1.],1,"[7, 11, 12, 11, 10, 0]"
6896,[3. 2. 2. 0. 2.],[1. 1. 1. 1. 1.],1,"[7, 11, 12, 11, 10, 0]"
6896,[3. 2. 2. 0. 2.],[1. 1. 1. 1. 1.],1,"[7, 11, 12, 11, 10, 0]"
6896,[3. 2. 2. 0. 2.],[1. 1. 1. 1. 1.],1,"[7, 11, 12, 11, 10, 0]"
6896,[3. 2. 2. 0. 2.],[1. 1. 1. 1. 1.],1,"[7, 11, 12, 11, 10, 0]"
6896,[3. 2. 2. 0. 2.],[1. 1. 1. 1. 1.],1,"[7, 11, 12, 11, 10, 0]"
6896,[3. 2. 2. 0. 2.],[1. 1. 1. 1. 1.],1,"[7, 11, 12, 11, 10, 0]"
6896,[3. 2. 2. 0. 2.],[1. 1. 1. 1. 1.],1,"[7, 11, 12, 11, 10, 0]"
6896,[3. 2. 2. 0. 2.],[1. 1. 1. 1. 1.],1,"[7, 11, 12, 11, 10, 0]"
6896,[3. 2. 2. 0. 2.],[1. 1. 1. 1. 1.],1,"[7, 11, 12, 11, 10, 0]"
7265,[3. 2. 2. 0. 2.],[1. 1. 1. 1. 1.],4,"[7, 10, 2, 7, 10, 0]"
7265,[3. 2. 2. 0. 2.],[1. 1. 1. 1. 1.],4,"[7, 10, 2, 7, 10, 0]"
7265,[3. 2. 2. 0. 2.],[1. 1. 1. 1. 1.],4,"[7, 10, 2, 7, 10, 0]"
7265,[3. 2. 2. 0. 2.],[1. 1. 1. 1. 1.],4,"[7, 10, 2, 7, 10, 0]"
7265,[3. 2. 2. 0. 2.],[1. 1. 1. 1. 1.],4,"[7, 10, 2, 7, 10, 0]"
7265,[3. 2. 2. 0. 2.],[1. 1. 1. 1. 1.],4,"[7, 10, 2, 7, 10, 0]"
7265,[3. 2. 2. 0. 2.],[1. 1. 1. 1. 1.],4,"[7, 10, 2, 7, 10, 0]"
7265,[3. 2. 2. 0. 2.],[1. 1. 1. 1. 1.],4,"[7, 10, 2, 7, 10, 0]"
7265,[3. 2. 2. 0. 2.],[1. 1. 1. 1. 1.],4,"[7, 10, 2, 7, 10, 0]"
7265,[3. 2. 2. 0. 2.],[1. 1. 1. 1. 1.],4,"[7, 10, 2, 7, 10, 0]"
10358,[3. 2. 2. 0. 2.],[1. 1. 1. 1. 1.],3,"[7, 7, 2, 11, 10, 0]"
10358,[3. 2. 2. 0. 2.],[1. 1. 1. 1. 1.],3,"[7, 7, 2, 11, 10, 0]"
10358,[3. 2. 2. 0. 2.],[1. 1. 1. 1. 1.],3,"[7, 7, 2, 11, 10, 0]"
10358,[3. 2. 2. 0. 2.],[1. 1. 1. 1. 1.],3,"[7, 7, 2, 11, 10, 0]"
10358,[3. 2. 2. 0. 2.],[1. 1. 1. 1. 1.],3,"[7, 7, 2, 11, 10, 0]"
