attributes,values,game_size,vocab_size_factor,n_epochs,batch_size,learning_rate,hidden_size,temp_update,temperature,train_loss,train_accuracy,test_loss,test_accuracy
3,3,3,3.0,100.0,32,0.0005,128,0.97,1.0,0.14546744525432587,0.9487561583518982,0.2342270314693451,0.9215685725212097
3,3,3,3.0,100.0,32,0.0005,128,0.99,1.0,0.26345059275627136,0.8805562853813171,0.5032824277877808,0.8098039627075195
3,3,3,3.0,100.0,32,0.0005,128,0.97,1.5,0.15750335156917572,0.9389092922210693,0.43446946144104004,0.8705883026123047
3,3,3,3.0,100.0,32,0.0005,128,0.99,1.5,0.1276293694972992,0.9557276368141174,0.3793833255767822,0.9069767594337463
3,3,3,3.0,100.0,32,0.0005,128,0.97,2.0,0.1692807525396347,0.9377347230911255,0.23061883449554443,0.9138578176498413
3,3,3,3.0,100.0,32,0.0005,128,0.99,2.0,0.15575434267520905,0.9366894960403442,0.3821401000022888,0.8678160905838013
3,3,3,3.0,100.0,32,0.0005,256,0.97,1.0,0.13956841826438904,0.9399685859680176,0.43260976672172546,0.8775122165679932
3,3,3,3.0,100.0,32,0.0005,256,0.99,1.0,0.07450922578573227,0.9724318981170654,0.23710739612579346,0.9412879347801208
3,3,3,3.0,100.0,32,0.0005,256,0.97,1.5,0.18354852497577667,0.9218119382858276,0.3787487745285034,0.8705413341522217
3,3,3,3.0,100.0,32,0.0005,256,0.99,1.5,0.16480471193790436,0.9335427284240723,0.39070555567741394,0.8772072792053223
3,3,3,3.0,100.0,32,0.0005,256,0.97,2.0,0.0731629729270935,0.9741485118865967,0.4261951148509979,0.8861789107322693
3,3,3,3.0,100.0,32,0.0005,256,0.99,2.0,0.12559373676776886,0.9501542448997498,0.35311681032180786,0.8975560665130615
3,3,3,3.0,100.0,32,0.001,128,0.97,1.0,0.1532975286245346,0.9514259099960327,0.29326754808425903,0.8829023241996765
3,3,3,3.0,100.0,32,0.001,128,0.99,1.0,0.12146920710802078,0.9515262246131897,0.49418777227401733,0.8607844710350037
3,3,3,3.0,100.0,32,0.001,128,0.97,1.5,0.12303926795721054,0.9609372615814209,0.32726606726646423,0.9089148044586182
3,3,3,3.0,100.0,32,0.001,128,0.99,1.5,0.23385663330554962,0.9198962450027466,0.3194286525249481,0.8678162693977356
3,3,3,3.0,100.0,32,0.001,128,0.97,2.0,0.16522766649723053,0.9366281628608704,0.33573096990585327,0.8901515603065491
3,3,3,3.0,100.0,32,0.001,128,0.99,2.0,0.08963232487440109,0.9700515270233154,0.3880551755428314,0.8720930218696594
3,3,3,3.0,100.0,32,0.001,256,0.97,1.0,0.09617166221141815,0.9653894305229187,0.34058094024658203,0.9302326440811157
3,3,3,3.0,100.0,32,0.001,256,0.99,1.0,0.0829816684126854,0.9730287790298462,0.3315831124782562,0.9043446779251099
3,3,3,3.0,100.0,32,0.001,256,0.97,1.5,0.6824166774749756,0.5538058280944824,0.6788462996482849,0.5549019575119019
3,3,3,3.0,100.0,32,0.001,256,0.99,1.5,0.035764556378126144,0.9873666763305664,0.5088697075843811,0.9117648005485535
3,3,3,3.0,100.0,32,0.001,256,0.97,2.0,0.09801731258630753,0.9629949927330017,0.19299256801605225,0.9422293901443481
3,3,3,3.0,100.0,32,0.001,256,0.99,2.0,0.1065090224146843,0.9584470987319946,0.2690507173538208,0.9272031188011169
3,3,3,3.0,100.0,64,0.0005,128,0.97,1.0,0.1908685564994812,0.9296985268592834,0.29600220918655396,0.8823531270027161
3,3,3,3.0,100.0,64,0.0005,128,0.99,1.0,0.3783419728279114,0.8429943323135376,0.4455264210700989,0.8065135478973389
3,3,3,3.0,100.0,64,0.0005,128,0.97,1.5,0.23582428693771362,0.9062469601631165,0.397727370262146,0.8255814909934998
3,3,3,3.0,100.0,64,0.0005,128,0.99,1.5,0.3662995994091034,0.8397229909896851,0.38902103900909424,0.8257577419281006
3,3,3,3.0,100.0,64,0.0005,128,0.97,2.0,0.25204139947891235,0.9075382351875305,0.31775733828544617,0.8745318651199341
3,3,3,3.0,100.0,64,0.0005,128,0.99,2.0,0.20872068405151367,0.9176527261734009,0.4305448532104492,0.8492063879966736
3,3,3,3.0,100.0,64,0.0005,256,0.97,1.0,0.060969237238168716,0.9818216562271118,0.18660885095596313,0.9303232431411743
3,3,3,3.0,100.0,64,0.0005,256,0.99,1.0,0.3796699047088623,0.8982570767402649,0.40283697843551636,0.868803858757019
3,3,3,3.0,100.0,64,0.0005,256,0.97,1.5,0.3448732793331146,0.9052039384841919,0.4105241298675537,0.8347570300102234
3,3,3,3.0,100.0,64,0.0005,256,0.99,1.5,0.06287315487861633,0.9765617847442627,0.22438699007034302,0.9435516595840454
3,3,3,3.0,100.0,64,0.0005,256,0.97,2.0,0.36608225107192993,0.8562400341033936,0.3680814504623413,0.850398600101471
3,3,3,3.0,100.0,64,0.0005,256,0.99,2.0,0.12502369284629822,0.9597893953323364,0.2963706851005554,0.900406539440155
3,3,3,3.0,100.0,64,0.001,128,0.97,1.0,0.23714013397693634,0.8736363649368286,0.3374784588813782,0.8577975630760193
3,3,3,3.0,100.0,64,0.001,128,0.99,1.0,0.16957980394363403,0.9343469738960266,0.29846251010894775,0.9019607305526733
3,3,3,3.0,100.0,64,0.001,128,0.97,1.5,0.17486971616744995,0.9167382717132568,0.4120922088623047,0.8556661009788513
3,3,3,3.0,100.0,64,0.001,128,0.99,1.5,0.11922664940357208,0.952099084854126,0.3802376389503479,0.9000001549720764
3,3,3,3.0,100.0,64,0.001,128,0.97,2.0,0.15888842940330505,0.9381237030029297,0.3738875389099121,0.8701550960540771
