attributes,values,game_size,vocab_size_factor,n_epochs,batch_size,learning_rate,hidden_size,temp_update,temperature,train_loss,train_accuracy,test_loss,test_accuracy
3,4,10,3.0,60.0,32,0.0005,128,0.97,1.0,0.27400580048561096,0.8812709450721741,0.2966547906398773,0.8717881441116333
3,4,10,3.0,60.0,32,0.0005,128,0.99,1.0,0.23105326294898987,0.9035312533378601,0.2635284662246704,0.8976562023162842
3,4,10,3.0,60.0,32,0.0005,128,0.97,1.5,0.24852778017520905,0.8975921869277954,0.2637687921524048,0.8910590410232544
3,4,10,3.0,60.0,32,0.0005,128,0.99,1.5,0.20128047466278076,0.9247159957885742,0.23994667828083038,0.9065971374511719
3,4,10,3.0,60.0,32,0.0005,128,0.97,2.0,0.2708653509616852,0.8816962838172913,0.30803295969963074,0.8694444298744202
3,4,10,3.0,60.0,32,0.0005,128,0.99,2.0,0.23151054978370667,0.9085270166397095,0.24325479567050934,0.9065103530883789
3,4,10,3.0,60.0,32,0.0005,256,0.97,1.0,0.24927334487438202,0.8990574479103088,0.28180837631225586,0.8809895515441895
3,4,10,3.0,60.0,32,0.0005,256,0.99,1.0,0.1352011263370514,0.9524971842765808,0.1628124713897705,0.9439235329627991
3,4,10,3.0,60.0,32,0.0005,256,0.97,1.5,0.22929151356220245,0.9091367721557617,0.2418312430381775,0.9045138955116272
3,4,10,3.0,60.0,32,0.0005,256,0.99,1.5,0.17334069311618805,0.9345772862434387,0.22696761786937714,0.9226150512695312
3,4,10,3.0,60.0,32,0.0005,256,0.97,2.0,0.13662660121917725,0.9518892168998718,0.1674119532108307,0.9442707896232605
3,4,10,3.0,60.0,32,0.0005,256,0.99,2.0,0.1842351257801056,0.9291905760765076,0.23693402111530304,0.9124131798744202
3,4,10,3.0,60.0,32,0.001,128,0.97,1.0,0.29626819491386414,0.8855568170547485,0.3216012716293335,0.8760417103767395
3,4,10,3.0,60.0,32,0.001,128,0.99,1.0,0.306549996137619,0.8706750869750977,0.31995484232902527,0.8708333969116211
3,4,10,3.0,60.0,32,0.001,128,0.97,1.5,0.23028431832790375,0.904815137386322,0.2419234961271286,0.8981771469116211
3,4,10,3.0,60.0,32,0.001,128,0.99,1.5,0.16388222575187683,0.9394928812980652,0.19011054933071136,0.9307292103767395
3,4,10,3.0,60.0,32,0.001,128,0.97,2.0,0.2644663155078888,0.8917948007583618,0.267907053232193,0.8930920958518982
3,4,10,3.0,60.0,32,0.001,128,0.99,2.0,0.21732525527477264,0.9144795536994934,0.24149349331855774,0.9112846851348877
3,4,10,3.0,60.0,32,0.001,256,0.97,1.0,0.2460658848285675,0.8969957232475281,0.26406851410865784,0.8924560546875
3,4,10,3.0,60.0,32,0.001,256,0.99,1.0,0.6910038590431213,0.5141329169273376,0.6946226358413696,0.4957237243652344
3,4,10,3.0,60.0,32,0.001,256,0.97,1.5,0.24396604299545288,0.9022862315177917,0.272491991519928,0.8930920958518982
3,4,10,3.0,60.0,32,0.001,256,0.99,1.5,0.13559754192829132,0.9545851349830627,0.16222767531871796,0.9511285424232483
3,4,10,3.0,60.0,32,0.001,256,0.97,2.0,0.10182724893093109,0.9644997715950012,0.12793537974357605,0.9597222208976746
3,4,10,3.0,60.0,32,0.001,256,0.99,2.0,0.1499854326248169,0.943492591381073,0.15574222803115845,0.9437961578369141
3,4,10,3.0,60.0,64,0.0005,128,0.97,1.0,0.3197084367275238,0.8596264123916626,0.3353002667427063,0.8548610210418701
3,4,10,3.0,60.0,64,0.0005,128,0.99,1.0,0.27211347222328186,0.8856834173202515,0.2875547707080841,0.8824653029441833
3,4,10,3.0,60.0,64,0.0005,128,0.97,1.5,0.2764418423175812,0.8860426545143127,0.3065081834793091,0.8734376430511475
3,4,10,3.0,60.0,64,0.0005,128,0.99,1.5,0.2887150049209595,0.8860257863998413,0.3105168342590332,0.8802951574325562
3,4,10,3.0,60.0,64,0.0005,128,0.97,2.0,0.26033908128738403,0.8958494067192078,0.2950250804424286,0.8795139789581299
3,4,10,3.0,60.0,64,0.0005,128,0.99,2.0,0.21024683117866516,0.919357180595398,0.26459941267967224,0.9002603888511658
3,4,10,3.0,60.0,64,0.0005,256,0.97,1.0,0.24501754343509674,0.9053195714950562,0.27130332589149475,0.8953993916511536
3,4,10,3.0,60.0,64,0.0005,256,0.99,1.0,0.20429031550884247,0.9168559312820435,0.2172919660806656,0.9152777791023254
3,4,10,3.0,60.0,64,0.0005,256,0.97,1.5,0.2453957051038742,0.8996760845184326,0.2967035472393036,0.8788193464279175
3,4,10,3.0,60.0,64,0.0005,256,0.99,1.5,0.11849606782197952,0.9622291326522827,0.17871960997581482,0.9392361044883728
3,4,10,3.0,60.0,64,0.0005,256,0.97,2.0,0.17145821452140808,0.9353122115135193,0.2324236035346985,0.9080730080604553
3,4,10,3.0,60.0,64,0.0005,256,0.99,2.0,0.11111199110746384,0.9645838141441345,0.16806159913539886,0.9455728530883789
3,4,10,3.0,60.0,64,0.001,128,0.97,1.0,0.1917029172182083,0.9295645952224731,0.24904584884643555,0.9088541865348816
3,4,10,3.0,60.0,64,0.001,128,0.99,1.0,0.29339727759361267,0.8667698502540588,0.31002122163772583,0.8589408993721008
3,4,10,3.0,60.0,64,0.001,128,0.97,1.5,0.23905150592327118,0.9063615798950195,0.25784605741500854,0.8956596851348877
3,4,10,3.0,60.0,64,0.001,128,0.99,1.5,0.19451330602169037,0.9233187437057495,0.21165364980697632,0.9182291030883789
3,4,10,3.0,60.0,64,0.001,128,0.97,2.0,0.2604638934135437,0.8981782793998718,0.2887466251850128,0.8885416984558105
3,4,10,3.0,60.0,64,0.001,128,0.99,2.0,0.18701735138893127,0.9262393116950989,0.22862069308757782,0.9133681058883667
3,4,10,3.0,60.0,64,0.001,256,0.97,1.0,0.6917388439178467,0.5186214447021484,0.6951050162315369,0.4908854067325592
3,4,10,3.0,60.0,64,0.001,256,0.99,1.0,0.30183669924736023,0.8664844632148743,0.313532292842865,0.8600693941116333
3,4,10,3.0,60.0,64,0.001,256,0.97,1.5,0.6859672665596008,0.5366353392601013,0.689351499080658,0.5291666984558105
3,4,10,3.0,60.0,64,0.001,256,0.99,1.5,0.6899546980857849,0.5279147624969482,0.6917404532432556,0.5115451216697693
3,4,10,3.0,60.0,64,0.001,256,0.97,2.0,0.13272114098072052,0.9519695043563843,0.17210951447486877,0.9368056058883667
3,4,10,3.0,60.0,64,0.001,256,0.99,2.0,0.12294411659240723,0.9549795985221863,0.18717114627361298,0.9381943941116333
3,4,10,3.0,60.0,128,0.0005,128,0.97,1.0,0.2869134843349457,0.8829436302185059,0.31944739818573,0.8690428733825684
3,4,10,3.0,60.0,128,0.0005,128,0.99,1.0,0.3143759071826935,0.8612828254699707,0.3179788887500763,0.8602538704872131
3,4,10,3.0,60.0,128,0.0005,128,0.97,1.5,0.2941841185092926,0.8736969828605652,0.3032246530056,0.8742188811302185
3,4,10,3.0,60.0,128,0.0005,128,0.99,1.5,0.30900290608406067,0.8584886789321899,0.3324657380580902,0.8487305641174316
3,4,10,3.0,60.0,128,0.0005,128,0.97,2.0,0.32028231024742126,0.8583143353462219,0.3412691354751587,0.8505859971046448
3,4,10,3.0,60.0,128,0.0005,128,0.99,2.0,0.28093990683555603,0.88404381275177,0.3117542862892151,0.870996356010437
3,4,10,3.0,60.0,128,0.0005,256,0.97,1.0,0.23255746066570282,0.9086698889732361,0.2409743368625641,0.9080079793930054
3,4,10,3.0,60.0,128,0.0005,256,0.99,1.0,0.19244150817394257,0.9276770949363708,0.2439824491739273,0.9103392958641052
3,4,10,3.0,60.0,128,0.0005,256,0.97,1.5,0.2529672682285309,0.9025884866714478,0.30377626419067383,0.8823241591453552
3,4,10,3.0,60.0,128,0.0005,256,0.99,1.5,0.19005164504051208,0.9270915985107422,0.23299825191497803,0.9122070670127869
3,4,10,3.0,60.0,128,0.0005,256,0.97,2.0,0.23025426268577576,0.9116151332855225,0.2743145823478699,0.8912497758865356
3,4,10,3.0,60.0,128,0.0005,256,0.99,2.0,0.2107699066400528,0.9141647815704346,0.26645660400390625,0.8900390267372131
3,4,10,3.0,60.0,128,0.001,128,0.97,1.0,0.2440449744462967,0.9096322059631348,0.266611784696579,0.9005857110023499
3,4,10,3.0,60.0,128,0.001,128,0.99,1.0,0.21908427774906158,0.9175560474395752,0.2680353820323944,0.8950194716453552
3,4,10,3.0,60.0,128,0.001,128,0.97,1.5,0.297963410615921,0.8698047399520874,0.3303152620792389,0.8577147722244263
3,4,10,3.0,60.0,128,0.001,128,0.99,1.5,0.2526959776878357,0.891185462474823,0.2609504759311676,0.8893553018569946
3,4,10,3.0,60.0,128,0.001,128,0.97,2.0,0.31008487939834595,0.8733803033828735,0.3158564269542694,0.8773437738418579
3,4,10,3.0,60.0,128,0.001,128,0.99,2.0,0.1908266395330429,0.9293537139892578,0.23273718357086182,0.9164061546325684
3,4,10,3.0,60.0,128,0.001,256,0.97,1.0,0.6915045976638794,0.5159192681312561,0.6916789412498474,0.5160155892372131
