game_nr,message,targets,fixed indices,context condition,distractors,accuracy
2,[1],[1. 0. 0.],[1. 1. 0.],1,[1. 1. 0.],0.9345278143882751
724,[1],[1. 0. 3.],[1. 1. 0.],1,[1. 3. 1.],0.8668286204338074
383,[1],[1. 0. 2.],[1. 1. 1.],1,[2. 2. 2.],0.8627417683601379
411,[1],[3. 0. 0.],[1. 1. 1.],2,[3. 0. 1.],0.8967783451080322
440,[1],[3. 0. 1.],[0. 1. 0.],0,[3. 1. 2.],0.9523331522941589
444,[1],[3. 0. 0.],[0. 1. 1.],0,[3. 2. 2.],0.9361473321914673
462,[1],[1. 0. 2.],[1. 1. 1.],1,[1. 2. 3.],0.9016446471214294
477,[1],[0. 0. 0.],[0. 1. 1.],1,[2. 2. 0.],0.9244166016578674
481,[1],[1. 0. 0.],[1. 1. 1.],2,[1. 0. 1.],0.8627622723579407
484,[1],[3. 1. 0.],[0. 0. 1.],0,[2. 3. 1.],0.8997315764427185
497,[1],[3. 0. 0.],[1. 1. 1.],1,[0. 0. 3.],0.8722542524337769
499,[1],[2. 0. 2.],[0. 1. 1.],0,[2. 3. 3.],0.9391747117042542
558,[1],[0. 0. 1.],[0. 1. 0.],0,[2. 1. 1.],0.9128229022026062
563,[1],[3. 0. 0.],[1. 1. 1.],1,[2. 1. 0.],0.9440205097198486
593,[1],[2. 0. 0.],[1. 1. 0.],1,[2. 2. 3.],0.8818100094795227
609,[1],[3. 0. 0.],[1. 1. 1.],0,[2. 3. 1.],0.9333017468452454
353,[1],[3. 0. 0.],[1. 1. 1.],0,[1. 3. 3.],0.9257498383522034
350,[1],[3. 0. 2.],[0. 1. 0.],0,[2. 1. 3.],0.9206933379173279
346,[1],[3. 0. 0.],[0. 1. 1.],0,[1. 1. 3.],0.8789052367210388
337,[1],[1. 0. 2.],[1. 1. 1.],0,[0. 2. 0.],0.9193329811096191
3,[1],[3. 0. 2.],[0. 1. 0.],0,[0. 3. 1.],0.9344866275787354
20,[1],[1. 2. 2.],[1. 1. 1.],0,[2. 0. 0.],0.8826937675476074
51,[1],[3. 0. 0.],[1. 1. 1.],1,[3. 1. 3.],0.8914262056350708
134,[1],[1. 0. 2.],[1. 1. 1.],0,[2. 3. 0.],0.9344393014907837
166,[1],[2. 0. 0.],[0. 1. 0.],0,[2. 1. 3.],0.9156005382537842
711,[1],[0. 0. 2.],[0. 1. 1.],0,[2. 1. 1.],0.9027069807052612
224,[1],[3. 0. 0.],[1. 1. 1.],0,[1. 2. 1.],0.9189811944961548
617,[1],[1. 0. 2.],[1. 1. 1.],0,[2. 3. 0.],0.9696555137634277
231,[1],[2. 0. 2.],[0. 1. 1.],1,[0. 3. 2.],0.9791778922080994
240,[1],[3. 0. 0.],[0. 1. 1.],1,[3. 2. 0.],0.949166476726532
241,[1],[1. 0. 0.],[0. 1. 1.],0,[0. 1. 2.],0.9487776756286621
264,[1],[1. 0. 2.],[0. 1. 0.],0,[1. 2. 1.],0.9156339168548584
658,[1],[1. 0. 0.],[1. 1. 1.],1,[2. 0. 1.],0.9547590017318726
280,[1],[3. 0. 0.],[0. 1. 1.],0,[1. 3. 3.],0.9499639868736267
330,[1],[0. 0. 0.],[0. 1. 1.],1,[1. 1. 0.],0.9305252432823181
334,[1],[1. 0. 2.],[1. 1. 1.],2,[1. 3. 2.],0.9330708980560303
233,[1],[3. 0. 0.],[0. 1. 0.],0,[2. 3. 2.],0.9787852168083191
656,[1],[3. 0. 0.],[0. 1. 1.],1,[3. 1. 0.],0.9562920331954956
738,"[1, 1, 1, 1]",[2. 0. 3.],[1. 1. 0.],1,[0. 0. 0.],0.916744589805603
684,"[1, 1, 2, 1, 2, 2, 2]",[2. 3. 3.],[1. 1. 1.],0,[0. 0. 1.],0.9631937742233276
185,"[2, 1]",[1. 0. 3.],[1. 1. 0.],0,[3. 1. 2.],0.9288054704666138
378,"[2, 1]",[1. 0. 2.],[1. 1. 0.],0,[0. 2. 2.],0.9126248359680176
267,"[2, 1, 2, 2, 2]",[3. 1. 3.],[1. 0. 1.],1,[3. 0. 2.],0.9940151572227478
624,"[2, 1, 2, 2, 2]",[2. 2. 3.],[0. 1. 1.],0,[1. 0. 0.],0.9682036638259888
