game_nr,target,fixed indices,context condition,message,accuracy
30,[1. 2. 1.],[0. 0. 1.],0,"[2, 1, 3, 1, 1]",0.9458000063896179
31,[3. 0. 1.],[0. 0. 1.],0,"[2, 1, 3, 1, 1]",0.9458000063896179
32,[0. 1. 1.],[0. 0. 1.],0,"[2, 1, 3, 1, 1]",0.9458000063896179
33,[3. 3. 1.],[0. 0. 1.],0,"[2, 1, 3, 1, 1]",0.9458000063896179
34,[2. 3. 1.],[0. 0. 1.],0,"[2, 1, 3, 1, 1]",0.9458000063896179
35,[2. 2. 1.],[0. 0. 1.],0,"[2, 2, 2, 1, 1]",0.9458000063896179
36,[2. 2. 1.],[0. 0. 1.],0,"[2, 2, 2, 1, 1]",0.9458000063896179
37,[2. 2. 1.],[0. 0. 1.],0,"[2, 1, 1]",0.9363999962806702
38,[0. 1. 1.],[0. 0. 1.],0,"[2, 2, 2, 1, 1]",0.9458000063896179
39,[0. 1. 1.],[0. 0. 1.],0,"[2, 1, 3, 1, 1]",0.9458000063896179
